thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
A person's family is the most important thing in life. ,1,0,0,0,0,3,18.709,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
"Even if something bad is about to happen to me, I rarely experience fear or nervousness. ",0,0,1,1,1,3,20.878,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
I go out of my way to get things I want. ,1,0,2,2,2,2,3.934,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
When I'm doing well at something I love to keep at it. ,1,0,3,3,3,2,4.4,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
I'm always willing to try something new if I think it will be fun. ,1,0,4,4,4,2,4.583,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
How I dress is important to me. ,1,0,5,5,5,3,3.584,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
"When I get something I want, I feel excited and energized. ",1,0,6,6,6,2,3.883,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
Criticism or scolding hurts me quite a bit. ,1,0,7,7,7,2,3.501,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
When I want something I usually go all-out to get it. ,1,0,8,8,8,3,9.814,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
I will often do things for no other reason than that they might be fun.,1,0,9,9,9,2,5.433,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
It's hard for me to find the time to do things such as get a haircut. ,1,0,10,10,10,3,8.533,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
If I see a chance to get something I want I move on it right away. ,1,0,11,11,11,2,7.783,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
I feel pretty worried or upset when I think or know somebody is angry at me. ,1,0,12,12,12,2,5.283,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
When I see an opportunity for something I like I get excited right away. ,1,0,13,13,13,2,6.466,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
I often act on the spur of the moment. ,1,0,14,14,14,2,7.798,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
If I think something unpleasant is going to happen I usually get pretty "worked up.",1,0,15,15,15,2,4.917,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
I often wonder why people act the way they do. ,1,0,16,16,16,3,4.801,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
"When good things happen to me, it affects me strongly. ",1,0,17,17,17,2,3.601,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
I feel worried when I think I have done poorly at something important. ,1,0,18,18,18,2,8.866,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
I crave excitement and new sensations.,1,0,19,19,19,3,3.767,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
When I go after something I use a "no holds barred" approach. ,1,0,20,20,20,3,3.5,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
I have very few fears compared to my friends. ,0,0,21,21,21,2,4.583,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
It would excite me to win a contest. ,1,0,22,22,22,2,3.101,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
I worry about making mistakes. ,1,0,23,23,23,3,3.384,2017_May_02_1009,59.8783122064,BAS_questions,001,135,
