thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
A person's family is the most important thing in life. ,1,0,0,0,0,2,10.142,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
"Even if something bad is about to happen to me, I rarely experience fear or nervousness. ",0,0,1,1,1,4,5.823,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
I go out of my way to get things I want. ,1,0,2,2,2,2,6.338,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
When I'm doing well at something I love to keep at it. ,1,0,3,3,3,3,4.058,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
I'm always willing to try something new if I think it will be fun. ,1,0,4,4,4,2,3.387,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
How I dress is important to me. ,1,0,5,5,5,2,2.903,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
"When I get something I want, I feel excited and energized. ",1,0,6,6,6,2,3.699,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
Criticism or scolding hurts me quite a bit. ,1,0,7,7,7,2,3.543,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
When I want something I usually go all-out to get it. ,1,0,8,8,8,2,4.417,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
I will often do things for no other reason than that they might be fun.,1,0,9,9,9,2,4.386,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
It's hard for me to find the time to do things such as get a haircut. ,1,0,10,10,10,3,5.899,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
If I see a chance to get something I want I move on it right away. ,1,0,11,11,11,2,6.476,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
I feel pretty worried or upset when I think or know somebody is angry at me. ,1,0,12,12,12,2,9.926,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
When I see an opportunity for something I like I get excited right away. ,1,0,13,13,13,2,4.979,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
I often act on the spur of the moment. ,1,0,14,14,14,3,3.031,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
If I think something unpleasant is going to happen I usually get pretty "worked up.",1,0,15,15,15,3,5.322,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
I often wonder why people act the way they do. ,1,0,16,16,16,2,2.92,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
"When good things happen to me, it affects me strongly. ",1,0,17,17,17,2,8.052,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
I feel worried when I think I have done poorly at something important. ,1,0,18,18,18,2,4.729,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
I crave excitement and new sensations.,1,0,19,19,19,2,3.715,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
When I go after something I use a "no holds barred" approach. ,1,0,20,20,20,2,10.361,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
I have very few fears compared to my friends. ,0,0,21,21,21,3,4.776,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
It would excite me to win a contest. ,1,0,22,22,22,2,2.451,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
I worry about making mistakes. ,1,0,23,23,23,2,2.781,2017_Jun_13_1244,63.3214954358,BAS_questions,001,138,
