thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I plan tasks carefully.,1,0,0,0,0,2,34.458,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I do things without thinking.,0,0,1,1,1,2,6.507,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I make-up my mind quickly.,0,0,2,2,2,1,3.107,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I am happy-go-lucky.,0,0,3,3,3,1,3.405,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I don't "pay attention.",0,0,4,4,4,1,2.625,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I have "racing" thoughts.,0,0,5,5,5,1,3.294,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I plan trips well ahead of time.,1,0,6,6,6,3,2.436,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I am self controlled.,1,0,7,7,7,4,2.342,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I concentrate easily.,1,0,8,8,8,3,2.235,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I save regularly.,1,0,9,9,9,3,1.861,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I "squirm" at plays or lectures,0,0,10,10,10,2,5.448,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I am a careful thinker.,1,0,11,11,11,3,2.545,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I plan for job security.,1,0,12,12,12,4,2.295,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I say things without thinking.,0,0,13,13,13,2,3.78,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I like to think about complex problems.,1,0,14,14,14,3,2.857,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I change jobs.,0,0,15,15,15,2,2.906,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I act "on impulse.",0,0,16,16,16,1,2.108,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I get easily bored when solving thought problems.,0,0,17,17,17,1,2.81,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I act on the spur of the moment.,0,0,18,18,18,1,4.713,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I am a steady thinker.,1,0,19,19,19,3,2.53,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I change residences.,0,0,20,20,20,2,3.621,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I buy things on impulse.,0,0,21,21,21,2,2.498,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I can only think about one thing at a time.,0,0,22,22,22,1,2.265,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I change hobbies.,0,0,23,23,23,1,4.417,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I spend or charge more than I earn.,0,0,24,24,24,1,3.701,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I often have extraneous thoughts when thinking.,0,0,25,25,25,1,3.434,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I am more interested in the present than the future.,0,0,26,26,26,2,3.855,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I am restless at the theater or lectures.,0,0,27,27,27,2,3.277,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I like puzzles.,1,0,28,28,28,2,2.608,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
I am future oriented. ,1,0,29,29,29,3,2.701,2016_Aug_29_1152,63.2988647782,BIS11_questions,001,124,
