thing,reverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rating.response,rating.rt,date,frameRate,expName,session,participant,
I plan tasks carefully.,1,0,0,0,0,3,4.7,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I do things without thinking.,0,0,1,1,1,4,4.684,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I make-up my mind quickly.,0,0,2,2,2,1,3.917,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I am happy-go-lucky.,0,0,3,3,3,2,3.951,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I don't "pay attention.",0,0,4,4,4,3,4.483,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I have "racing" thoughts.,0,0,5,5,5,4,2.85,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I plan trips well ahead of time.,1,0,6,6,6,3,3.4,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I am self controlled.,1,0,7,7,7,1,4.783,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I concentrate easily.,1,0,8,8,8,2,3.332,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I save regularly.,1,0,9,9,9,2,4.782,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I "squirm" at plays or lectures,0,0,10,10,10,3,4.433,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I am a careful thinker.,1,0,11,11,11,3,5.183,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I plan for job security.,1,0,12,12,12,3,4.967,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I say things without thinking.,0,0,13,13,13,4,2.584,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I like to think about complex problems.,1,0,14,14,14,3,2.734,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I change jobs.,0,0,15,15,15,2,3.049,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I act "on impulse.",0,0,16,16,16,3,4.034,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I get easily bored when solving thought problems.,0,0,17,17,17,3,4.218,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I act on the spur of the moment.,0,0,18,18,18,2,3.002,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I am a steady thinker.,1,0,19,19,19,2,4.067,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I change residences.,0,0,20,20,20,2,4.45,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I buy things on impulse.,0,0,21,21,21,2,4.533,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I can only think about one thing at a time.,0,0,22,22,22,3,5.217,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I change hobbies.,0,0,23,23,23,3,3.632,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I spend or charge more than I earn.,0,0,24,24,24,1,6.999,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I often have extraneous thoughts when thinking.,0,0,25,25,25,4,5.016,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I am more interested in the present than the future.,0,0,26,26,26,2,8.965,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I am restless at the theater or lectures.,0,0,27,27,27,2,6.482,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I like puzzles.,1,0,28,28,28,2,4.817,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
I am future oriented. ,1,0,29,29,29,4,4.465,2017_Apr_18_1032,59.8795390863,BIS11_questions,001,133,
