	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	6	1	2	1	A	3	3	4	4	2	104
1	4	4	2	3	random	4	3	1	1	2	104
2	7	1	4	2	random	1	2	3	4	3	104
3	7	1	3	2	random	4	4	2	1	3	104
4	6	3	4	2	random	4	2	1	1	3	104
5	4	1	3	1	random	4	2	4	3	2	104
6	3	4	2	1	random	4	1	3	3	2	104
7	4	1	3	4	random	2	2	4	1	3	104
8	1	3	3	2	B	2	1	4	4	1	104
9	6	1	2	4	random	3	3	4	2	1	104
10	7	1	4	3	random	1	3	2	2	4	104
11	5	1	3	2	random	4	2	4	1	3	104
12	4	4	1	3	random	4	3	2	2	1	104
13	5	1	2	3	random	2	4	3	1	4	104
