	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	4	2	3	1	random	2	4	1	4	3	112
1	4	3	4	3	random	1	2	1	2	4	112
2	5	3	3	2	B	2	1	4	4	1	112
3	4	4	3	2	random	1	1	2	3	4	112
4	7	3	2	3	random	1	4	1	4	2	112
5	1	4	1	3	random	2	2	3	4	1	112
6	2	1	2	1	A	3	3	4	4	2	112
7	7	1	4	1	random	3	3	2	2	4	112
8	7	1	4	2	random	1	2	3	4	3	112
9	7	2	1	2	random	3	3	4	4	1	112
10	1	3	4	1	random	3	1	2	4	2	112
11	1	2	1	3	random	2	3	4	1	4	112
12	1	3	1	2	random	4	4	2	1	3	112
13	1	1	3	2	random	1	2	4	3	4	112
