	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	5	2	3	4	random	3	1	4	1	2	116
1	7	3	1	4	random	1	2	4	2	3	116
2	3	3	3	2	B	2	1	4	4	1	116
3	7	4	1	2	random	1	2	3	4	3	116
4	7	1	2	3	random	4	3	4	2	1	116
5	6	1	2	4	random	3	3	4	2	1	116
6	1	1	2	1	A	3	3	4	4	2	116
7	7	2	1	2	random	4	4	3	3	1	116
8	7	2	3	2	random	1	4	1	4	3	116
9	4	4	2	1	random	2	1	3	3	4	116
10	2	3	2	3	random	1	4	1	2	4	116
11	2	2	4	2	random	3	1	3	4	1	116
12	1	4	3	1	random	3	1	2	4	2	116
13	5	1	3	1	random	2	2	4	3	4	116
