	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	3	2	3	random	2	4	1	4	1	127
1	7	4	2	3	random	2	3	1	4	1	127
2	7	4	3	2	random	3	1	2	4	1	127
3	7	2	1	4	random	2	4	3	3	1	127
4	7	4	2	3	random	2	3	1	4	1	127
5	7	2	3	2	random	4	4	1	1	3	127
6	7	1	3	1	random	2	4	2	3	4	127
7	7	3	2	3	random	1	1	4	4	2	127
8	1	2	2	4	A	4	1	3	1	3	127
9	1	1	2	1	B	3	3	4	4	2	127
10	7	4	1	4	random	3	2	3	1	2	127
11	7	1	3	4	random	3	2	4	1	2	127
12	7	4	3	2	random	1	2	1	3	4	127
13	7	3	1	3	random	1	2	4	4	2	127
