	actual_seq	actual_seq_label	generated	seq_eight	seq_five	seq_four	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	[3, 2, 4, 1, 2, 4, 3, 1]	A	[3, 2, 4, 1, 2, 4, 3, 1]	1	2	1	3	3	4	4	2	126
1	[2, 1, 4, 2, 3, 4, 1, 3]	B	[2, 1, 4, 2, 3, 4, 1, 3]	3	3	2	2	1	4	4	1	126
