	decision	gains	losses	subject
0	1	6	4	118
1	1	20	10	118
2	1	12	5	118
3	1	20	3	118
4	1	16	8	118
5	1	20	7	118
6	1	4	1	118
7	1	14	1	118
8	1	18	5	118
9	1	14	3	118
10	1	14	4	118
11	1	10	2	118
12	1	16	4	118
13	1	12	3	118
14	1	14	2	118
15	1	16	5	118
16	1	20	8	118
17	1	18	3	118
18	1	20	6	118
19	1	18	1	118
20	1	14	6	118
21	1	18	8	118
22	1	14	5	118
23	1	20	2	118
24	1	20	4	118
25	1	14	8	118
26	1	20	9	118
27	1	18	4	118
28	1	18	2	118
29	1	16	2	118
30	1	12	7	118
31	1	20	1	118
32	1	10	1	118
33	1	18	6	118
34	1	20	5	118
35	1	12	1	118
36	1	16	3	118
37	1	18	7	118
38	0	6	7	118
39	0	8	1	118
40	0	16	10	118
41	0	8	2	118
42	0	12	6	118
43	0	4	7	118
44	0	10	10	118
45	0	2	10	118
46	0	14	10	118
47	0	2	5	118
48	0	16	7	118
49	0	10	7	118
50	0	12	9	118
51	0	4	3	118
52	0	10	5	118
53	0	6	9	118
54	0	18	10	118
55	0	8	8	118
56	0	4	5	118
57	0	4	4	118
58	0	8	3	118
59	0	16	6	118
60	0	4	9	118
61	0	14	7	118
62	0	4	10	118
63	0	2	4	118
64	0	2	3	118
65	0	4	8	118
66	0	12	8	118
67	0	10	8	118
68	0	2	2	118
69	0	8	7	118
70	0	12	10	118
71	0	6	10	118
72	0	10	6	118
73	0	12	2	118
74	0	6	5	118
75	0	6	8	118
76	0	6	3	118
77	0	2	7	118
78	0	6	6	118
79	0	16	1	118
80	0	8	6	118
81	0	4	2	118
82	0	2	8	118
83	0	2	6	118
84	0	8	9	118
85	0	6	1	118
86	0	18	9	118
87	0	8	4	118
88	0	6	2	118
89	0	2	1	118
90	0	10	9	118
91	0	4	6	118
92	0	12	4	118
93	0	10	3	118
94	0	10	4	118
95	0	16	9	118
96	0	2	9	118
97	0	8	5	118
98	0	14	9	118
99	0	8	10	118
