	decision	gains	losses	subject
0	1	10	6	124
1	1	16	1	124
2	1	16	9	124
3	1	14	5	124
4	1	20	7	124
5	1	18	4	124
6	1	16	3	124
7	1	20	6	124
8	1	14	3	124
9	1	18	2	124
10	1	14	1	124
11	1	20	2	124
12	1	10	2	124
13	1	20	3	124
14	1	16	7	124
15	1	20	1	124
16	1	8	2	124
17	1	20	4	124
18	0	8	4	124
19	0	10	10	124
20	0	18	10	124
21	0	12	8	124
22	0	6	9	124
23	0	2	4	124
24	0	2	8	124
25	0	2	2	124
26	0	2	9	124
27	0	2	1	124
28	0	2	5	124
29	0	10	3	124
30	0	10	7	124
31	0	14	10	124
32	0	12	7	124
33	0	10	9	124
34	0	18	7	124
35	0	8	3	124
36	0	12	9	124
37	0	20	10	124
38	0	12	6	124
39	0	4	2	124
40	0	14	2	124
41	0	4	4	124
42	0	12	5	124
43	0	4	7	124
44	0	4	9	124
45	0	4	5	124
46	0	2	10	124
47	0	14	6	124
48	0	4	6	124
49	0	16	8	124
50	0	16	6	124
51	0	8	6	124
52	0	6	1	124
53	0	10	1	124
54	0	18	8	124
55	0	6	7	124
56	0	8	1	124
57	0	14	4	124
58	0	10	4	124
59	0	6	10	124
60	0	6	3	124
61	0	18	6	124
62	0	14	9	124
63	0	6	2	124
64	0	6	5	124
65	0	16	10	124
66	0	8	5	124
67	0	20	5	124
68	0	4	8	124
69	0	18	9	124
70	0	16	4	124
71	0	2	7	124
72	0	8	8	124
73	0	12	1	124
74	0	8	9	124
75	0	4	10	124
76	0	6	4	124
77	0	20	9	124
78	0	12	4	124
79	0	6	6	124
80	0	14	8	124
81	0	4	3	124
82	0	14	7	124
83	0	16	2	124
84	0	12	10	124
85	0	10	8	124
86	0	2	6	124
87	0	4	1	124
88	0	20	8	124
89	0	16	5	124
90	0	10	5	124
91	0	8	7	124
92	0	12	3	124
93	0	18	1	124
94	0	2	3	124
95	0	18	5	124
96	0	12	2	124
97	0	6	8	124
98	0	18	3	124
99	0	8	10	124
