	decision	gains	losses	subject
0	1	14	6	104
1	1	4	2	104
2	1	20	1	104
3	1	14	5	104
4	1	14	4	104
5	1	8	2	104
6	1	8	4	104
7	1	20	7	104
8	1	6	1	104
9	1	16	6	104
10	1	20	8	104
11	1	8	1	104
12	1	6	3	104
13	1	8	3	104
14	1	2	2	104
15	1	12	5	104
16	1	16	4	104
17	1	18	8	104
18	1	20	2	104
19	1	18	1	104
20	1	16	2	104
21	1	20	3	104
22	1	12	3	104
23	1	6	5	104
24	1	20	5	104
25	1	18	5	104
26	1	12	2	104
27	1	10	3	104
28	1	16	1	104
29	1	18	7	104
30	1	10	4	104
31	1	6	2	104
32	1	18	4	104
33	1	20	6	104
34	1	16	3	104
35	1	12	1	104
36	1	14	1	104
37	1	18	2	104
38	1	18	6	104
39	1	4	1	104
40	1	10	1	104
41	1	18	3	104
42	1	14	3	104
43	1	2	1	104
44	1	6	4	104
45	1	16	5	104
46	1	20	4	104
47	1	10	2	104
48	1	12	4	104
49	1	14	2	104
50	1	20	9	104
51	0	18	9	104
52	0	10	5	104
53	0	4	8	104
54	0	16	9	104
55	0	14	8	104
56	0	10	7	104
57	0	12	10	104
58	0	4	9	104
59	0	8	10	104
60	0	4	6	104
61	0	6	7	104
62	0	10	6	104
63	0	12	8	104
64	0	8	8	104
65	0	12	6	104
66	0	10	9	104
67	0	20	10	104
68	0	14	7	104
69	0	6	8	104
70	0	4	7	104
71	0	16	8	104
72	0	12	7	104
73	0	8	6	104
74	0	18	10	104
75	0	2	8	104
76	0	2	4	104
77	0	4	3	104
78	0	8	5	104
79	0	2	3	104
80	0	6	10	104
81	0	4	5	104
82	0	16	7	104
83	0	14	9	104
84	0	8	7	104
85	0	6	9	104
86	0	12	9	104
87	0	2	5	104
88	0	16	10	104
89	0	6	6	104
90	0	8	9	104
91	0	2	6	104
92	0	10	10	104
93	0	2	7	104
94	0	10	8	104
95	0	2	9	104
96	0	4	10	104
97	0	2	10	104
98	0	14	10	104
99	0	4	4	104
