	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	2		245.0	231.0	1624	11691	9839	1162	275	275	[4, 3, 1, 4, 2, 3]	4732	5	[4, 3, 1, 4, 2, 3, 1, 2]	9564	A		211.0	107	299.0	1	176
1	0	2		263.0	354.0	1624	20916	19091	1193	302	302	[4, 3, 1, 4, 2, 3]	15058	5	[4, 3, 1, 4, 2, 3, 1, 2]	18789	A		180.0	107	260.0	1	136
2	1	2	147.0	397.0	183.0	2313	31162	29599	1563	280	280	[3, 2, 4, 1, 2, 4, 3, 1]	25487	5	[3, 2, 4, 1, 2, 4, 3, 1]	29319	B	171.0	177.0	107	300.0	0	188
3	1	2	151.0	155.0	175.0	1624	39121	37887	1234	274	274	[4, 3, 1, 4, 2, 3, 1, 2]	33982	30	[4, 3, 1, 4, 2, 3, 1, 2]	37613	A	201.0	259.0	107	157.0	0	136
4	1	2	112.0	135.0	164.0	1624	47791	46727	1064	260	260	[4, 3, 1, 4, 2, 3, 1, 2]	42536	10	[4, 3, 1, 4, 2, 3, 1, 2]	46467	A	171.0	217.0	107	166.0	0	99
5	1	2	117.0	144.0	170.0	1624	58166	57101	1065	269	269	[4, 3, 1, 4, 2, 3, 1, 2]	52101	30	[4, 3, 1, 4, 2, 3, 1, 2]	56832	A	166.0	162.0	107	154.0	0	152
6	0	2		183.0	193.0	2313	68127	66014	1607	304	304	[3, 2, 4, 1, 2, 4, 2]	61679	5	[3, 2, 4, 1, 2, 4, 3, 1]	65710	B		461.0	107	204.0	0	185
7	0	2		190.0	149.0	1624	77469	75605	921	265	265	[4, 3, 1, 4, 2, 3]	70608	5	[4, 3, 1, 4, 2, 3, 1, 2]	75340	A		291.0	107	164.0	1	127
8	0	2			253.0	2313	86313	84751	1054	385	385	[3, 2, 4, 1, 4]	80836	30	[3, 2, 4, 1, 2, 4, 3, 1]	84366	B			107	299.0	0	252
9	0	2		368.0	342.0	1624	94355	92486	1345	258	258	[4, 3, 1, 4, 2, 3, 1]	88597	30	[4, 3, 1, 4, 2, 3, 1, 2]	92228	A	180.0	150.0	107	218.0	1	87
10	1	2	129.0	581.0	147.0	2313	104237	102551	1686	292	292	[3, 2, 4, 1, 2, 4, 3, 1]	98427	10	[3, 2, 4, 1, 2, 4, 3, 1]	102259	B	170.0	193.0	107	187.0	0	279
11	1	2	119.0	166.0	163.0	1624	115052	113976	1076	289	289	[4, 3, 1, 4, 2, 3, 1, 2]	109156	10	[4, 3, 1, 4, 2, 3, 1, 2]	113687	A	152.0	199.0	107	178.0	0	99
12	1	2	160.0	515.0	175.0	2313	124455	122796	1659	306	306	[3, 2, 4, 1, 2, 4, 3, 1]	118858	10	[3, 2, 4, 1, 2, 4, 3, 1]	122490	B	160.0	198.0	107	217.0	0	234
13	0	2				2313	131905	131077	323	266	266	[3, 2, 3]	127279	5	[3, 2, 4, 1, 2, 4, 3, 1]	130811	B			107		0	135
14	0	2		195.0	127.0	1624	139945	138143	1026	325	325	[4, 3, 1, 4, 2, 3, 1]	134087	5	[4, 3, 1, 4, 2, 3, 1, 2]	137818	A	135.0	200.0	107	208.0	1	161
15	1	2	142.0	436.0	172.0	2313	148705	147116	1589	269	269	[3, 2, 4, 1, 2, 4, 3, 1]	142916	10	[3, 2, 4, 1, 2, 4, 3, 1]	146847	B	242.0	209.0	107	240.0	0	148
16	0	2				2313	157614	156775	333	320	320	[3, 2, 3]	152523	5	[3, 2, 4, 1, 2, 4, 3, 1]	156455	B			107		0	148
17	0	2		185.0	167.0	1624	166052	164165	1342	240	240	[4, 3, 1, 4, 2, 3, 1]	159994	5	[4, 3, 1, 4, 2, 3, 1, 2]	163925	A	393.0	320.0	107	176.0	1	101
18	1	2	162.0	199.0	135.0	2313	174554	172931	1623	275	275	[3, 2, 4, 1, 2, 4, 3, 1]	169025	30	[3, 2, 4, 1, 2, 4, 3, 1]	172656	B	229.0	479.0	107	235.0	0	184
19	1	2	175.0	254.0	170.0	1624	183633	182388	1245	283	283	[4, 3, 1, 4, 2, 3, 1, 2]	177774	30	[4, 3, 1, 4, 2, 3, 1, 2]	182105	A	151.0	188.0	107	185.0	0	122
20	1	2	153.0	359.0	280.0	2313	192614	191059	1555	280	280	[3, 2, 4, 1, 2, 4, 3, 1]	187149	10	[3, 2, 4, 1, 2, 4, 3, 1]	190779	B	215.0	148.0	107	197.0	0	203
21	0	2		218.0	147.0	1624	201493	199694	1132	328	328	[4, 3, 1, 4, 2, 3, 1]	195835	10	[4, 3, 1, 4, 2, 3, 1, 2]	199366	A	186.0	266.0	107	192.0	1	123
22	1	2	122.0	419.0	203.0	2313	210553	208851	1702	255	255	[3, 2, 4, 1, 2, 4, 3, 1]	204565	30	[3, 2, 4, 1, 2, 4, 3, 1]	208596	B	176.0	231.0	107	228.0	0	323
23	1	2	135.0	300.0	189.0	2313	220474	218798	1676	293	293	[3, 2, 4, 1, 2, 4, 3, 1]	214274	10	[3, 2, 4, 1, 2, 4, 3, 1]	218505	B	214.0	184.0	107	232.0	0	422
24	1	2	181.0	216.0	166.0	1624	229532	228267	1265	240	240	[4, 3, 1, 4, 2, 3, 1, 2]	223597	10	[4, 3, 1, 4, 2, 3, 1, 2]	228027	A	152.0	221.0	107	185.0	0	144
25	1	2	155.0	183.0	184.0	1624	239508	238266	1242	292	292	[4, 3, 1, 4, 2, 3, 1, 2]	233743	10	[4, 3, 1, 4, 2, 3, 1, 2]	237974	A	150.0	251.0	107	185.0	0	134
26	0	2			167.0	2313	248961	247514	942	362	362	[3, 2, 4, 1, 4]	243420	5	[3, 2, 4, 1, 2, 4, 3, 1]	247152	B			107	259.0	0	197
27	0	2		400.0	172.0	2313	257592	255321	1766	350	350	[3, 2, 4, 1, 2, 4, 3, 2]	251440	30	[3, 2, 4, 1, 2, 4, 3, 1]	254971	B	254.0	234.0	107	276.0	0	246
