	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	1	7	142.0	445.0	189.0	2313	10192	8653	1539	297.0	297	[3, 2, 4, 1, 2, 4, 3, 1]	4025	30	[3, 2, 4, 1, 2, 4, 3, 1]	8356	B	162.0	203.0	107	219.0	0	179.0
1	1	7	146.0	486.0	201.0	2313	19960	18223	1737	280.0	280	[3, 2, 4, 1, 2, 4, 3, 1]	13112	5	[3, 2, 4, 1, 2, 4, 3, 1]	17943	B	339.0	148.0	107	226.0	0	191.0
2	0	7				1624	28244	27739	0		325	[3]	23483	30	[4, 3, 1, 4, 2, 3, 1, 2]	27414	A			107		0	
3	0	7			150.0	1624	37071	35486	634	542.0	542	[4, 3, 1, 4]	31313	5	[4, 3, 1, 4, 2, 3, 1, 2]	34944	A			107	299.0	1	185.0
4	1	7	124.0	219.0	136.0	1624	45548	44448	1100	280.0	280	[4, 3, 1, 4, 2, 3, 1, 2]	40437	10	[4, 3, 1, 4, 2, 3, 1, 2]	44168	A	150.0	156.0	107	182.0	0	133.0
5	1	7	165.0	378.0	204.0	2313	54919	53379	1540	291.0	291	[3, 2, 4, 1, 2, 4, 3, 1]	49056	5	[3, 2, 4, 1, 2, 4, 3, 1]	53088	B	189.0	231.0	107	212.0	0	161.0
6	1	7	124.0	205.0	151.0	1624	63428	62324	1104	355.0	355	[4, 3, 1, 4, 2, 3, 1, 2]	58338	10	[4, 3, 1, 4, 2, 3, 1, 2]	61969	A	159.0	160.0	107	189.0	0	116.0
7	1	7	167.0	312.0	236.0	2313	72517	70971	1546	396.0	396	[3, 2, 4, 1, 2, 4, 3, 1]	67043	5	[3, 2, 4, 1, 2, 4, 3, 1]	70575	B	198.0	182.0	107	200.0	0	251.0
8	1	7	144.0	308.0	211.0	2313	81736	80244	1492	371.0	371	[3, 2, 4, 1, 2, 4, 3, 1]	76342	10	[3, 2, 4, 1, 2, 4, 3, 1]	79873	B	198.0	222.0	107	218.0	0	191.0
9	1	7	111.0	72.0	176.0	2313	90653	88988	1665	296.0	296	[3, 2, 4, 1, 2, 4, 3, 1]	84462	30	[3, 2, 4, 1, 2, 4, 3, 1]	88692	B	402.0	528.0	107	204.0	0	172.0
10	1	7	108.0	205.0	167.0	1624	99002	97979	1023	270.0	270	[4, 3, 1, 4, 2, 3, 1, 2]	93478	30	[4, 3, 1, 4, 2, 3, 1, 2]	97709	A	122.0	168.0	107	130.0	0	123.0
11	1	7	298.0	510.0	240.0	2313	109055	107327	1728	286.0	286	[3, 2, 4, 1, 2, 4, 3, 1]	103309	5	[3, 2, 4, 1, 2, 4, 3, 1]	107041	B	208.0	119.0	107	208.0	0	145.0
12	1	7	94.0	173.0	155.0	1624	116943	115978	965	273.0	273	[4, 3, 1, 4, 2, 3, 1, 2]	111774	30	[4, 3, 1, 4, 2, 3, 1, 2]	115705	A	150.0	157.0	107	136.0	0	100.0
13	1	7	81.0	189.0	122.0	1624	128162	127185	977	305.0	305	[4, 3, 1, 4, 2, 3, 1, 2]	120449	5	[4, 3, 1, 4, 2, 3, 1, 2]	126880	A	145.0	146.0	107	166.0	0	128.0
14	1	7	138.0	190.0	195.0	2313	140098	138582	1516	280.0	280	[3, 2, 4, 1, 2, 4, 3, 1]	132971	30	[3, 2, 4, 1, 2, 4, 3, 1]	138302	B	178.0	457.0	107	169.0	0	189.0
15	1	7	139.0	217.0	157.0	2313	148138	146760	1378	311.0	311	[3, 2, 4, 1, 2, 4, 3, 1]	142918	10	[3, 2, 4, 1, 2, 4, 3, 1]	146449	B	137.0	368.0	107	183.0	0	177.0
16	0	7		184.0	137.0	1624	157016	155174	784	285.0	285	[4, 3, 1, 4, 2, 3]	150958	10	[4, 3, 1, 4, 2, 3, 1, 2]	154889	A		229.0	107	125.0	1	109.0
17	1	7	114.0	246.0	152.0	2313	165610	164304	1306	285.0	285	[3, 2, 4, 1, 2, 4, 3, 1]	160188	10	[3, 2, 4, 1, 2, 4, 3, 1]	164019	B	146.0	333.0	107	189.0	0	126.0
18	0	7		230.0	164.0	1624	175891	174060	1155	296.0	296	[4, 3, 1, 4, 2, 3]	168732	5	[4, 3, 1, 4, 2, 3, 1, 2]	173764	A		493.0	107	123.0	1	145.0
19	0	7		417.0	168.0	1624	184924	183057	1228	263.0	263	[4, 3, 1, 4, 2, 3, 1]	178963	30	[4, 3, 1, 4, 2, 3, 1, 2]	182794	A	178.0	178.0	107	132.0	1	155.0
20	1	7	148.0	241.0	118.0	1624	193540	192436	1104	310.0	310	[4, 3, 1, 4, 2, 3, 1, 2]	187795	5	[4, 3, 1, 4, 2, 3, 1, 2]	192126	A	154.0	152.0	107	130.0	0	161.0
21	1	7	139.0	334.0	237.0	2313	202784	201304	1480	321.0	321	[3, 2, 4, 1, 2, 4, 3, 1]	197452	30	[3, 2, 4, 1, 2, 4, 3, 1]	200983	B	194.0	147.0	107	302.0	0	127.0
22	1	7	113.0	241.0	94.0	1624	210492	209445	1047	311.0	311	[4, 3, 1, 4, 2, 3, 1, 2]	205504	10	[4, 3, 1, 4, 2, 3, 1, 2]	209134	A	179.0	124.0	107	142.0	0	154.0
23	0	7		263.0	592.0	1624	220161	218299	1354	266.0	266	[4, 3, 1, 4, 2, 3, 1]	214102	30	[4, 3, 1, 4, 2, 3, 1, 2]	218033	A	155.0	113.0	107	61.0	1	170.0
24	0	7				1624	227772	227040	228	277.0	277	[4, 1]	223132	10	[4, 3, 1, 4, 2, 3, 1, 2]	226763	A			107		0	
25	1	7	166.0	304.0	200.0	2313	237076	235546	1530	274.0	274	[3, 2, 4, 1, 2, 4, 3, 1]	230940	5	[3, 2, 4, 1, 2, 4, 3, 1]	235272	B	241.0	136.0	107	244.0	0	239.0
26	1	7	152.0	434.0	198.0	2313	246539	244941	1598	313.0	313	[3, 2, 4, 1, 2, 4, 3, 1]	240496	10	[3, 2, 4, 1, 2, 4, 3, 1]	244628	B	214.0	166.0	107	230.0	0	204.0
27	0	7		411.0	423.0	1624	256116	254263	1298	274.0	274	[4, 3, 1, 4, 2, 3]	249557	5	[4, 3, 1, 4, 2, 3, 1, 2]	253989	A		132.0	107	177.0	1	155.0
28	1	7	160.0	284.0	209.0	2313	265816	264377	1439	260.0	260	[3, 2, 4, 1, 2, 4, 3, 1]	259886	10	[3, 2, 4, 1, 2, 4, 3, 1]	264117	B	194.0	184.0	107	237.0	0	171.0
29	1	7	165.0	237.0	195.0	2313	274728	273235	1493	268.0	268	[3, 2, 4, 1, 2, 4, 3, 1]	269037	30	[3, 2, 4, 1, 2, 4, 3, 1]	272967	B	221.0	248.0	107	235.0	0	192.0
