	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1		188.0	239.0	1838	10270	8244.0	1451.0	315.0	315.0	[3, 2, 4, 1, 2, 4, 3]	4312	5	[3, 2, 4, 1, 2, 4, 3, 1]	7929	B	342.0	249.0	111	192.0	1	241.0
1	1	1	124.0	147.0	130.0	1516	18190	17050.0	1140.0	340.0	340.0	[4, 3, 1, 4, 2, 3, 1, 2]	13099	5	[4, 3, 1, 4, 2, 3, 1, 2]	16710	A	187.0	233.0	111	169.0	0	150.0
2	1	1	84.0	164.0	137.0	1516	29185	28048.0	1137.0	345.0	345.0	[4, 3, 1, 4, 2, 3, 1, 2]	22191	30	[4, 3, 1, 4, 2, 3, 1, 2]	27703	A	235.0	199.0	111	187.0	0	131.0
3	1	1	82.0	168.0	152.0	1516	38479	37433.0	1046.0	336.0	336.0	[4, 3, 1, 4, 2, 3, 1, 2]	33585	30	[4, 3, 1, 4, 2, 3, 1, 2]	37097	A	203.0	159.0	111	177.0	0	105.0
4	1	1	112.0	151.0	141.0	1516	46902	45876.0	1026.0	380.0	380.0	[4, 3, 1, 4, 2, 3, 1, 2]	41979	5	[4, 3, 1, 4, 2, 3, 1, 2]	45496	A	185.0	152.0	111	145.0	0	140.0
5	1	1	197.0	215.0	222.0	1838	56285	54869.0	1416.0	345.0	345.0	[3, 2, 4, 1, 2, 4, 3, 1]	50611	30	[3, 2, 4, 1, 2, 4, 3, 1]	54524	B	239.0	240.0	111	151.0	0	152.0
6	0	1		90.0	231.0	1838	67115	65149.0	1296.0	375.0	375.0	[3, 2, 4, 1, 2, 4, 3]	59563	30	[3, 2, 4, 1, 2, 4, 3, 1]	64774	B	293.0	310.0	111	207.0	1	165.0
7	1	1	89.0	146.0	158.0	1516	77092	76029.0	1063.0	365.0	365.0	[4, 3, 1, 4, 2, 3, 1, 2]	71746	10	[4, 3, 1, 4, 2, 3, 1, 2]	75664	A	187.0	201.0	111	151.0	0	131.0
8	1	1	187.0	71.0	244.0	1838	86306	84913.0	1393.0	308.0	308.0	[3, 2, 4, 1, 2, 4, 3, 1]	80692	5	[3, 2, 4, 1, 2, 4, 3, 1]	84605	B	213.0	279.0	111	216.0	0	183.0
9	1	1	226.0	67.0	223.0	1838	95062	93627.0	1435.0	327.0	327.0	[3, 2, 4, 1, 2, 4, 3, 1]	89689	5	[3, 2, 4, 1, 2, 4, 3, 1]	93300	B	361.0	198.0	111	163.0	0	197.0
10	0	1		105.0	280.0	1838	103554	102185.0	864.0	330.0	330.0	[3, 2, 4, 1, 2, 2]	98240	10	[3, 2, 4, 1, 2, 4, 3, 1]	101855	B			111	165.0	0	122.0
11	1	1	166.0	79.0	240.0	1838	111669	110294.0	1375.0	293.0	293.0	[3, 2, 4, 1, 2, 4, 3, 1]	106488	30	[3, 2, 4, 1, 2, 4, 3, 1]	110001	B	259.0	282.0	111	152.0	0	197.0
12	1	1	126.0	178.0	128.0	1516	120543	119411.0	1132.0	348.0	348.0	[4, 3, 1, 4, 2, 3, 1, 2]	115447	5	[4, 3, 1, 4, 2, 3, 1, 2]	119063	A	204.0	169.0	111	174.0	0	153.0
13	1	1	110.0	144.0	157.0	1516	129173	128025.0	1148.0	363.0	363.0	[4, 3, 1, 4, 2, 3, 1, 2]	124044	10	[4, 3, 1, 4, 2, 3, 1, 2]	127662	A	226.0	183.0	111	155.0	0	173.0
14	0	1		134.0	226.0	1838	139004	137634.0	865.0	322.0	322.0	[3, 2, 4, 1, 2, 2]	133196	30	[3, 2, 4, 1, 2, 4, 3, 1]	137312	B			111	160.0	0	189.0
15	0	1		190.0	146.0	1516	150671	148970.0	1083.0	318.0	318.0	[4, 3, 1, 4, 2, 3, 1]	144334	30	[4, 3, 1, 4, 2, 3, 1, 2]	148652	A	228.0	189.0	111	151.0	1	179.0
16	1	1	237.0	116.0	243.0	1838	160539	159156.0	1383.0	317.0	317.0	[3, 2, 4, 1, 2, 4, 3, 1]	154424	10	[3, 2, 4, 1, 2, 4, 3, 1]	158839	B	216.0	231.0	111	190.0	0	150.0
17	0	1				1838	168586	167790.0	292.0	360.0	360.0	[3, 2, 4, 4]	163918	10	[3, 2, 4, 1, 2, 4, 3, 1]	167430	B			111	138.0	0	148.0
18	0	1		227.0	308.0	1838	177672	175681.0	1242.0	350.0	350.0	[3, 2, 4, 1, 2, 4]	171314	5	[3, 2, 4, 1, 2, 4, 3, 1]	175331	B		315.0	111	176.0	1	216.0
19	1	1	116.0	155.0	168.0	1516	186124	185042.0	1082.0	325.0	325.0	[4, 3, 1, 4, 2, 3, 1, 2]	180706	5	[4, 3, 1, 4, 2, 3, 1, 2]	184717	A	200.0	156.0	111	135.0	0	152.0
20	1	1	75.0	141.0	151.0	1516	195403	194377.0	1026.0	341.0	341.0	[4, 3, 1, 4, 2, 3, 1, 2]	189925	10	[4, 3, 1, 4, 2, 3, 1, 2]	194036	A	200.0	164.0	111	145.0	0	150.0
21	0	1		181.0	153.0	1516	205841	204246.0	1030.0	424.0	424.0	[4, 3, 1, 4, 2, 3, 1]	198907	30	[4, 3, 1, 4, 2, 3, 1, 2]	203822	A	182.0	178.0	111	159.0	1	177.0
22	1	1	193.0	76.0	205.0	1838	214515	213279.0	1236.0	366.0	366.0	[3, 2, 4, 1, 2, 4, 3, 1]	209295	10	[3, 2, 4, 1, 2, 4, 3, 1]	212913	B	263.0	194.0	111	155.0	0	150.0
23	1	1	109.0	188.0	174.0	1516	224109	222962.0	1147.0	350.0	350.0	[4, 3, 1, 4, 2, 3, 1, 2]	219101	10	[4, 3, 1, 4, 2, 3, 1, 2]	222612	A	258.0	132.0	111	137.0	0	149.0
24	0	1			312.0	1838	233519	232093.0	922.0	374.0	374.0	[3, 2, 4, 1, 4]	227609	5	[3, 2, 4, 1, 2, 4, 3, 1]	231719	B			111	188.0	0	187.0
25	1	1	109.0	206.0	138.0	1516	242287	241144.0	1143.0	371.0	371.0	[4, 3, 1, 4, 2, 3, 1, 2]	236461	5	[4, 3, 1, 4, 2, 3, 1, 2]	240773	A	203.0	154.0	111	161.0	0	172.0
26	1	1	175.0	107.0	220.0	1838	252568	251213.0	1355.0	307.0	307.0	[3, 2, 4, 1, 2, 4, 3, 1]	247393	10	[3, 2, 4, 1, 2, 4, 3, 1]	250906	B	216.0	311.0	111	142.0	0	184.0
27	1	1	87.0	198.0	141.0	1516	260938	259861.0	1077.0	303.0	303.0	[4, 3, 1, 4, 2, 3, 1, 2]	255747	30	[4, 3, 1, 4, 2, 3, 1, 2]	259558	A	221.0	128.0	111	140.0	0	162.0
28	0	1		160.0	158.0	1516	270297	268965.0	828.0	315.0	315.0	[4, 3, 1, 4, 2, 2]	264439	10	[4, 3, 1, 4, 2, 3, 1, 2]	268650	A			111	126.0	0	177.0
29	1	1	194.0	65.0	252.0	1838	278737	277354.0	1383.0	390.0	390.0	[3, 2, 4, 1, 2, 4, 3, 1]	273448	30	[3, 2, 4, 1, 2, 4, 3, 1]	276964	B	203.0	305.0	111	186.0	0	177.0
30	0	2		452.0	170.0	1382	11410	9876.0	962.0	351.0	351.0	[4, 3, 1, 4, 2]	4712	5	[4, 3, 1, 4, 2, 3, 1, 2]	9525	A			111	134.0	1	206.0
31	1	2	134.0	153.0	148.0	1382	20043	19011.0	1032.0	300.0	300.0	[4, 3, 1, 4, 2, 3, 1, 2]	14999	5	[4, 3, 1, 4, 2, 3, 1, 2]	18711	A	192.0	159.0	111	127.0	0	119.0
32	0	2		113.0	207.0	1529	31224	29556.0	1160.0	365.0	365.0	[3, 2, 4, 1, 2, 4, 3]	25378	5	[3, 2, 4, 1, 2, 4, 3, 1]	29191	B	451.0	103.0	111	143.0	1	143.0
33	0	2		165.0	135.0	1382	39760	38264.0	894.0	389.0	389.0	[4, 3, 1, 4, 2, 3, 1]	34264	30	[4, 3, 1, 4, 2, 3, 1, 2]	37875	A	187.0	155.0	111	103.0	1	149.0
34	1	2	41.0	141.0	129.0	1382	47950	47052.0	898.0	295.0	295.0	[4, 3, 1, 4, 2, 3, 1, 2]	42846	10	[4, 3, 1, 4, 2, 3, 1, 2]	46757	A	187.0	160.0	111	101.0	0	139.0
35	0	2		208.0	155.0	1382	59092	57508.0	740.0	301.0	301.0	[4, 3, 1, 4, 2, 3]	52496	30	[4, 3, 1, 4, 2, 3, 1, 2]	57207	A		114.0	111	126.0	1	137.0
36	0	2		90.0	200.0	1529	68321	66642.0	1090.0	353.0	353.0	[3, 2, 4, 1, 2, 4, 3]	62277	5	[3, 2, 4, 1, 2, 4, 3, 1]	66289	B	252.0	233.0	111	143.0	1	172.0
37	0	2		135.0	151.0	1382	78164	76585.0	1032.0	306.0	306.0	[4, 3, 1, 4, 2, 3, 1]	71559	5	[4, 3, 1, 4, 2, 3, 1, 2]	76279	A	306.0	173.0	111	101.0	1	166.0
38	0	2		96.0	212.0	1529	87292	85587.0	1074.0	327.0	327.0	[3, 2, 4, 1, 2, 4, 3]	81750	30	[3, 2, 4, 1, 2, 4, 3, 1]	85260	B	260.0	202.0	111	154.0	1	150.0
39	0	2		125.0	130.0	1382	95629	94279.0	846.0	334.0	334.0	[4, 3, 1, 4, 2, 3, 2]	90331	30	[4, 3, 1, 4, 2, 3, 1, 2]	93945	A		197.0	111	122.0	0	116.0
40	0	2		65.0	219.0	1529	105545	104083.0	958.0	355.0	355.0	[3, 2, 4, 1, 2, 4, 2]	99916	10	[3, 2, 4, 1, 2, 4, 3, 1]	103728	B		189.0	111	166.0	0	158.0
41	0	2		186.0	133.0	1382	117091	115521.0	818.0	315.0	315.0	[4, 3, 1, 4, 2, 3]	110689	10	[4, 3, 1, 4, 2, 3, 1, 2]	115206	A		174.0	111	130.0	1	195.0
42	0	2		79.0	250.0	1529	126228	124498.0	1088.0	302.0	302.0	[3, 2, 4, 1, 2, 4]	120584	10	[3, 2, 4, 1, 2, 4, 3, 1]	124196	B		447.0	111	150.0	1	162.0
43	0	2		189.0	239.0	1529	134810	133110.0	1098.0	332.0	332.0	[3, 2, 4, 1, 2, 4, 3]	129266	5	[3, 2, 4, 1, 2, 4, 3, 1]	132778	B	201.0	157.0	111	141.0	1	171.0
44	0	2		193.0	147.0	1382	143344	141776.0	984.0	317.0	317.0	[4, 3, 1, 4, 2, 3, 1]	137748	5	[4, 3, 1, 4, 2, 3, 1, 2]	141459	A	226.0	155.0	111	101.0	1	162.0
45	0	2		259.0	268.0	1529	152475	150781.0	1163.0	338.0	338.0	[3, 2, 4, 1, 2]	146532	10	[3, 2, 4, 1, 2, 4, 3, 1]	150443	B			111	403.0	1	233.0
46	0	2		96.0	218.0	1529	162270	160747.0	1019.0	322.0	322.0	[3, 2, 4, 1, 2, 4, 2]	156513	5	[3, 2, 4, 1, 2, 4, 3, 1]	160425	B		183.0	111	138.0	0	177.0
47	0	2		142.0	150.0	1382	171210	169637.0	1000.0	312.0	312.0	[4, 3, 1, 4, 2, 3, 1]	165413	5	[4, 3, 1, 4, 2, 3, 1, 2]	169325	A	219.0	173.0	111	137.0	1	179.0
48	1	2	186.0	63.0	258.0	1529	179483	178291.0	1192.0	285.0	285.0	[3, 2, 4, 1, 2, 4, 3, 1]	174395	30	[3, 2, 4, 1, 2, 4, 3, 1]	178006	B	179.0	229.0	111	143.0	0	134.0
49	0	2		172.0	278.0	1382	189675	188083.0	919.0	293.0	293.0	[4, 3, 1, 4, 2, 3]	183474	30	[4, 3, 1, 4, 2, 3, 1, 2]	187790	A		177.0	111	131.0	1	161.0
50	0	2		53.0	245.0	1529	198512	196812.0	1056.0	332.0	332.0	[3, 2, 4, 1, 2, 4, 3]	192867	10	[3, 2, 4, 1, 2, 4, 3, 1]	196480	B	247.0	224.0	111	172.0	1	115.0
51	0	2		177.0	140.0	1382	207354	205799.0	969.0	330.0	330.0	[4, 3, 1, 4, 2, 3, 1]	201956	10	[4, 3, 1, 4, 2, 3, 1, 2]	205469	A	198.0	160.0	111	162.0	1	132.0
52	0	2		66.0	231.0	1529	216686	214960.0	1026.0	306.0	306.0	[3, 2, 4, 1, 2, 4, 3]	210640	30	[3, 2, 4, 1, 2, 4, 3, 1]	214654	B	225.0	188.0	111	155.0	1	161.0
53	0	2		96.0	209.0	1529	226757	225180.0	1073.0	345.0	345.0	[3, 2, 4, 1, 2, 4, 3, 2]	220625	10	[3, 2, 4, 1, 2, 4, 3, 1]	224835	B	215.0	178.0	111	152.0	0	158.0
54	1	2	47.0	146.0	138.0	1382	235813	234825.0	988.0	317.0	317.0	[4, 3, 1, 4, 2, 3, 1, 2]	230096	10	[4, 3, 1, 4, 2, 3, 1, 2]	234508	A	178.0	180.0	111	142.0	0	157.0
55	1	2	74.0	167.0	171.0	1382	245814	244795.0	1019.0	333.0	333.0	[4, 3, 1, 4, 2, 3, 1, 2]	240249	10	[4, 3, 1, 4, 2, 3, 1, 2]	244462	A	196.0	144.0	111	115.0	0	152.0
