	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1		242.0	232.0	1478	9905	8223	1092	299.0	299	[2, 1, 4, 2, 3]	4313	5	[2, 1, 4, 2, 3, 4, 1, 3]	7924	B			128	293.0	1	325.0
1	0	1		123.0	123.0	1239	18446	16967	901	263.0	263	[3, 2, 4, 1, 2, 4, 3]	13093	5	[3, 2, 4, 1, 2, 4, 3, 1]	16704	A	137.0	247.0	128	179.0	1	92.0
2	0	1		130.0	161.0	1239	29119	27949	665	265.0	265	[3, 2, 4, 1, 2, 2]	22173	30	[3, 2, 4, 1, 2, 4, 3, 1]	27684	A			128	159.0	0	69.0
3	0	1		152.0	167.0	1239	38511	37061	821	292.0	292	[3, 2, 4, 1, 2, 4, 3]	33253	30	[3, 2, 4, 1, 2, 4, 3, 1]	36769	A	112.0	168.0	128	105.0	1	117.0
4	1	1	121.0	234.0	132.0	1239	46466	45531	935	282.0	282	[3, 2, 4, 1, 2, 4, 3, 1]	41738	5	[3, 2, 4, 1, 2, 4, 3, 1]	45249	A	106.0	128.0	128	138.0	0	76.0
5	1	1	135.0	164.0	190.0	1478	55708	54622	1086	257.0	257	[2, 1, 4, 2, 3, 4, 1, 3]	50454	30	[2, 1, 4, 2, 3, 4, 1, 3]	54365	B	112.0	151.0	128	256.0	0	78.0
6	1	1	133.0	161.0	125.0	1478	66020	64805	1215	245.0	245	[2, 1, 4, 2, 3, 4, 1, 3]	59346	30	[2, 1, 4, 2, 3, 4, 1, 3]	64560	B	172.0	112.0	128	227.0	0	285.0
7	0	1		110.0	105.0	1239	77211	75757	857	288.0	288	[3, 2, 4, 1, 2, 4, 3]	71558	10	[3, 2, 4, 1, 2, 4, 3, 1]	75469	A	218.0	142.0	128	129.0	1	153.0
8	1	1	142.0	204.0	165.0	1478	85903	84779	1124	322.0	322	[2, 1, 4, 2, 3, 4, 1, 3]	80538	5	[2, 1, 4, 2, 3, 4, 1, 3]	84457	B	121.0	126.0	128	186.0	0	180.0
9	1	1	103.0	154.0	135.0	1478	94521	93576	945	324.0	324	[2, 1, 4, 2, 3, 4, 1, 3]	89641	5	[2, 1, 4, 2, 3, 4, 1, 3]	93252	B	111.0	106.0	128	134.0	0	202.0
10	1	1	114.0	167.0	113.0	1478	102861	101963	898	293.0	293	[2, 1, 4, 2, 3, 4, 1, 3]	98059	10	[2, 1, 4, 2, 3, 4, 1, 3]	101670	B	107.0	100.0	128	148.0	0	149.0
11	1	1	125.0	161.0	138.0	1478	111426	110493	933	282.0	282	[2, 1, 4, 2, 3, 4, 1, 3]	106700	30	[2, 1, 4, 2, 3, 4, 1, 3]	110211	B	132.0	100.0	128	93.0	0	184.0
12	1	1	127.0	110.0	156.0	1239	120323	119443	880	268.0	268	[3, 2, 4, 1, 2, 4, 3, 1]	115564	5	[3, 2, 4, 1, 2, 4, 3, 1]	119175	A	101.0	154.0	128	102.0	0	130.0
13	1	1	139.0	132.0	181.0	1239	128922	128004	918	292.0	292	[3, 2, 4, 1, 2, 4, 3, 1]	124100	10	[3, 2, 4, 1, 2, 4, 3, 1]	127712	A	98.0	152.0	128	97.0	0	119.0
14	1	1	135.0	163.0	139.0	1478	138517	137574	943	264.0	264	[2, 1, 4, 2, 3, 4, 1, 3]	133199	30	[2, 1, 4, 2, 3, 4, 1, 3]	137310	B	91.0	113.0	128	137.0	0	165.0
15	1	1	120.0	89.0	132.0	1239	150198	149335	863	269.0	269	[3, 2, 4, 1, 2, 4, 3, 1]	144755	30	[3, 2, 4, 1, 2, 4, 3, 1]	149066	A	84.0	179.0	128	107.0	0	152.0
16	1	1	131.0	162.0	98.0	1478	160432	159468	964	280.0	280	[2, 1, 4, 2, 3, 4, 1, 3]	154776	10	[2, 1, 4, 2, 3, 4, 1, 3]	159188	B	108.0	126.0	128	181.0	0	158.0
17	1	1	136.0	159.0	122.0	1478	168983	168031	952	350.0	350	[2, 1, 4, 2, 3, 4, 1, 3]	164170	10	[2, 1, 4, 2, 3, 4, 1, 3]	167681	B	102.0	124.0	128	214.0	0	95.0
18	0	1				1478	177627	177123	0		486	[1]	172626	5	[2, 1, 4, 2, 3, 4, 1, 3]	176637	B			128		0	
19	0	1		196.0	120.0	1239	186780	185315	878	277.0	277	[3, 2, 4, 1, 2, 4, 3]	181026	5	[3, 2, 4, 1, 2, 4, 3, 1]	185038	A	121.0	133.0	128	160.0	1	148.0
20	0	1		145.0	159.0	1239	196160	194703	863	285.0	285	[3, 2, 4, 1, 2, 4, 3]	190307	10	[3, 2, 4, 1, 2, 4, 3, 1]	194418	A	109.0	181.0	128	139.0	1	130.0
21	1	1	121.0	122.0	192.0	1239	205505	204560	945	261.0	261	[3, 2, 4, 1, 2, 4, 3, 1]	199387	30	[3, 2, 4, 1, 2, 4, 3, 1]	204299	A	133.0	180.0	128	128.0	0	69.0
22	1	1	145.0	191.0	190.0	1478	214824	213709	1115	315.0	315	[2, 1, 4, 2, 3, 4, 1, 3]	209783	10	[2, 1, 4, 2, 3, 4, 1, 3]	213394	B	149.0	139.0	128	169.0	0	132.0
23	0	1		173.0	223.0	1239	225015	223571	875	298.0	298	[3, 2, 4, 1, 2, 4, 3]	219762	10	[3, 2, 4, 1, 2, 4, 3, 1]	223273	A	187.0	85.0	128	147.0	1	60.0
24	1	1	117.0	176.0	123.0	1478	233650	232651	999	292.0	292	[2, 1, 4, 2, 3, 4, 1, 3]	228248	5	[2, 1, 4, 2, 3, 4, 1, 3]	232359	B	136.0	122.0	128	162.0	0	163.0
25	1	1	102.0	107.0	117.0	1239	242937	242125	812	310.0	310	[3, 2, 4, 1, 2, 4, 3, 1]	237492	5	[3, 2, 4, 1, 2, 4, 3, 1]	241815	A	94.0	148.0	128	131.0	0	113.0
26	1	1	126.0	167.0	97.0	1478	253048	252156	892	329.0	329	[2, 1, 4, 2, 3, 4, 1, 3]	248315	10	[2, 1, 4, 2, 3, 4, 1, 3]	251827	B	114.0	117.0	128	136.0	0	135.0
27	1	1	107.0	96.0	103.0	1239	261475	260690	785	293.0	293	[3, 2, 4, 1, 2, 4, 3, 1]	256586	30	[3, 2, 4, 1, 2, 4, 3, 1]	260397	A	115.0	144.0	128	129.0	0	91.0
