	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1	2017		519.0	321.0	3000	8071	5096	2266	528.0	528	[3, 2, 4, 1, 2, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	4568	B		571.0	133	465.0	1	390.0
1	0	1	10111		335.0	458.0	3000	16147	13022	2421	378.0	378	[4, 3, 1, 4, 2, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	12644	A		408.0	133	757.0	1	463.0
2	0	1	18185		323.0	379.0	3000	24218	21014	2177	299.0	299	[4, 3, 1, 4, 2, 3, 1]	[4, 3, 1, 4, 2, 3, 1, 2]	20715	A	270.0	473.0	133	339.0	1	393.0
3	0	1	26257		502.0	531.0	3000	32291	29053	2656	265.0	265	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	28788	B	390.0	506.0	133	319.0	1	408.0
4	0	1	34329		461.0	363.0	3000	40363	37163	2532	303.0	303	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	36860	B	597.0	459.0	133	328.0	1	324.0
5	1	1	42402	357.0	339.0	334.0	3000	47572	45236	2336	302.0	302	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	44934	A	297.0	349.0	133	328.0	0	332.0
6	1	1	49601	327.0	395.0	324.0	3000	54688	52362	2326	229.0	229	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	52133	A	293.0	326.0	133	322.0	0	339.0
7	1	1	56730	356.0	372.0	426.0	3000	61962	59531	2431	268.0	268	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	59263	A	323.0	309.0	133	349.0	0	296.0
8	1	1	63994	381.0	410.0	342.0	3000	69392	66831	2561	305.0	305	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	66526	A	345.0	327.0	133	438.0	0	318.0
9	0	1	71425		398.0	384.0	3000	77460	74268	2092	311.0	311	[4, 3, 1, 4, 2, 3, 1]	[4, 3, 1, 4, 2, 3, 1, 2]	73957	A	291.0	356.0	133	344.0	1	319.0
10	1	1	79500	302.0	361.0	357.0	3000	84573	82341	2232	309.0	309	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	82032	A	291.0	303.0	133	301.0	0	317.0
11	1	1	86604	278.0	327.0	295.0	3000	91744	89486	2258	350.0	350	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	89136	A	260.0	276.0	133	275.0	0	547.0
12	1	1	93770	330.0	338.0	289.0	3000	98748	96605	2143	305.0	305	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	96300	A	285.0	322.0	133	325.0	0	254.0
13	0	1	100774		350.0	267.0	3000	106038	103604	1927	300.0	300	[3, 2, 4, 1, 2, 4, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	103304	B		295.0	133	299.0	0	313.0
14	1	1	108077	301.0	317.0	344.0	3000	112953	110924	2029	317.0	317	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	110607	A	255.0	294.0	133	263.0	0	255.0
15	1	1	114979	351.0	379.0	357.0	3000	120213	117808	2405	298.0	298	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	117510	A	293.0	345.0	133	347.0	0	333.0
16	0	1	122239		371.0	366.0	3000	128275	125096	2629	324.0	324	[4, 3, 1, 4, 2, 3, 1]	[4, 3, 1, 4, 2, 3, 1, 2]	124772	A	934.0	344.0	133	317.0	1	297.0
17	1	1	130314	413.0	402.0	262.0	3000	135605	133178	2427	343.0	343	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	132835	B	359.0	330.0	133	339.0	0	322.0
18	0	1	137635		396.0	307.0	3000	143671	140446	2381	278.0	278	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	140168	B	455.0	347.0	133	411.0	1	465.0
19	1	1	145705	337.0	336.0	309.0	3000	150889	148666	2223	428.0	428	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	148238	A	307.0	344.0	133	295.0	0	295.0
20	0	1	152921		359.0	347.0	3000	158307	155700	2102	246.0	246	[3, 2, 4, 1, 2, 4, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	155454	B		355.0	133	356.0	0	318.0
21	1	1	160347	374.0	293.0	303.0	3000	165544	163366	2178	486.0	486	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	162880	A	269.0	311.0	133	355.0	0	273.0
22	1	1	167573	433.0	398.0	267.0	3000	172714	170387	2327	280.0	280	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	170107	B	338.0	333.0	133	295.0	0	263.0
23	1	1	174747	310.0	387.0	242.0	3000	179720	177613	2107	333.0	333	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	177280	B	352.0	264.0	133	265.0	0	287.0
24	1	1	181751	304.0	480.0	282.0	3000	186772	184570	2202	286.0	286	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	184284	B	286.0	287.0	133	279.0	0	284.0
25	1	1	188798	304.0	285.0	335.0	3000	193829	191911	1918	580.0	580	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	191331	A	214.0	274.0	133	258.0	0	248.0
