	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1	2009				3000	6019	5005	509	486.0	486	[4, 4]	[4, 3, 1, 4, 2, 3, 1, 2]	4519	A			111		0	
1	1	1	8040	371.0	213.0	285.0	3000	12881	10888	1993	336.0	336	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	10552	B	301.0	300.0	111	251.0	0	272.0
2	1	1	14894	258.0	197.0	137.0	3000	19178	17736	1442	327.0	327	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	17409	A	250.0	198.0	111	216.0	0	186.0
3	1	1	21192	167.0	212.0	138.0	3000	25132	23746	1386	44.0	44	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	23702	A	271.0	195.0	111	174.0	0	229.0
4	0	1	27153				3000	30182	29677	0		13	[2]	[3, 2, 4, 1, 2, 4, 3, 1]	29664	B			111		0	
5	1	1	32195	130.0	192.0	140.0	3000	36395	35105	1290	399.0	399	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	34706	A	214.0	197.0	111	236.0	0	181.0
6	0	1	38409				3000	42235	41237	494	318.0	318	[4, 3, 4]	[4, 3, 1, 4, 2, 3, 1, 2]	40919	A			111		0	188.0
7	1	1	44249	275.0	339.0	274.0	3000	49211	47094	2117	332.0	332	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	46762	B	460.0	401.0	111	196.0	0	172.0
8	1	1	51225	101.0	213.0	110.0	3000	55266	54020	1246	285.0	285	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	53735	A	244.0	174.0	111	238.0	0	166.0
9	1	1	57280	88.0	282.0	11.0	3000	61384	60078	1306	289.0	289	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	59789	A	302.0	167.0	111	296.0	0	160.0
10	1	1	63399	156.0	182.0	165.0	3000	67521	66202	1319	293.0	293	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	65909	A	232.0	175.0	111	237.0	0	172.0
11	1	1	69539	130.0	174.0	137.0	3000	73565	72362	1203	313.0	313	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	72049	A	201.0	180.0	111	196.0	0	185.0
