	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1		497.0	213.0	1973.0	10642	8621	1332	456.0	456	[3, 2, 4, 1, 2, 4]	4033	10	[3, 2, 4, 1, 2, 4, 3, 1]	8165	B		176.0	101	242.0	1	204.0
1	1	1	160.0	155.0	184.0	1753.5	18556	17366	1190	372.0	372	[4, 3, 1, 4, 2, 3, 1, 2]	13462	10	[4, 3, 1, 4, 2, 3, 1, 2]	16994	A	179.0	175.0	101	185.0	0	152.0
2	1	1	120.0	237.0	179.0	1753.5	28478	27222	1256	354.0	354	[4, 3, 1, 4, 2, 3, 1, 2]	22639	10	[4, 3, 1, 4, 2, 3, 1, 2]	26868	A	198.0	153.0	101	226.0	0	143.0
3	1	1	133.0	171.0	177.0	1753.5	37112	35904	1208	411.0	411	[4, 3, 1, 4, 2, 3, 1, 2]	31862	20	[4, 3, 1, 4, 2, 3, 1, 2]	35493	A	188.0	180.0	101	217.0	0	142.0
4	1	1	146.0	425.0	193.0	1973.0	45691	44276	1415	354.0	354	[3, 2, 4, 1, 2, 4, 3, 1]	40391	20	[3, 2, 4, 1, 2, 4, 3, 1]	43922	B	181.0	142.0	101	139.0	0	189.0
5	1	1	171.0	382.0	175.0	1973.0	55815	54407	1408	423.0	423	[3, 2, 4, 1, 2, 4, 3, 1]	49053	20	[3, 2, 4, 1, 2, 4, 3, 1]	53984	B	185.0	168.0	101	141.0	0	186.0
6	1	1	166.0	314.0	167.0	1973.0	66612	65182	1430	373.0	373	[3, 2, 4, 1, 2, 4, 3, 1]	60278	5	[3, 2, 4, 1, 2, 4, 3, 1]	64809	B	240.0	184.0	101	154.0	0	205.0
7	1	1	132.0	175.0	170.0	1753.5	75291	74151	1140	346.0	346	[4, 3, 1, 4, 2, 3, 1, 2]	69973	5	[4, 3, 1, 4, 2, 3, 1, 2]	73805	A	166.0	188.0	101	201.0	0	108.0
8	1	1	140.0	187.0	141.0	1753.5	85396	84150	1246	342.0	342	[4, 3, 1, 4, 2, 3, 1, 2]	80077	20	[4, 3, 1, 4, 2, 3, 1, 2]	83808	A	209.0	208.0	101	233.0	0	128.0
9	1	1	131.0	335.0	209.0	1753.5	94093	92737	1356	328.0	328	[4, 3, 1, 4, 2, 3, 1, 2]	88878	10	[4, 3, 1, 4, 2, 3, 1, 2]	92409	A	187.0	132.0	101	220.0	0	142.0
10	1	1	115.0	161.0	233.0	1753.5	103236	101987	1249	384.0	384	[4, 3, 1, 4, 2, 3, 1, 2]	97372	20	[4, 3, 1, 4, 2, 3, 1, 2]	101603	A	185.0	173.0	101	230.0	0	152.0
11	1	1	119.0	200.0	186.0	1753.5	112411	111186	1225	336.0	336	[4, 3, 1, 4, 2, 3, 1, 2]	107219	20	[4, 3, 1, 4, 2, 3, 1, 2]	110850	A	189.0	146.0	101	231.0	0	154.0
12	1	1	162.0	270.0	181.0	1973.0	120982	119651	1331	324.0	324	[3, 2, 4, 1, 2, 4, 3, 1]	115795	5	[3, 2, 4, 1, 2, 4, 3, 1]	119327	B	164.0	187.0	101	155.0	0	211.0
13	1	1	155.0	140.0	154.0	1973.0	131815	130611	1204	334.0	334	[3, 2, 4, 1, 2, 4, 3, 1]	126446	20	[3, 2, 4, 1, 2, 4, 3, 1]	130277	B	167.0	240.0	101	136.0	0	212.0
14	1	1	126.0	163.0	148.0	1753.5	141020	139770	1250	467.0	467	[4, 3, 1, 4, 2, 3, 1, 2]	135072	5	[4, 3, 1, 4, 2, 3, 1, 2]	139303	A	201.0	141.0	101	225.0	0	246.0
15	1	1	148.0	392.0	191.0	1973.0	149606	148209	1397	379.0	379	[3, 2, 4, 1, 2, 4, 3, 1]	144299	20	[3, 2, 4, 1, 2, 4, 3, 1]	147830	B	189.0	135.0	101	128.0	0	214.0
16	1	1	180.0	99.0	176.0	1973.0	159215	157991	1224	392.0	392	[3, 2, 4, 1, 2, 4, 3, 1]	154068	10	[3, 2, 4, 1, 2, 4, 3, 1]	157599	B	171.0	241.0	101	137.0	0	220.0
17	1	1	160.0	113.0	166.0	1973.0	169434	168198	1236	392.0	392	[3, 2, 4, 1, 2, 4, 3, 1]	163674	10	[3, 2, 4, 1, 2, 4, 3, 1]	167806	B	201.0	256.0	101	105.0	0	235.0
18	1	1	153.0	141.0	177.0	1973.0	177956	176731	1225	403.0	403	[3, 2, 4, 1, 2, 4, 3, 1]	172696	5	[3, 2, 4, 1, 2, 4, 3, 1]	176328	B	166.0	230.0	101	130.0	0	228.0
19	1	1	150.0	167.0	195.0	1753.5	186964	185726	1238	376.0	376	[4, 3, 1, 4, 2, 3, 1, 2]	181620	10	[4, 3, 1, 4, 2, 3, 1, 2]	185350	A	191.0	158.0	101	212.0	0	165.0
20	1	1	134.0	182.0	156.0	1753.5	195567	194343	1224	365.0	365	[4, 3, 1, 4, 2, 3, 1, 2]	190246	5	[4, 3, 1, 4, 2, 3, 1, 2]	193978	A	211.0	159.0	101	237.0	0	145.0
21	1	1	124.0	164.0	142.0	1753.5	204702	203521	1181	345.0	345	[4, 3, 1, 4, 2, 3, 1, 2]	198945	20	[4, 3, 1, 4, 2, 3, 1, 2]	203176	A	208.0	160.0	101	240.0	0	143.0
22	1	1	136.0	145.0	184.0	1973.0	213593	212075	1518	365.0	365	[3, 2, 4, 1, 2, 4, 3, 1]	207981	5	[3, 2, 4, 1, 2, 4, 3, 1]	211710	B	313.0	397.0	101	152.0	0	191.0
23	1	1	120.0	136.0	137.0	1753.5	222307	221161	1146	472.0	472	[4, 3, 1, 4, 2, 3, 1, 2]	216858	5	[4, 3, 1, 4, 2, 3, 1, 2]	220689	A	204.0	176.0	101	213.0	0	160.0
24	0	1		243.0	218.0	1753.5	232179	230426	1215	506.0	506	[4, 3, 1, 4, 2, 3, 1]	226289	10	[4, 3, 1, 4, 2, 3, 1, 2]	229920	A	258.0	85.0	101	262.0	1	149.0
25	1	1	147.0	121.0	168.0	1973.0	241059	239799	1260	352.0	352	[3, 2, 4, 1, 2, 4, 3, 1]	235816	5	[3, 2, 4, 1, 2, 4, 3, 1]	239447	B	139.0	365.0	101	135.0	0	185.0
26	1	1	160.0	131.0	163.0	1973.0	251941	250504	1437	355.0	355	[3, 2, 4, 1, 2, 4, 3, 1]	244719	10	[3, 2, 4, 1, 2, 4, 3, 1]	250149	B	165.0	463.0	101	133.0	0	222.0
27	1	1	168.0	131.0	183.0	1973.0	260581	259292	1289	355.0	355	[3, 2, 4, 1, 2, 4, 3, 1]	255106	10	[3, 2, 4, 1, 2, 4, 3, 1]	258937	B	139.0	304.0	101	153.0	0	211.0
28	1	1	191.0	121.0	167.0	1973.0	269580	268228	1352	356.0	356	[3, 2, 4, 1, 2, 4, 3, 1]	264041	20	[3, 2, 4, 1, 2, 4, 3, 1]	267872	B	176.0	368.0	101	133.0	0	196.0
29	1	1	144.0	161.0	169.0	1753.5	280678	279521	1157	349.0	349	[4, 3, 1, 4, 2, 3, 1, 2]	274240	5	[4, 3, 1, 4, 2, 3, 1, 2]	279172	A	191.0	154.0	101	198.0	0	140.0
30	1	2	148.0	400.0	184.0	1973.0	9646	8134	1512	373.0	373	[3, 2, 4, 1, 2, 4, 3, 1]	4230	10	[3, 2, 4, 1, 2, 4, 3, 1]	7761	B	201.0	175.0	101	210.0	0	194.0
31	0	2		182.0	162.0	1753.5	19771	18264	1003	317.0	317	[4, 3, 1, 4, 2, 3, 2]	14315	20	[4, 3, 1, 4, 2, 3, 1, 2]	17947	A		172.0	101	189.0	0	127.0
32	1	2	139.0	190.0	167.0	1973.0	28501	27008	1493	363.0	363	[3, 2, 4, 1, 2, 4, 3, 1]	23013	5	[3, 2, 4, 1, 2, 4, 3, 1]	26645	B	195.0	411.0	101	184.0	0	207.0
33	0	2		366.0	197.0	1753.5	38052	36152	1294	356.0	356	[4, 3, 1, 4, 2, 3, 1]	31765	20	[4, 3, 1, 4, 2, 3, 1, 2]	35796	A	203.0	178.0	101	203.0	1	147.0
34	1	2	143.0	188.0	172.0	1753.5	47063	45882	1181	358.0	358	[4, 3, 1, 4, 2, 3, 1, 2]	41592	5	[4, 3, 1, 4, 2, 3, 1, 2]	45524	A	174.0	185.0	101	180.0	0	139.0
35	1	2	166.0	155.0	189.0	1753.5	55645	54422	1223	344.0	344	[4, 3, 1, 4, 2, 3, 1, 2]	50447	5	[4, 3, 1, 4, 2, 3, 1, 2]	54078	A	190.0	173.0	101	199.0	0	151.0
36	1	2	166.0	174.0	151.0	1973.0	65807	64308	1499	347.0	347	[3, 2, 4, 1, 2, 4, 3, 1]	60330	10	[3, 2, 4, 1, 2, 4, 3, 1]	63961	B	304.0	309.0	101	192.0	0	203.0
37	1	2	151.0	143.0	128.0	1973.0	75208	73896	1312	398.0	398	[3, 2, 4, 1, 2, 4, 3, 1]	69667	10	[3, 2, 4, 1, 2, 4, 3, 1]	73498	B	130.0	418.0	101	166.0	0	176.0
38	1	2	167.0	137.0	149.0	1973.0	84275	82960	1315	355.0	355	[3, 2, 4, 1, 2, 4, 3, 1]	78874	20	[3, 2, 4, 1, 2, 4, 3, 1]	82605	B	221.0	245.0	101	187.0	0	209.0
39	1	2	174.0	147.0	198.0	1753.5	93118	91916	1202	348.0	348	[4, 3, 1, 4, 2, 3, 1, 2]	87736	5	[4, 3, 1, 4, 2, 3, 1, 2]	91568	A	157.0	187.0	101	226.0	0	113.0
40	1	2	129.0	139.0	165.0	1973.0	102751	101237	1514	403.0	403	[3, 2, 4, 1, 2, 4, 3, 1]	97302	10	[3, 2, 4, 1, 2, 4, 3, 1]	100834	B	395.0	331.0	101	203.0	0	152.0
41	1	2	170.0	163.0	193.0	1753.5	112705	111473	1232	338.0	338	[4, 3, 1, 4, 2, 3, 1, 2]	106315	10	[4, 3, 1, 4, 2, 3, 1, 2]	111135	A	201.0	181.0	101	175.0	0	149.0
42	1	2	144.0	165.0	155.0	1973.0	121491	120154	1337	338.0	338	[3, 2, 4, 1, 2, 4, 3, 1]	115984	20	[3, 2, 4, 1, 2, 4, 3, 1]	119816	B	233.0	285.0	101	179.0	0	176.0
43	1	2	131.0	152.0	139.0	1973.0	129831	128645	1186	363.0	363	[3, 2, 4, 1, 2, 4, 3, 1]	124750	5	[3, 2, 4, 1, 2, 4, 3, 1]	128282	B	196.0	211.0	101	164.0	0	193.0
44	1	2	155.0	190.0	223.0	1753.5	139502	138250	1252	325.0	325	[4, 3, 1, 4, 2, 3, 1, 2]	134094	10	[4, 3, 1, 4, 2, 3, 1, 2]	137925	A	171.0	170.0	101	208.0	0	135.0
45	1	2	131.0	258.0	303.0	1753.5	148550	147162	1388	348.0	348	[4, 3, 1, 4, 2, 3, 1, 2]	142783	10	[4, 3, 1, 4, 2, 3, 1, 2]	146814	A	160.0	155.0	101	218.0	0	163.0
46	1	2	136.0	406.0	175.0	1973.0	157550	156204	1346	343.0	343	[3, 2, 4, 1, 2, 4, 3, 1]	151929	5	[3, 2, 4, 1, 2, 4, 3, 1]	155861	B	181.0	146.0	101	145.0	0	157.0
47	1	2	162.0	163.0	180.0	1753.5	166571	165391	1180	352.0	352	[4, 3, 1, 4, 2, 3, 1, 2]	161509	10	[4, 3, 1, 4, 2, 3, 1, 2]	165039	A	164.0	178.0	101	200.0	0	133.0
48	1	2	117.0	144.0	133.0	1973.0	177642	176488	1154	409.0	409	[3, 2, 4, 1, 2, 4, 3, 1]	171948	5	[3, 2, 4, 1, 2, 4, 3, 1]	176079	B	161.0	291.0	101	155.0	0	153.0
49	1	2	181.0	161.0	232.0	1753.5	186827	185556	1271	325.0	325	[4, 3, 1, 4, 2, 3, 1, 2]	181100	20	[4, 3, 1, 4, 2, 3, 1, 2]	185231	A	176.0	185.0	101	192.0	0	144.0
50	1	2	148.0	123.0	142.0	1973.0	195354	194131	1223	391.0	391	[3, 2, 4, 1, 2, 4, 3, 1]	190109	10	[3, 2, 4, 1, 2, 4, 3, 1]	193740	B	226.0	231.0	101	165.0	0	188.0
51	1	2	164.0	149.0	184.0	1753.5	203808	202606	1202	353.0	353	[4, 3, 1, 4, 2, 3, 1, 2]	198421	5	[4, 3, 1, 4, 2, 3, 1, 2]	202253	A	181.0	176.0	101	182.0	0	166.0
