	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	1	1	2016	274.0	326.0	310.0	3000	6829	4932	1897	385.0	385	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	4547	A	261.0	230.0	135	251.0	0	245.0
1	1	1	8859	244.0	226.0	245.0	3000	13344	11732	1612	321.0	321	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	11411	A	220.0	207.0	135	250.0	0	220.0
2	1	1	15373	228.0	233.0	210.0	3000	19771	18253	1518	347.0	347	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	17906	A	208.0	231.0	135	218.0	0	190.0
3	0	1	21802		312.0	222.0	3000	27184	24606	2074	271.0	271	[3, 2, 4, 1, 2, 4, 3, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	24335	B	327.0	367.0	135	268.0	0	261.0
4	1	1	29222	180.0	158.0	148.0	3000	33271	32090	1181	337.0	337	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	31753	A	177.0	171.0	135	189.0	0	158.0
5	1	1	35296	275.0	328.0	293.0	3000	40110	38114	1996	287.0	287	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	37827	A	381.0	286.0	135	223.0	0	210.0
6	1	1	42141	238.0	282.0	391.0	3000	46685	44922	1763	250.0	250	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	44672	A	216.0	237.0	135	220.0	0	179.0
7	1	1	48715	311.0	235.0	224.0	3000	53584	51495	2089	247.0	247	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	51248	A	282.0	661.0	135	197.0	0	179.0
8	1	1	55617	217.0	183.0	182.0	3000	59811	58435	1376	284.0	284	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	58151	A	219.0	209.0	135	208.0	0	158.0
9	1	1	61838	424.0	328.0	228.0	3000	66740	64617	2123	246.0	246	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	64371	B	462.0	316.0	135	206.0	0	159.0
10	1	1	68768	261.0	270.0	226.0	3000	73258	71621	1637	320.0	320	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	71301	A	275.0	227.0	135	220.0	0	158.0
11	1	1	75289	252.0	193.0	224.0	3000	79804	78193	1610	372.0	372	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	77821	A	258.0	295.0	135	228.0	0	160.0
12	1	1	81831	178.0	242.0	251.0	3000	86716	84776	1940	414.0	414	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	84362	B	490.0	321.0	135	265.0	0	193.0
