	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
116	1	4	78110	286.0	428.0	195.0	3000	85267	83146	2121	405.0	405	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	82741	B	282.0	295.0	119	334.0	0	301.0
117	1	4	87296	178.0	236.0	267.0	3000	92649	91136	1513	409.0	409	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	90727	A	251.0	217.0	119	239.0	0	125.0
118	1	4	94587	146.0	230.0	242.0	3000	100785	99340	1445	422.0	422	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	98918	A	261.0	248.0	119	192.0	0	126.0
119	1	4	102414	117.0	273.0	421.0	3000	107613	105978	1635	432.0	432	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	105546	A	228.0	235.0	119	245.0	0	116.0
120	0	4	109142		449.0	410.0	3000	115664	113250	1909	478.0	478	[1, 4, 2, 3, 1, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	112772	random			119	344.0	0	364.0
121	1	4	116960	430.0	387.0	222.0	3000	122377	120488	1889	397.0	397	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	120091	A	362.0	162.0	119	210.0	0	116.0
122	1	4	125109	237.0	244.0	315.0	3000	131326	129570	1756	430.0	430	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	129140	A	300.0	346.0	119	182.0	0	132.0
123	0	4	132862			221.0	3000	138414	136878	1031	384.0	384	[3, 2, 4, 1, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	136494	B			119	275.0	0	282.0
124	1	4	139511	188.0	525.0	283.0	3000	145820	143837	1983	395.0	395	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	143442	A	204.0	458.0	119	230.0	0	95.0
125	1	4	147356	254.0	277.0	201.0	3000	153023	151527	1496	341.0	341	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	151186	A	203.0	231.0	119	199.0	0	131.0
