,Unnamed: 0.1,accuracy,block,eight_IKI,five_IKI,four_IKI,max_time,move_offset,move_onset,movement_time,one_IKI,one_RT,pressed,rew_onset,reward,seq_keys,seq_start,sequence,seven_IKI,six_IKI,subject,three_IKI,too_slow,two_IKI
79,79,0,3,,165.0,165.0,1526,187442,185747,1050,334.0,334,"[4, 3, 1, 4, 2, 3, 1]",181782,30,"[4, 3, 1, 4, 2, 3, 1, 2]",185413,A,143.0,169.0,105,227.0,1,181.0
80,80,0,3,,403.0,229.0,1786,198532,196532,1398,289.0,289,"[3, 2, 4, 1, 2, 4, 3]",191412,10,"[3, 2, 4, 1, 2, 4, 3, 1]",196243,B,165.0,171.0,105,257.0,1,173.0
81,81,0,3,,,,1786,206461,205535,419,359.0,359,"[3, 2, 1]",201544,5,"[3, 2, 4, 1, 2, 4, 3, 1]",205176,B,,,105,,0,207.0
82,82,0,3,,202.0,180.0,1526,216437,214653,1014,248.0,248,"[4, 3, 1, 4, 2, 3, 1]",210074,10,"[4, 3, 1, 4, 2, 3, 1, 2]",214405,A,145.0,145.0,105,189.0,1,153.0
83,83,0,3,,159.0,194.0,1526,225172,223450,1008,307.0,307,"[4, 3, 1, 4, 2, 3]",219412,10,"[4, 3, 1, 4, 2, 3, 1, 2]",223143,A,,184.0,105,281.0,1,190.0
84,84,0,3,,151.0,191.0,1526,234097,232331,1016,263.0,263,"[4, 3, 1, 4, 2, 3, 1]",228137,5,"[4, 3, 1, 4, 2, 3, 1, 2]",232068,A,138.0,179.0,105,166.0,1,191.0
85,85,0,3,,431.0,223.0,1786,242910,240979,1426,282.0,282,"[3, 2, 4, 1, 2, 4, 2]",237066,5,"[3, 2, 4, 1, 2, 4, 3, 1]",240697,B,,188.0,105,243.0,0,182.0
86,86,0,3,,,,1786,250666,249738,422,282.0,282,"[3, 2, 1]",245625,30,"[3, 2, 4, 1, 2, 4, 3, 1]",249456,B,,,105,,0,206.0
87,87,0,3,,377.0,220.0,1786,260098,258067,1399,258.0,258,"[3, 2, 4, 1, 2, 4, 3]",253677,10,"[3, 2, 4, 1, 2, 4, 3, 1]",257809,B,152.0,201.0,105,234.0,1,215.0
88,88,1,3,15.0,254.0,225.0,1526,269008,267823,1185,282.0,282,"[4, 3, 1, 4, 2, 3, 1, 2]",262909,5,"[4, 3, 1, 4, 2, 3, 1, 2]",267541,A,209.0,146.0,105,185.0,0,151.0
89,89,0,3,,137.0,180.0,1526,278575,276824,965,278.0,278,"[4, 3, 1, 4, 2, 3, 1]",272816,30,"[4, 3, 1, 4, 2, 3, 1, 2]",276546,A,153.0,156.0,105,162.0,1,177.0
90,90,0,4,,201.0,221.0,1526,10985,9257,1121,302.0,302,"[4, 3, 1, 4, 2, 3, 1]",5224,30,"[4, 3, 1, 4, 2, 3, 1, 2]",8955,A,178.0,135.0,105,200.0,1,186.0
91,91,0,4,,156.0,197.0,1786,22081,20046,1362,254.0,254,"[3, 2, 4, 1, 2, 4]",15660,5,"[3, 2, 4, 1, 2, 4, 3, 1]",19792,B,,312.0,105,275.0,1,422.0
92,92,1,4,87.0,199.0,172.0,1526,30665,29584,1081,259.0,259,"[4, 3, 1, 4, 2, 3, 1, 2]",25194,10,"[4, 3, 1, 4, 2, 3, 1, 2]",29325,A,163.0,150.0,105,153.0,0,157.0
93,93,1,4,82.0,152.0,155.0,1526,40998,39986,1012,276.0,276,"[4, 3, 1, 4, 2, 3, 1, 2]",34879,10,"[4, 3, 1, 4, 2, 3, 1, 2]",39710,A,168.0,158.0,105,163.0,0,134.0
94,94,1,4,139.0,96.0,170.0,1786,50082,48821,1261,271.0,271,"[3, 2, 4, 1, 2, 4, 3, 1]",44819,30,"[3, 2, 4, 1, 2, 4, 3, 1]",48550,B,175.0,287.0,105,218.0,0,176.0
95,95,0,4,,109.0,161.0,1786,59930,58352,1073,382.0,382,"[3, 2, 4, 1, 2, 4, 2]",54238,5,"[3, 2, 4, 1, 2, 4, 3, 1]",57970,B,,148.0,105,244.0,0,130.0
