	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	1	1	4018	264.0	777.0	309.0	3000	10076	7601	2475	446.0	446	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	7155	A	224.0	252.0	117	307.0	0	342.0
1	0	1	11605		447.0	507.0	3000	18539	15445	2355	409.0	409	[2, 4, 1, 3, 4, 3, 2]	[2, 4, 1, 3, 4, 3, 2, 1]	15036	random	302.0	443.0	117	316.0	1	340.0
2	1	1	19727	667.0	263.0	271.0	3000	25409	23153	2256	295.0	295	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	22858	A	279.0	259.0	117	260.0	0	257.0
3	1	1	27536	634.0	266.0	287.0	3000	33235	31007	2228	340.0	340	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	30667	A	263.0	253.0	117	280.0	0	245.0
4	1	1	35161	234.0	277.0	283.0	3000	40317	38538	1779	345.0	345	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	38193	A	240.0	221.0	117	272.0	0	252.0
5	0	1	42448		283.0	290.0	3000	49081	46054	2459	476.0	476	[1, 3, 2, 4, 1, 4, 2]	[1, 3, 2, 4, 1, 4, 2, 3]	45578	random	722.0	329.0	117	282.0	1	553.0
6	1	1	50471	256.0	244.0	272.0	3000	56046	54266	1780	265.0	265	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	54001	A	229.0	242.0	117	256.0	0	281.0
7	0	1	58173				3000	63258	61929	825	319.0	319	[4, 3, 1, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	61610	A			117	269.0	0	253.0
8	1	1	64446	261.0	273.0	278.0	3000	69844	68002	1842	325.0	325	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	67677	A	254.0	250.0	117	258.0	0	268.0
9	1	1	72071	250.0	253.0	295.0	3000	77403	75596	1807	293.0	293	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	75303	A	242.0	231.0	117	264.0	0	272.0
10	0	1	79231				3000	83789	82899	386	437.0	437	[1, 2]	[1, 3, 4, 2, 1, 2, 3, 4]	82462	random			117		0	
11	1	1	84776	213.0	918.0	244.0	3000	90523	88184	2339	377.0	377	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	87807	A	208.0	241.0	117	289.0	0	226.0
12	1	1	92255	595.0	284.0	289.0	3000	97872	95609	2263	324.0	324	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	95285	A	278.0	264.0	117	304.0	0	249.0
13	1	1	99403	277.0	259.0	246.0	3000	104655	102765	1890	332.0	332	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	102433	A	290.0	278.0	117	285.0	0	255.0
14	0	1	106486		457.0	310.0	3000	113122	110033	2483	416.0	416	[1, 3, 4, 2, 1, 2, 3]	[1, 3, 4, 2, 1, 2, 3, 4]	109617	random	328.0	416.0	117	445.0	1	527.0
15	0	1	114111		443.0	395.0	3000	121344	118225	2253	384.0	384	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	117841	B	360.0	384.0	117	291.0	1	380.0
16	1	1	123730	274.0	292.0	300.0	3000	129889	127925	1964	357.0	357	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	127568	A	280.0	264.0	117	292.0	0	262.0
17	1	1	131718	289.0	300.0	276.0	3000	137045	135061	1984	313.0	313	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	134748	A	264.0	280.0	117	321.0	0	254.0
