	Unnamed: 0	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	0	1		532.0	107.0	1765.0	10197	8230	1434	301.0	301	[2, 1, 4, 2, 3, 4, 1]	4316	5	[2, 1, 4, 2, 3, 4, 1, 3]	7929	B	195.0	274.0	104	210.0	1	116.0
1	1	1	1	137.0	192.0	126.0	1531.0	18240	17048	1192	327.0	327	[3, 2, 4, 1, 2, 4, 3, 1]	13106	5	[3, 2, 4, 1, 2, 4, 3, 1]	16721	A	103.0	342.0	104	183.0	0	109.0
2	2	0	1		191.0	298.0	1531.0	29785	28185	944	434.0	434	[3, 2, 4, 1, 2]	22230	30	[3, 2, 4, 1, 2, 4, 3, 1]	27751	A			104	275.0	1	180.0
3	3	0	1		156.0	114.0	1531.0	39173	37475	1007	336.0	336	[3, 2, 4, 1, 2, 4, 3]	33627	30	[3, 2, 4, 1, 2, 4, 3, 1]	37139	A	87.0	347.0	104	191.0	1	112.0
4	4	1	1	146.0	60.0	118.0	1531.0	47108	45892	1216	271.0	271	[3, 2, 4, 1, 2, 4, 3, 1]	42110	5	[3, 2, 4, 1, 2, 4, 3, 1]	45621	A	170.0	428.0	104	202.0	0	92.0
5	5	0	1		191.0	257.0	1765.0	56975	55102	1203	395.0	395	[2, 1, 4, 2, 3, 4, 1]	50794	30	[2, 1, 4, 2, 3, 4, 1, 3]	54707	B	211.0	168.0	104	268.0	1	108.0
6	6	1	1	230.0	324.0	138.0	1765.0	66661	65324	1337	329.0	329	[2, 1, 4, 2, 3, 4, 1, 3]	59776	30	[2, 1, 4, 2, 3, 4, 1, 3]	64995	B	193.0	158.0	104	176.0	0	118.0
7	7	1	1	135.0	114.0	142.0	1531.0	77301	76146	1155	321.0	321	[3, 2, 4, 1, 2, 4, 3, 1]	71913	10	[3, 2, 4, 1, 2, 4, 3, 1]	75825	A	85.0	343.0	104	166.0	0	170.0
8	8	0	1		186.0	164.0	1765.0	87070	85155	1207	353.0	353	[2, 1, 4, 2, 3, 4, 1]	80891	5	[2, 1, 4, 2, 3, 4, 1, 3]	84802	B	185.0	286.0	104	219.0	1	167.0
9	9	1	1	229.0	185.0	108.0	1765.0	95121	93894	1227	307.0	307	[2, 1, 4, 2, 3, 4, 1, 3]	89974	5	[2, 1, 4, 2, 3, 4, 1, 3]	93587	B	151.0	210.0	104	213.0	0	131.0
10	10	1	1	281.0	191.0	135.0	1765.0	103671	102353	1318	330.0	330	[2, 1, 4, 2, 3, 4, 1, 3]	98392	10	[2, 1, 4, 2, 3, 4, 1, 3]	102023	B	173.0	220.0	104	156.0	0	162.0
11	11	1	1	174.0	213.0	113.0	1765.0	112306	111101	1205	333.0	333	[2, 1, 4, 2, 3, 4, 1, 3]	107236	30	[2, 1, 4, 2, 3, 4, 1, 3]	110768	B	189.0	179.0	104	232.0	0	105.0
12	12	0	1		29.0	158.0	1531.0	121838	120097	1025	293.0	293	[3, 2, 4, 1, 2, 4, 3]	116172	5	[3, 2, 4, 1, 2, 4, 3, 1]	119804	A	82.0	479.0	104	191.0	1	86.0
13	13	1	1	160.0	214.0	185.0	1531.0	129904	128734	1170	305.0	305	[3, 2, 4, 1, 2, 4, 3, 1]	124798	10	[3, 2, 4, 1, 2, 4, 3, 1]	128429	A	107.0	211.0	104	182.0	0	111.0
14	14	1	1	308.0	147.0	145.0	1765.0	139782	138344	1438	310.0	310	[2, 1, 4, 2, 3, 4, 1, 3]	133903	30	[2, 1, 4, 2, 3, 4, 1, 3]	138034	B	321.0	165.0	104	205.0	0	147.0
15	15	0	1		456.0	103.0	1531.0	152080	150405	1171	321.0	321	[3, 2, 4, 1, 2, 4, 3, 2]	145753	30	[3, 2, 4, 1, 2, 4, 3, 1]	150084	A	129.0	186.0	104	173.0	0	102.0
16	16	0	1		552.0	149.0	1765.0	162545	160604	1415	327.0	327	[2, 1, 4, 2, 3, 4, 1]	155846	10	[2, 1, 4, 2, 3, 4, 1, 3]	160277	B	197.0	199.0	104	232.0	1	86.0
17	17	1	1	172.0	166.0	214.0	1765.0	170640	169347	1293	340.0	340	[2, 1, 4, 2, 3, 4, 1, 3]	165476	10	[2, 1, 4, 2, 3, 4, 1, 3]	169007	B	205.0	161.0	104	236.0	0	139.0
18	18	1	1	197.0	171.0	101.0	1765.0	179471	178326	1145	281.0	281	[2, 1, 4, 2, 3, 4, 1, 3]	174013	5	[2, 1, 4, 2, 3, 4, 1, 3]	178045	B	197.0	142.0	104	202.0	0	135.0
19	19	1	1	173.0	96.0	136.0	1531.0	188672	187476	1196	311.0	311	[3, 2, 4, 1, 2, 4, 3, 1]	183134	5	[3, 2, 4, 1, 2, 4, 3, 1]	187165	A	131.0	364.0	104	171.0	0	125.0
20	20	0	1		117.0	161.0	1531.0	198645	197130	992	519.0	519	[3, 2, 4, 1, 2, 4, 3]	192480	10	[3, 2, 4, 1, 2, 4, 3, 1]	196611	A	96.0	310.0	104	163.0	1	145.0
21	21	0	1		475.0	145.0	1531.0	208572	206887	1166	349.0	349	[3, 2, 4, 1, 2, 4, 3]	201607	30	[3, 2, 4, 1, 2, 4, 3, 1]	206538	A	109.0	159.0	104	173.0	1	105.0
22	22	0	1		178.0	110.0	1765.0	217657	216009	1144	350.0	350	[2, 1, 4, 2, 3, 4, 1, 2]	212028	10	[2, 1, 4, 2, 3, 4, 1, 3]	215659	B	177.0	152.0	104	226.0	0	100.0
23	23	0	1				1531.0	226179	225671	0		356	[2]	221785	10	[3, 2, 4, 1, 2, 4, 3, 1]	225315	A			104		0	
24	24	1	1	183.0	146.0	245.0	1765.0	235001	233645	1356	371.0	371	[2, 1, 4, 2, 3, 4, 1, 3]	229143	5	[2, 1, 4, 2, 3, 4, 1, 3]	233274	B	173.0	146.0	104	321.0	0	142.0
25	25	0	1		151.0	185.0	1531.0	244939	243267	1061	365.0	365	[3, 2, 4, 1, 2, 4, 3]	238572	5	[3, 2, 4, 1, 2, 4, 3, 1]	242902	A	116.0	272.0	104	204.0	1	133.0
26	26	1	1	168.0	152.0	141.0	1765.0	254579	253340	1239	304.0	304	[2, 1, 4, 2, 3, 4, 1, 3]	249505	10	[2, 1, 4, 2, 3, 4, 1, 3]	253036	B	305.0	151.0	104	194.0	0	128.0
27	27	0	1		196.0	169.0	1531.0	263363	262003	856	323.0	323	[3, 2, 4, 1, 2, 2]	257849	30	[3, 2, 4, 1, 2, 4, 3, 1]	261680	A			104	137.0	0	144.0
28	28	1	1	150.0	100.0	125.0	1531.0	271980	270871	1109	317.0	317	[3, 2, 4, 1, 2, 4, 3, 1]	266324	10	[3, 2, 4, 1, 2, 4, 3, 1]	270554	A	112.0	321.0	104	146.0	0	155.0
29	29	1	1	208.0	204.0	114.0	1765.0	280752	279532	1220	315.0	315	[2, 1, 4, 2, 3, 4, 1, 3]	275685	30	[2, 1, 4, 2, 3, 4, 1, 3]	279217	B	209.0	177.0	104	181.0	0	127.0
30	30	0	2		146.0	193.0	1531.0	11587	9868	1101	315.0	315	[3, 2, 4, 1, 2, 4, 3]	4722	5	[3, 2, 4, 1, 2, 4, 3, 1]	9553	A	87.0	246.0	104	298.0	1	131.0
31	31	1	2	126.0	123.0	118.0	1531.0	20129	19086	1043	309.0	309	[3, 2, 4, 1, 2, 4, 3, 1]	15045	5	[3, 2, 4, 1, 2, 4, 3, 1]	18777	A	121.0	272.0	104	165.0	0	118.0
32	32	1	2	203.0	170.0	126.0	1765.0	30618	29491	1127	326.0	326	[2, 1, 4, 2, 3, 4, 1, 3]	25333	5	[2, 1, 4, 2, 3, 4, 1, 3]	29165	B	187.0	143.0	104	167.0	0	131.0
33	33	1	2	146.0	133.0	107.0	1531.0	39090	37987	1103	367.0	367	[3, 2, 4, 1, 2, 4, 3, 1]	33989	30	[3, 2, 4, 1, 2, 4, 3, 1]	37620	A	106.0	288.0	104	214.0	0	109.0
34	34	1	2	147.0	100.0	119.0	1531.0	47832	46806	1026	280.0	280	[3, 2, 4, 1, 2, 4, 3, 1]	42595	10	[3, 2, 4, 1, 2, 4, 3, 1]	46526	A	84.0	305.0	104	166.0	0	105.0
35	35	0	2		70.0	116.0	1531.0	58496	57266	725	296.0	296	[3, 2, 4, 1, 2, 3]	52240	30	[3, 2, 4, 1, 2, 4, 3, 1]	56970	A			104	171.0	0	116.0
36	36	1	2	238.0	179.0	123.0	1765.0	67087	65870	1217	285.0	285	[2, 1, 4, 2, 3, 4, 1, 3]	61553	5	[2, 1, 4, 2, 3, 4, 1, 3]	65585	B	163.0	203.0	104	217.0	0	94.0
37	37	1	2	122.0	97.0	113.0	1531.0	76748	75695	1053	309.0	309	[3, 2, 4, 1, 2, 4, 3, 1]	70654	5	[3, 2, 4, 1, 2, 4, 3, 1]	75386	A	91.0	328.0	104	188.0	0	114.0
38	38	0	2		473.0	100.0	1765.0	86554	84636	1309	350.0	350	[2, 1, 4, 2, 3, 4, 1]	80755	30	[2, 1, 4, 2, 3, 4, 1, 3]	84286	B	170.0	156.0	104	272.0	1	138.0
39	39	0	2				1531.0	94271	93312	454	293.0	293	[3, 2, 4, 2]	89388	30	[3, 2, 4, 1, 2, 4, 3, 1]	93019	A			104	192.0	0	125.0
40	40	1	2	191.0	184.0	121.0	1765.0	103932	102554	1378	284.0	284	[2, 1, 4, 2, 3, 4, 1, 3]	98438	10	[2, 1, 4, 2, 3, 4, 1, 3]	102270	B	195.0	334.0	104	221.0	0	132.0
41	41	0	2		499.0	150.0	1531.0	115962	114196	1224	268.0	268	[3, 2, 4, 1, 2, 4]	109397	10	[3, 2, 4, 1, 2, 4, 3, 1]	113928	A		230.0	104	205.0	1	140.0
42	42	1	2	168.0	152.0	189.0	1765.0	124480	123271	1209	315.0	315	[2, 1, 4, 2, 3, 4, 1, 3]	119325	10	[2, 1, 4, 2, 3, 4, 1, 3]	122956	B	174.0	168.0	104	185.0	0	173.0
43	43	1	2	218.0	180.0	191.0	1765.0	133078	131662	1416	285.0	285	[2, 1, 4, 2, 3, 4, 1, 3]	127846	5	[2, 1, 4, 2, 3, 4, 1, 3]	131377	B	297.0	177.0	104	193.0	0	160.0
44	44	1	2	135.0	210.0	106.0	1531.0	141450	140357	1093	281.0	281	[3, 2, 4, 1, 2, 4, 3, 1]	136344	5	[3, 2, 4, 1, 2, 4, 3, 1]	140076	A	91.0	268.0	104	188.0	0	95.0
45	45	1	2	205.0	178.0	131.0	1765.0	150422	149272	1150	280.0	280	[2, 1, 4, 2, 3, 4, 1, 3]	145061	10	[2, 1, 4, 2, 3, 4, 1, 3]	148992	B	212.0	133.0	104	182.0	0	109.0
46	46	1	2	204.0	173.0	116.0	1765.0	160246	159007	1239	282.0	282	[2, 1, 4, 2, 3, 4, 1, 3]	154792	5	[2, 1, 4, 2, 3, 4, 1, 3]	158725	B	258.0	154.0	104	185.0	0	149.0
47	47	0	2		163.0	164.0	1531.0	169682	167958	1156	310.0	310	[3, 2, 4, 1, 2, 4, 3]	163717	5	[3, 2, 4, 1, 2, 4, 3, 1]	167648	A	149.0	271.0	104	269.0	1	140.0
48	48	1	2	151.0	232.0	116.0	1765.0	177803	176648	1155	268.0	268	[2, 1, 4, 2, 3, 4, 1, 3]	172750	30	[2, 1, 4, 2, 3, 4, 1, 3]	176380	B	182.0	175.0	104	191.0	0	108.0
49	49	1	2	138.0	127.0	135.0	1531.0	187260	186166	1094	267.0	267	[3, 2, 4, 1, 2, 4, 3, 1]	181569	30	[3, 2, 4, 1, 2, 4, 3, 1]	185899	A	138.0	273.0	104	147.0	0	136.0
50	50	1	2	167.0	177.0	108.0	1765.0	195812	194775	1037	279.0	279	[2, 1, 4, 2, 3, 4, 1, 3]	190865	10	[2, 1, 4, 2, 3, 4, 1, 3]	194496	B	174.0	122.0	104	210.0	0	79.0
51	51	1	2	160.0	144.0	98.0	1531.0	204524	203441	1083	330.0	330	[3, 2, 4, 1, 2, 4, 3, 1]	199581	10	[3, 2, 4, 1, 2, 4, 3, 1]	203111	A	111.0	291.0	104	168.0	0	111.0
52	52	1	2	220.0	146.0	136.0	1765.0	213815	212658	1157	395.0	395	[2, 1, 4, 2, 3, 4, 1, 3]	208232	30	[2, 1, 4, 2, 3, 4, 1, 3]	212263	B	200.0	119.0	104	206.0	0	130.0
53	53	1	2	148.0	153.0	132.0	1765.0	223671	222604	1067	274.0	274	[2, 1, 4, 2, 3, 4, 1, 3]	218099	10	[2, 1, 4, 2, 3, 4, 1, 3]	222330	B	206.0	140.0	104	156.0	0	132.0
54	54	1	2	140.0	97.0	101.0	1531.0	233274	232140	1134	379.0	379	[3, 2, 4, 1, 2, 4, 3, 1]	227343	10	[3, 2, 4, 1, 2, 4, 3, 1]	231761	A	171.0	353.0	104	153.0	0	118.0
55	55	1	2	142.0	94.0	125.0	1531.0	243237	242192	1045	375.0	375	[3, 2, 4, 1, 2, 4, 3, 1]	237586	10	[3, 2, 4, 1, 2, 4, 3, 1]	241817	A	88.0	304.0	104	170.0	0	122.0
56	56	0	2				1765.0	252211	251302	404	328.0	328	[2, 1, 2]	247241	5	[2, 1, 4, 2, 3, 4, 1, 3]	250974	B			104		0	102.0
57	57	1	2	207.0	176.0	132.0	1765.0	260389	259182	1207	414.0	414	[2, 1, 4, 2, 3, 4, 1, 3]	255237	30	[2, 1, 4, 2, 3, 4, 1, 3]	258768	B	273.0	116.0	104	180.0	0	123.0
58	58	1	2	173.0	183.0	167.0	1765.0	269461	268315	1146	323.0	323	[2, 1, 4, 2, 3, 4, 1, 3]	264063	30	[2, 1, 4, 2, 3, 4, 1, 3]	267992	B	185.0	133.0	104	192.0	0	113.0
59	59	1	2	135.0	141.0	124.0	1531.0	278984	277893	1091	324.0	324	[3, 2, 4, 1, 2, 4, 3, 1]	273738	30	[3, 2, 4, 1, 2, 4, 3, 1]	277569	A	112.0	285.0	104	182.0	0	112.0
60	60	0	3		380.0	143.0	1425.0	11283	9665	949	310.0	310	[2, 1, 4, 2, 3, 4]	5024	30	[2, 1, 4, 2, 3, 4, 1, 3]	9355	B		151.0	104	167.0	1	108.0
61	61	0	3		290.0	129.0	1425.0	20416	18770	1055	283.0	283	[2, 1, 4, 2, 3, 4, 1]	14855	5	[2, 1, 4, 2, 3, 4, 1, 3]	18487	B	193.0	132.0	104	192.0	1	119.0
62	62	0	3		273.0	134.0	1425.0	29346	27726	987	308.0	308	[2, 1, 4, 2, 3, 4, 1]	23686	30	[2, 1, 4, 2, 3, 4, 1, 3]	27418	B	185.0	120.0	104	144.0	1	131.0
63	63	1	3	128.0	151.0	125.0	1425.0	38378	37419	959	270.0	270	[2, 1, 4, 2, 3, 4, 1, 3]	32818	10	[2, 1, 4, 2, 3, 4, 1, 3]	37149	B	154.0	131.0	104	163.0	0	107.0
64	64	0	3		205.0	108.0	1425.0	47848	46206	927	286.0	286	[2, 1, 4, 2, 3, 4, 1]	42288	5	[2, 1, 4, 2, 3, 4, 1, 3]	45920	B	256.0	105.0	104	141.0	1	112.0
65	65	0	3		102.0	133.0	1326.0	56877	55640	733	292.0	292	[3, 2, 4, 1, 2, 3]	51016	5	[3, 2, 4, 1, 2, 4, 3, 1]	55348	A			104	147.0	0	88.0
66	66	0	3		269.0	126.0	1326.0	65708	64177	995	300.0	300	[3, 2, 4, 1, 2, 4, 3]	60246	30	[3, 2, 4, 1, 2, 4, 3, 1]	63877	A	149.0	215.0	104	91.0	1	145.0
67	67	0	3		233.0	224.0	1425.0	75536	73911	1025	303.0	303	[2, 1, 4, 2, 3, 4]	69677	30	[2, 1, 4, 2, 3, 4, 1, 3]	73608	B		261.0	104	182.0	1	125.0
68	68	1	3	146.0	109.0	110.0	1326.0	83718	82704	1014	262.0	262	[3, 2, 4, 1, 2, 4, 3, 1]	78612	10	[3, 2, 4, 1, 2, 4, 3, 1]	82442	A	111.0	283.0	104	143.0	0	112.0
69	69	1	3	127.0	273.0	104.0	1326.0	94775	93743	1032	279.0	279	[3, 2, 4, 1, 2, 4, 3, 1]	87733	30	[3, 2, 4, 1, 2, 4, 3, 1]	93464	A	97.0	206.0	104	122.0	0	103.0
70	70	0	3		338.0	74.0	1425.0	104144	102581	948	365.0	365	[2, 1, 4, 2, 3, 4, 1]	98585	10	[2, 1, 4, 2, 3, 4, 1, 3]	102216	B	129.0	141.0	104	172.0	1	94.0
71	71	0	3		171.0	148.0	1425.0	113879	112290	937	339.0	339	[2, 1, 4, 2, 3, 4, 1]	108120	30	[2, 1, 4, 2, 3, 4, 1, 3]	111951	B	144.0	207.0	104	144.0	1	123.0
72	72	1	3	204.0	184.0	136.0	1425.0	122874	121784	1090	300.0	300	[2, 1, 4, 2, 3, 4, 1, 3]	117052	10	[2, 1, 4, 2, 3, 4, 1, 3]	121484	B	191.0	112.0	104	162.0	0	101.0
73	73	0	3		97.0	172.0	1326.0	132548	131028	881	309.0	309	[3, 2, 4, 1, 2, 4]	127088	10	[3, 2, 4, 1, 2, 4, 3, 1]	130719	A		270.0	104	213.0	1	129.0
74	74	0	3		455.0	124.0	1326.0	143078	141551	952	302.0	302	[3, 2, 4, 1, 2, 4]	136418	10	[3, 2, 4, 1, 2, 4, 3, 1]	141249	A		152.0	104	122.0	1	99.0
75	75	0	3			66.0	1326.0	152786	151676	605	296.0	296	[3, 2, 4, 1, 3]	147748	5	[3, 2, 4, 1, 2, 4, 3, 1]	151380	A			104	151.0	0	127.0
76	76	0	3		348.0	82.0	1326.0	162315	160837	908	353.0	353	[3, 2, 4, 1, 2, 4]	156253	5	[3, 2, 4, 1, 2, 4, 3, 1]	160484	A		213.0	104	115.0	1	150.0
77	77	1	3	135.0	195.0	84.0	1425.0	171537	170507	1030	392.0	392	[2, 1, 4, 2, 3, 4, 1, 3]	166283	5	[2, 1, 4, 2, 3, 4, 1, 3]	170115	B	155.0	154.0	104	201.0	0	106.0
78	78	1	3	122.0	87.0	106.0	1326.0	181166	180194	972	315.0	315	[3, 2, 4, 1, 2, 4, 3, 1]	175548	30	[3, 2, 4, 1, 2, 4, 3, 1]	179879	A	99.0	323.0	104	102.0	0	133.0
79	79	0	3		104.0	119.0	1326.0	191034	189615	903	411.0	411	[3, 2, 4, 1, 2, 4, 3]	185574	30	[3, 2, 4, 1, 2, 4, 3, 1]	189204	A	88.0	331.0	104	149.0	1	112.0
80	80	1	3	150.0	171.0	100.0	1425.0	201364	200365	999	329.0	329	[2, 1, 4, 2, 3, 4, 1, 3]	195205	10	[2, 1, 4, 2, 3, 4, 1, 3]	200036	B	206.0	128.0	104	135.0	0	109.0
81	81	0	3		172.0	163.0	1425.0	210833	209234	1071	331.0	331	[2, 1, 4, 2, 3, 4, 1]	205271	5	[2, 1, 4, 2, 3, 4, 1, 3]	208903	B	142.0	106.0	104	400.0	1	88.0
82	82	0	3		121.0	83.0	1326.0	220582	219476	601	334.0	334	[3, 2, 4, 1, 2, 3]	214810	10	[3, 2, 4, 1, 2, 4, 3, 1]	219142	A			104	81.0	0	135.0
83	83	0	3		153.0	212.0	1326.0	229320	227901	824	413.0	413	[3, 2, 4, 1, 2]	223756	10	[3, 2, 4, 1, 2, 4, 3, 1]	227488	A			104	254.0	1	205.0
84	84	0	3			95.0	1326.0	237944	236709	730	286.0	286	[3, 2, 4, 1, 4]	232491	5	[3, 2, 4, 1, 2, 4, 3, 1]	236423	A			104	142.0	0	135.0
85	85	1	3	172.0	173.0	110.0	1425.0	246154	245069	1085	327.0	327	[2, 1, 4, 2, 3, 4, 1, 3]	241111	5	[2, 1, 4, 2, 3, 4, 1, 3]	244742	B	197.0	149.0	104	183.0	0	101.0
86	86	1	3	295.0	162.0	102.0	1425.0	254981	253890	1091	293.0	293	[2, 1, 4, 2, 3, 4, 1, 3]	249766	30	[2, 1, 4, 2, 3, 4, 1, 3]	253597	B	131.0	142.0	104	158.0	0	101.0
87	87	1	3	151.0	185.0	98.0	1425.0	264409	263367	1042	338.0	338	[2, 1, 4, 2, 3, 4, 1, 3]	258898	10	[2, 1, 4, 2, 3, 4, 1, 3]	263029	B	142.0	166.0	104	150.0	0	150.0
88	88	1	3	139.0	35.0	113.0	1326.0	274036	273045	991	292.0	292	[3, 2, 4, 1, 2, 4, 3, 1]	268121	5	[3, 2, 4, 1, 2, 4, 3, 1]	272753	A	97.0	338.0	104	161.0	0	108.0
