	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1		151.0	237.0	1483	9910	8252	1111	328.0	328	[3, 2, 4, 1, 2, 4, 3]	4312	5	[3, 2, 4, 1, 2, 4, 3, 1]	7924	B	155.0	211.0	129	209.0	1	148.0
1	1	1	101.0	153.0	159.0	1407	18073	17090	983	386.0	386	[4, 3, 1, 4, 2, 3, 1, 2]	13093	5	[4, 3, 1, 4, 2, 3, 1, 2]	16704	A	160.0	169.0	129	161.0	0	80.0
2	1	1	68.0	141.0	151.0	1407	29105	28081	1024	378.0	378	[4, 3, 1, 4, 2, 3, 1, 2]	22182	30	[4, 3, 1, 4, 2, 3, 1, 2]	27703	A	194.0	152.0	129	221.0	0	97.0
3	0	1		149.0	149.0	1407	39049	37498	948	359.0	359	[4, 3, 1, 4, 2, 3, 1]	33626	30	[4, 3, 1, 4, 2, 3, 1, 2]	37139	A	190.0	213.0	129	154.0	1	93.0
4	1	1	119.0	144.0	136.0	1407	46903	45946	957	317.0	317	[4, 3, 1, 4, 2, 3, 1, 2]	42118	5	[4, 3, 1, 4, 2, 3, 1, 2]	45629	A	175.0	160.0	129	152.0	0	71.0
5	1	1	190.0	153.0	159.0	1483	56035	54952	1083	327.0	327	[3, 2, 4, 1, 2, 4, 3, 1]	50713	30	[3, 2, 4, 1, 2, 4, 3, 1]	54625	B	168.0	147.0	129	145.0	0	121.0
6	0	1		170.0	153.0	1483	66869	65178	996	295.0	295	[3, 2, 4, 1, 2, 4, 3]	59671	30	[3, 2, 4, 1, 2, 4, 3, 1]	64883	B	192.0	159.0	129	190.0	1	132.0
7	1	1	115.0	165.0	150.0	1407	77103	76114	989	345.0	345	[4, 3, 1, 4, 2, 3, 1, 2]	71857	10	[4, 3, 1, 4, 2, 3, 1, 2]	75769	A	181.0	149.0	129	156.0	0	73.0
8	1	1	201.0	149.0	163.0	1483	86195	85071	1124	343.0	343	[3, 2, 4, 1, 2, 4, 3, 1]	80812	5	[3, 2, 4, 1, 2, 4, 3, 1]	84728	B	166.0	154.0	129	192.0	0	99.0
9	0	1		169.0	179.0	1483	95526	93907	983	367.0	367	[3, 2, 4, 1, 2, 4]	89929	5	[3, 2, 4, 1, 2, 4, 3, 1]	93540	B		320.0	129	181.0	1	134.0
10	0	1				1483	103464	102490	470	370.0	370	[3, 2, 4, 3]	98509	10	[3, 2, 4, 1, 2, 4, 3, 1]	102120	B			129	201.0	0	110.0
11	0	1		261.0	260.0	1483	112249	110591	1141	329.0	329	[3, 2, 4, 1, 2, 4]	106750	30	[3, 2, 4, 1, 2, 4, 3, 1]	110262	B		256.0	129	223.0	1	141.0
12	1	1	4.0	164.0	130.0	1407	120765	119825	940	373.0	373	[4, 3, 1, 4, 2, 3, 1, 2]	115841	5	[4, 3, 1, 4, 2, 3, 1, 2]	119452	A	238.0	156.0	129	170.0	0	78.0
13	0	1		154.0	112.0	1407	129692	128323	865	329.0	329	[4, 3, 1, 4, 2, 3, 2]	124375	10	[4, 3, 1, 4, 2, 3, 1, 2]	127994	A		145.0	129	166.0	0	44.0
14	1	1	208.0	115.0	175.0	1483	138842	137714	1128	349.0	349	[3, 2, 4, 1, 2, 4, 3, 1]	133253	30	[3, 2, 4, 1, 2, 4, 3, 1]	137365	B	134.0	189.0	129	181.0	0	126.0
15	0	1		159.0	120.0	1407	151302	149793	920	401.0	401	[4, 3, 1, 4, 2, 3, 1]	145080	30	[4, 3, 1, 4, 2, 3, 1, 2]	149392	A	221.0	150.0	129	172.0	1	98.0
16	0	1		120.0	388.0	1483	161567	159969	880	388.0	388	[3, 2, 4, 1, 2]	155164	10	[3, 2, 4, 1, 2, 4, 3, 1]	159581	B			129	187.0	1	185.0
17	0	1		155.0	205.0	1483	170067	168670	893	407.0	407	[3, 2, 4, 1, 2, 3]	164751	10	[3, 2, 4, 1, 2, 4, 3, 1]	168263	B			129	194.0	0	101.0
18	0	1		111.0	206.0	1483	179158	177591	1008	419.0	419	[3, 2, 4, 1, 2, 4]	173161	5	[3, 2, 4, 1, 2, 4, 3, 1]	177172	B		189.0	129	272.0	1	230.0
19	1	1	79.0	150.0	127.0	1407	187837	186903	934	347.0	347	[4, 3, 1, 4, 2, 3, 1, 2]	182544	5	[4, 3, 1, 4, 2, 3, 1, 2]	186556	A	191.0	151.0	129	162.0	0	74.0
20	1	1	105.0	151.0	115.0	1407	197202	196235	967	377.0	377	[4, 3, 1, 4, 2, 3, 1, 2]	191746	10	[4, 3, 1, 4, 2, 3, 1, 2]	195858	A	195.0	145.0	129	168.0	0	88.0
21	1	1	101.0	146.0	124.0	1407	207129	206079	1050	349.0	349	[4, 3, 1, 4, 2, 3, 1, 2]	200817	30	[4, 3, 1, 4, 2, 3, 1, 2]	205730	A	273.0	171.0	129	160.0	0	75.0
22	1	1	179.0	104.0	192.0	1483	216309	215251	1058	399.0	399	[3, 2, 4, 1, 2, 4, 3, 1]	211241	10	[3, 2, 4, 1, 2, 4, 3, 1]	214852	B	149.0	163.0	129	152.0	0	119.0
23	1	1	117.0	149.0	138.0	1407	226058	225132	926	366.0	366	[4, 3, 1, 4, 2, 3, 1, 2]	221248	10	[4, 3, 1, 4, 2, 3, 1, 2]	224766	A	187.0	150.0	129	149.0	0	36.0
24	0	1		333.0	181.0	1483	235771	234089	1095	304.0	304	[3, 2, 4, 1, 2, 4]	229668	5	[3, 2, 4, 1, 2, 4, 3, 1]	233785	B		286.0	129	232.0	1	63.0
25	1	1	110.0	162.0	125.0	1407	244665	243700	965	333.0	333	[4, 3, 1, 4, 2, 3, 1, 2]	239055	5	[4, 3, 1, 4, 2, 3, 1, 2]	243367	A	179.0	134.0	129	167.0	0	88.0
26	0	1		124.0	189.0	1483	255375	253783	979	394.0	394	[3, 2, 4, 1, 2, 4, 3]	249876	10	[3, 2, 4, 1, 2, 4, 3, 1]	253389	B	147.0	139.0	129	194.0	1	186.0
27	1	1	92.0	146.0	96.0	1407	263356	262520	836	343.0	343	[4, 3, 1, 4, 2, 3, 1, 2]	258359	30	[4, 3, 1, 4, 2, 3, 1, 2]	262177	A	182.0	120.0	129	143.0	0	57.0
