	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1	2016		266.0	164.0	3000	6610	4862	1244	312.0	312	[4, 3, 1, 4, 2, 1]	[4, 3, 1, 4, 2, 3, 1, 2]	4550	A			137	159.0	0	214.0
1	0	1	8648			270.0	3000	12881	11465	911	284.0	284	[4, 3, 1, 4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	11181	A			137	307.0	0	270.0
2	0	1	14919		395.0	323.0	3000	19889	17777	1605	325.0	325	[3, 2, 4, 1, 2, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	17452	B			137	301.0	0	318.0
3	1	1	21927	31.0	299.0	275.0	3000	26365	24750	1615	290.0	290	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	24460	A	289.0	154.0	137	320.0	0	247.0
4	1	1	28398	67.0	301.0	192.0	3000	32795	31275	1520	345.0	345	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	30930	A	248.0	165.0	137	301.0	0	246.0
5	1	1	34824	27.0	359.0	272.0	3000	39216	37666	1550	310.0	310	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	37356	A	247.0	131.0	137	288.0	0	226.0
6	0	1	41244		442.0	270.0	3000	46019	44030	1485	255.0	255	[3, 2, 4, 1, 2, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	43775	B			137	477.0	0	227.0
7	1	1	48059	4.0	345.0	229.0	3000	52390	50904	1486	315.0	315	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	50589	A	287.0	146.0	137	259.0	0	216.0
8	1	1	54415	321.0	413.0	318.0	3000	59731	57256	2475	309.0	309	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	56947	B	449.0	237.0	137	413.0	0	324.0
9	1	1	61756	92.0	327.0	191.0	3000	66342	64715	1627	428.0	428	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	64287	A	285.0	284.0	137	242.0	0	206.0
10	1	1	68367	191.0	362.0	275.0	3000	73159	71177	1982	279.0	279	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	70898	B	342.0	258.0	137	307.0	0	247.0
11	1	1	75185	39.0	370.0	184.0	3000	79483	78038	1445	322.0	322	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	77716	A	345.0	52.0	137	293.0	0	162.0
12	1	1	81508	38.0	331.0	223.0	3000	85778	84296	1482	257.0	257	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	84039	A	325.0	86.0	137	252.0	0	227.0
13	0	1	87810			283.0	3000	92592	90670	1416	328.0	328	[3, 2, 4, 1, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	90342	B			137	243.0	0	321.0
14	1	1	94631	69.0	292.0	178.0	3000	99049	97608	1441	439.0	439	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	97169	A	282.0	147.0	137	263.0	0	210.0
15	1	1	101079	51.0	327.0	176.0	3000	105321	103944	1377	331.0	331	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	103613	A	337.0	73.0	137	259.0	0	154.0
16	1	1	107355	512.0	281.0	175.0	3000	112359	110207	2152	321.0	321	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	109886	A	407.0	224.0	137	316.0	0	237.0
17	1	1	114388	6.0	398.0	91.0	3000	118665	117193	1472	274.0	274	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	116919	A	279.0	130.0	137	330.0	0	238.0
18	0	1	120692				3000	124584	123556	524	334.0	334	[4, 3, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	123222	A			137		0	65.0
19	0	1	126623				3000	130449	129436	509	282.0	282	[4, 3, 4]	[4, 3, 1, 4, 2, 3, 1, 2]	129154	A			137		0	160.0
20	0	1	132486				3000	136448	135350	593	333.0	333	[4, 3, 4]	[4, 3, 1, 4, 2, 3, 1, 2]	135017	A			137		0	196.0
21	1	1	138487	160.0	531.0	301.0	3000	143683	141447	2236	429.0	429	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	141018	B	472.0	114.0	137	337.0	0	321.0
22	1	1	145710	57.0	339.0	306.0	3000	150345	148573	1772	332.0	332	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	148241	A	274.0	203.0	137	366.0	0	227.0
23	0	1	152370		380.0	257.0	3000	157352	155320	1527	419.0	419	[3, 2, 4, 1, 2, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	154901	B			137	318.0	0	305.0
24	1	1	159391	24.0	337.0	276.0	3000	163888	162244	1644	321.0	321	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	161923	A	263.0	158.0	137	286.0	0	300.0
25	1	1	165913	47.0	340.0	254.0	3000	170498	168714	1784	270.0	270	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	168444	A	302.0	243.0	137	317.0	0	281.0
26	0	1	172524		597.0	299.0	3000	177554	175479	1571	424.0	424	[3, 2, 4, 1, 2, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	175055	B			137	263.0	0	383.0
27	1	1	179594	75.0	360.0	304.0	3000	184739	182734	2005	609.0	609	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	182125	A	292.0	220.0	137	488.0	0	266.0
