	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
92	0	4		126.0	194.0	1400	31188	29728	840	443	443	[3, 2, 4, 1, 2, 4]	25154	10	[3, 2, 4, 1, 2, 4, 3, 1]	29285	A		148.0	110	194.0	1	178.0
93	0	4		144.0	202.0	1400	41721	40236	844	418	418	[3, 2, 4, 1, 2, 4]	34987	10	[3, 2, 4, 1, 2, 4, 3, 1]	39818	A		154.0	110	170.0	1	174.0
94	0	4		253.0	283.0	1662	51013	49149	1166	301	301	[2, 1, 4, 2, 3, 4]	45117	30	[2, 1, 4, 2, 3, 4, 1, 3]	48848	B		156.0	110	250.0	1	224.0
95	0	4		287.0	292.0	1662	60647	59007	945	525	525	[2, 1, 4, 2, 3]	54750	5	[2, 1, 4, 2, 3, 4, 1, 3]	58482	B			110	203.0	1	163.0
96	0	4		197.0	249.0	1662	70079	68280	1138	366	366	[2, 1, 4, 2, 3, 4, 1]	63783	10	[2, 1, 4, 2, 3, 4, 1, 3]	67914	B	159.0	132.0	110	225.0	1	176.0
97	0	4		127.0	179.0	1400	78352	76834	982	385	385	[3, 2, 4, 1, 2, 4, 3]	72917	5	[3, 2, 4, 1, 2, 4, 3, 1]	76449	A	181.0	175.0	110	184.0	1	136.0
98	1	4	115.0	112.0	176.0	1400	86821	85833	988	353	353	[3, 2, 4, 1, 2, 4, 3, 1]	81649	30	[3, 2, 4, 1, 2, 4, 3, 1]	85480	A	114.0	148.0	110	158.0	0	165.0
99	1	4	171.0	190.0	234.0	1662	96284	95041	1243	351	351	[2, 1, 4, 2, 3, 4, 1, 3]	90959	10	[2, 1, 4, 2, 3, 4, 1, 3]	94690	B	163.0	129.0	110	178.0	0	178.0
100	0	4		186.0	244.0	1662	106356	104525	1043	334	334	[2, 1, 4, 2, 3, 4, 1]	100660	10	[2, 1, 4, 2, 3, 4, 1, 3]	104191	B	91.0	122.0	110	192.0	1	208.0
101	1	4	72.0	110.0	163.0	1400	115263	114318	945	291	291	[3, 2, 4, 1, 2, 4, 3, 1]	109996	10	[3, 2, 4, 1, 2, 4, 3, 1]	114027	A	122.0	146.0	110	192.0	0	140.0
102	1	4	153.0	164.0	203.0	1662	124187	123086	1101	349	349	[2, 1, 4, 2, 3, 4, 1, 3]	119005	5	[2, 1, 4, 2, 3, 4, 1, 3]	122737	B	112.0	102.0	110	169.0	0	198.0
103	0	4				1400	132735	131908	321	316	316	[3, 2, 3]	127760	30	[3, 2, 4, 1, 2, 4, 3, 1]	131592	A			110		0	158.0
104	0	4		209.0	410.0	1662	143430	141642	1237	377	377	[2, 1, 4, 2, 3, 4, 1]	136934	30	[2, 1, 4, 2, 3, 4, 1, 3]	141265	B	203.0	90.0	110	151.0	1	174.0
105	0	4		207.0	271.0	1662	152561	150789	1123	393	393	[2, 1, 4, 2, 3, 4, 1]	146864	10	[2, 1, 4, 2, 3, 4, 1, 3]	150396	B	151.0	128.0	110	177.0	1	189.0
106	1	4	178.0	187.0	212.0	1662	162849	161700	1149	365	365	[2, 1, 4, 2, 3, 4, 1, 3]	156003	30	[2, 1, 4, 2, 3, 4, 1, 3]	161335	B	111.0	101.0	110	195.0	0	165.0
107	0	4			220.0	1400	172259	170756	548	400	400	[3, 2, 4, 1]	166325	30	[3, 2, 4, 1, 2, 4, 3, 1]	170356	A			110	172.0	1	156.0
108	0	4		140.0	182.0	1400	180573	179270	798	383	383	[3, 2, 4, 1, 2, 3]	175355	5	[3, 2, 4, 1, 2, 4, 3, 1]	178887	A			110	147.0	0	194.0
109	0	4		169.0	189.0	1400	190362	189044	814	351	351	[3, 2, 4, 1, 2, 3]	183763	5	[3, 2, 4, 1, 2, 4, 3, 1]	188693	A			110	152.0	0	178.0
110	1	4	202.0	106.0	178.0	1400	198375	197333	1042	340	340	[3, 2, 4, 1, 2, 4, 3, 1]	193463	30	[3, 2, 4, 1, 2, 4, 3, 1]	196993	A	34.0	195.0	110	145.0	0	181.0
111	0	4		116.0	162.0	1400	207255	205989	762	348	348	[3, 2, 4, 1, 2, 3]	202110	10	[3, 2, 4, 1, 2, 4, 3, 1]	205641	A			110	149.0	0	152.0
112	0	4		251.0	258.0	1662	217155	215398	1063	408	408	[2, 1, 4, 2, 3, 4]	211159	30	[2, 1, 4, 2, 3, 4, 1, 3]	214990	B		120.0	110	257.0	1	177.0
113	0	4			210.0	1400	226329	224830	827	407	407	[3, 2, 4, 1]	220791	5	[3, 2, 4, 1, 2, 4, 3, 1]	224423	A			110	335.0	1	282.0
114	0	4		117.0	181.0	1400	235766	234231	949	368	368	[3, 2, 4, 1, 2, 4, 3]	230032	10	[3, 2, 4, 1, 2, 4, 3, 1]	233863	A	147.0	170.0	110	158.0	1	176.0
115	0	4		232.0	204.0	1662	245267	243498	1200	397	397	[2, 1, 4, 2, 3, 4, 1]	239369	30	[2, 1, 4, 2, 3, 4, 1, 3]	243101	B	188.0	135.0	110	233.0	1	208.0
116	0	4		216.0	199.0	1662	254703	252951	1067	416	416	[2, 1, 4, 2, 3, 4, 1]	248103	5	[2, 1, 4, 2, 3, 4, 1, 3]	252535	B	174.0	115.0	110	193.0	1	170.0
117	1	4	167.0	184.0	194.0	1662	263650	262504	1146	435	435	[2, 1, 4, 2, 3, 4, 1, 3]	258437	5	[2, 1, 4, 2, 3, 4, 1, 3]	262069	B	59.0	165.0	110	196.0	0	181.0
118	1	4	163.0	222.0	207.0	1662	273809	272599	1210	439	439	[2, 1, 4, 2, 3, 4, 1, 3]	267629	10	[2, 1, 4, 2, 3, 4, 1, 3]	272160	B	157.0	110.0	110	163.0	0	188.0
119	0	4		137.0	177.0	1400	283323	281738	1060	320	320	[3, 2, 4, 1, 2, 4, 3]	277387	5	[3, 2, 4, 1, 2, 4, 3, 1]	281418	A	190.0	189.0	110	170.0	1	197.0
120	0	5		170.0	171.0	1400	9961	8494	826	436	436	[3, 2, 4, 1, 2, 4]	4226	5	[3, 2, 4, 1, 2, 4, 3, 1]	8058	A		146.0	110	181.0	1	158.0
121	0	5		486.0	167.0	1662	19154	17359	1227	370	370	[2, 1, 4, 2, 3, 4, 1]	13458	30	[2, 1, 4, 2, 3, 4, 1, 3]	16989	B	53.0	144.0	110	191.0	1	186.0
122	0	5		154.0	176.0	1400	28029	26518	963	395	395	[3, 2, 4, 1, 2, 4, 3]	22491	5	[3, 2, 4, 1, 2, 4, 3, 1]	26123	A	153.0	162.0	110	145.0	1	173.0
123	1	5	78.0	173.0	144.0	1400	37399	36399	1000	337	337	[3, 2, 4, 1, 2, 4, 3, 1]	32330	5	[3, 2, 4, 1, 2, 4, 3, 1]	36062	A	160.0	133.0	110	150.0	0	162.0
124	1	5	191.0	233.0	209.0	1662	47534	46279	1255	304	304	[2, 1, 4, 2, 3, 4, 1, 3]	42343	30	[2, 1, 4, 2, 3, 4, 1, 3]	45975	B	197.0	96.0	110	170.0	0	159.0
125	0	5		214.0	193.0	1662	56704	55060	1059	521	521	[2, 1, 4, 2, 3, 4, 1]	50908	10	[2, 1, 4, 2, 3, 4, 1, 3]	54539	B	177.0	85.0	110	193.0	1	197.0
126	0	5		131.0	174.0	1400	66271	64725	968	357	357	[3, 2, 4, 1, 2, 4, 3]	60437	10	[3, 2, 4, 1, 2, 4, 3, 1]	64368	A	178.0	147.0	110	166.0	1	172.0
