	Unnamed: 0	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1	1	4017	162.0	237.0	257.0	3000	8986	7446	1540	299.0	299	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	7147	A	167.0	226.0	103	219.0	0	272.0
1	1	1	1	10511	407.0	413.0	305.0	3000	16776	14266	2510	323.0	323	[4, 2, 3, 1, 4, 2, 1, 3]	[4, 2, 3, 1, 4, 2, 1, 3]	13943	random	423.0	321.0	103	270.0	0	371.0
2	2	1	1	18503	101.0	227.0	145.0	3000	23204	21982	1222	348.0	348	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	21634	A	296.0	95.0	103	222.0	0	136.0
3	3	1	1	25330	115.0	232.0	151.0	3000	29909	28766	1143	306.0	306	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	28460	A	195.0	134.0	103	198.0	0	118.0
4	4	1	1	31840	134.0	240.0	160.0	3000	36354	35208	1146	339.0	339	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	34869	A	171.0	121.0	103	210.0	0	110.0
5	5	0	1	38478		436.0	316.0	3000	45111	42018	2348	410.0	410	[1, 3, 4, 2, 1, 4, 2]	[1, 3, 4, 2, 1, 4, 2, 3]	41608	random	333.0	403.0	103	442.0	1	418.0
6	6	1	1	46499	136.0	237.0	204.0	3000	51704	50370	1334	339.0	339	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	50031	A	198.0	98.0	103	303.0	0	158.0
7	7	1	1	53829	135.0	245.0	229.0	3000	58991	57632	1359	373.0	373	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	57259	A	208.0	98.0	103	272.0	0	172.0
8	8	1	1	60717	117.0	183.0	192.0	3000	65486	64297	1189	350.0	350	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	63947	A	185.0	129.0	103	213.0	0	170.0
9	9	1	1	67711	96.0	181.0	168.0	3000	72307	71234	1073	293.0	293	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	70941	A	159.0	130.0	103	188.0	0	151.0
10	10	0	1	74137		395.0	263.0	3000	80292	77734	2054	367.0	367	[4, 2, 1, 3, 4, 2, 3]	[4, 2, 1, 3, 4, 2, 1, 3]	77367	random		360.0	103	397.0	0	431.0
11	11	1	1	81280	131.0	228.0	195.0	3000	85874	84651	1223	338.0	338	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	84313	A	188.0	116.0	103	219.0	0	146.0
12	12	1	1	87607	93.0	192.0	152.0	3000	92088	91008	1080	370.0	370	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	90638	A	165.0	118.0	103	209.0	0	151.0
13	13	1	1	93615	88.0	191.0	147.0	3000	97961	96948	1013	303.0	303	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	96645	A	181.0	102.0	103	185.0	0	119.0
14	14	0	1	99790		350.0	377.0	3000	106426	103456	2377	535.0	535	[3, 1, 2, 4, 2, 4, 1]	[3, 1, 2, 4, 2, 4, 1, 3]	102921	random	471.0	369.0	103	432.0	1	378.0
15	15	0	1	107415				3000	112614	111480	629	335.0	335	[3, 2, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	111145	B			103		0	380.0
16	16	1	1	115003	148.0	207.0	162.0	3000	120357	119169	1188	335.0	335	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	118834	A	194.0	125.0	103	198.0	0	154.0
17	17	1	1	122188	81.0	190.0	138.0	3000	126554	125553	1001	335.0	335	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	125218	A	167.0	117.0	103	191.0	0	117.0
18	18	0	1	129187		385.0	412.0	3000	136186	133457	2224	340.0	340	[3, 2, 4, 1, 2, 4, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	133117	B		429.0	103	427.0	0	355.0
19	19	1	1	137276	107.0	211.0	139.0	3000	142260	141148	1112	442.0	442	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	140706	A	221.0	100.0	103	174.0	0	160.0
20	20	1	1	143985	82.0	212.0	121.0	3000	148696	147643	1053	428.0	428	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	147215	A	193.0	93.0	103	212.0	0	140.0
21	21	0	1	150436		433.0	381.0	3000	157071	154173	2196	605.0	605	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	153568	B	370.0	360.0	103	334.0	1	318.0
22	22	0	1	158160				3000	162867	161975	386	384.0	384	[4, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	161591	A			103		0	146.0
23	23	1	1	163857	116.0	203.0	154.0	3000	168660	167525	1135	338.0	338	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	167187	A	250.0	108.0	103	174.0	0	130.0
24	24	1	1	170385	86.0	210.0	137.0	3000	175160	174119	1041	303.0	303	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	173816	A	171.0	100.0	103	214.0	0	123.0
25	25	0	1	176890		485.0	449.0	3000	183524	180401	2456	380.0	380	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	180021	B	362.0	394.0	103	435.0	1	331.0
26	26	1	1	184914	91.0	230.0	150.0	3000	189552	188362	1190	417.0	417	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	187945	A	261.0	84.0	103	227.0	0	147.0
27	27	0	1	191084		386.0	465.0	3000	198017	194907	2342	393.0	393	[3, 4, 1, 2, 4, 2]	[3, 4, 1, 2, 4, 2, 1, 3]	194514	random		409.0	103	686.0	1	396.0
28	28	1	1	199107	94.0	241.0	207.0	3000	204014	202782	1232	445.0	445	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	202337	A	183.0	131.0	103	179.0	0	197.0
29	29	1	1	205748	86.0	238.0	116.0	3000	210386	209354	1032	376.0	376	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	208978	A	155.0	113.0	103	173.0	0	151.0
30	30	1	1	211914	82.0	220.0	121.0	3000	216356	215323	1033	378.0	378	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	214945	A	173.0	111.0	103	190.0	0	136.0
31	31	1	1	218988	83.0	180.0	134.0	3000	223492	222559	933	341.0	341	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	222218	A	159.0	103.0	103	150.0	0	124.0
32	32	1	1	225018	80.0	245.0	105.0	3000	229396	228501	895	353.0	353	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	228148	A	164.0	37.0	103	164.0	0	100.0
33	33	1	1	230926	88.0	239.0	128.0	3000	236254	235243	1011	286.0	286	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	234957	A	208.0	63.0	103	169.0	0	116.0
34	34	0	1	238880		511.0	268.0	3000	246216	243077	2432	366.0	366	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	242711	B	401.0	442.0	103	456.0	1	354.0
35	35	1	2	966	140.0	607.0	307.0	3000	7383	4837	2546	440.0	440	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	4397	B	383.0	381.0	103	414.0	0	314.0
36	36	1	2	8916	94.0	269.0	134.0	3000	13733	12400	1333	454.0	454	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	11946	A	203.0	36.0	103	256.0	0	341.0
37	37	0	2	15359			290.0	3000	20351	18896	949	406.0	406	[4, 3, 1, 4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	18490	A			103	165.0	0	143.0
38	38	1	2	21442	130.0	289.0	267.0	3000	26389	24859	1530	387.0	387	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	24472	A	164.0	138.0	103	379.0	0	163.0
39	39	1	2	28115	118.0	184.0	137.0	3000	32807	31747	1060	402.0	402	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	31345	A	179.0	121.0	103	176.0	0	145.0
40	40	1	2	34735	89.0	174.0	131.0	3000	39246	38239	1007	374.0	374	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	37865	A	173.0	108.0	103	170.0	0	162.0
41	41	1	2	40770	105.0	160.0	125.0	3000	45139	44171	968	370.0	370	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	43801	A	171.0	118.0	103	146.0	0	143.0
