	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1		274.0	259.0	1575.0	10006	8298	1073	370	370	[2, 1, 4, 2, 3]	4313	5	[2, 1, 4, 2, 3, 4, 1, 3]	7928	B			126	270.0	1	270.0
1	1	1	125.0	218.0	258.0	1761.0	18296	16989	1307	280	280	[3, 2, 4, 1, 2, 4, 3, 1]	13098	5	[3, 2, 4, 1, 2, 4, 3, 1]	16709	A	200.0	101.0	126	162.0	0	243.0
2	1	1	126.0	171.0	244.0	1761.0	29187	27911	1276	342	342	[3, 2, 4, 1, 2, 4, 3, 1]	22053	30	[3, 2, 4, 1, 2, 4, 3, 1]	27569	A	153.0	145.0	126	127.0	0	310.0
3	0	1		182.0	224.0	1761.0	39126	37272	1231	410	410	[3, 2, 4, 1, 2, 4, 3]	33350	30	[3, 2, 4, 1, 2, 4, 3, 1]	36862	A	181.0	159.0	126	221.0	1	264.0
4	1	1	158.0	143.0	175.0	1761.0	46902	45701	1201	303	303	[3, 2, 4, 1, 2, 4, 3, 1]	41887	5	[3, 2, 4, 1, 2, 4, 3, 1]	45398	A	144.0	189.0	126	150.0	0	242.0
5	0	1		158.0	191.0	1575.0	56348	54618	1052	348	348	[2, 1, 4, 2, 3, 4, 1]	50357	30	[2, 1, 4, 2, 3, 4, 1, 3]	54270	B	129.0	160.0	126	195.0	1	219.0
6	0	1		159.0	160.0	1575.0	66633	64883	1109	328	328	[2, 1, 4, 2, 3, 4, 1]	59342	30	[2, 1, 4, 2, 3, 4, 1, 3]	64555	B	171.0	157.0	126	197.0	1	265.0
7	0	1			172.0	1761.0	77188	75915	768	474	474	[3, 2, 4, 1, 3]	71525	10	[3, 2, 4, 1, 2, 4, 3, 1]	75441	A			126	157.0	0	239.0
8	0	1		183.0	202.0	1575.0	85990	84349	1117	437	437	[2, 1, 4, 2, 3, 4, 1]	80000	5	[2, 1, 4, 2, 3, 4, 1, 3]	83912	B	92.0	227.0	126	164.0	1	249.0
9	0	1		162.0	192.0	1575.0	94780	93095	997	393	393	[2, 1, 4, 2, 3, 4, 1]	89090	5	[2, 1, 4, 2, 3, 4, 1, 3]	92702	B	134.0	176.0	126	154.0	1	179.0
10	1	1	144.0	167.0	186.0	1575.0	102857	101636	1221	354	354	[2, 1, 4, 2, 3, 4, 1, 3]	97671	10	[2, 1, 4, 2, 3, 4, 1, 3]	101282	B	186.0	184.0	126	186.0	0	168.0
11	0	1		153.0	213.0	1575.0	112193	110610	987	495	495	[2, 1, 4, 2, 3, 4]	106598	30	[2, 1, 4, 2, 3, 4, 1, 3]	110115	B		195.0	126	262.0	1	164.0
12	0	1		297.0	167.0	1761.0	121559	119684	1277	389	389	[3, 2, 4, 1, 2, 4, 3]	115685	5	[3, 2, 4, 1, 2, 4, 3, 1]	119295	A	190.0	240.0	126	173.0	1	210.0
13	0	1		355.0	152.0	1761.0	130147	128203	1402	320	320	[3, 2, 4, 1, 2, 4, 3]	124269	10	[3, 2, 4, 1, 2, 4, 3, 1]	127883	A	184.0	353.0	126	168.0	1	190.0
14	0	1		180.0	220.0	1575.0	139554	137793	1244	317	317	[2, 1, 4, 2, 3, 4, 1]	133361	30	[2, 1, 4, 2, 3, 4, 1, 3]	137476	B	213.0	251.0	126	179.0	1	201.0
15	1	1	156.0	159.0	172.0	1761.0	151054	149823	1231	359	359	[3, 2, 4, 1, 2, 4, 3, 1]	145150	30	[3, 2, 4, 1, 2, 4, 3, 1]	149464	A	161.0	184.0	126	182.0	0	217.0
16	1	1	118.0	159.0	185.0	1575.0	161024	159888	1136	356	356	[2, 1, 4, 2, 3, 4, 1, 3]	155120	10	[2, 1, 4, 2, 3, 4, 1, 3]	159532	B	155.0	166.0	126	175.0	0	178.0
17	1	1	130.0	202.0	181.0	1575.0	169752	168581	1171	402	402	[2, 1, 4, 2, 3, 4, 1, 3]	164665	10	[2, 1, 4, 2, 3, 4, 1, 3]	168179	B	158.0	137.0	126	210.0	0	153.0
18	1	1	120.0	162.0	176.0	1575.0	178808	177741	1067	435	435	[2, 1, 4, 2, 3, 4, 1, 3]	173294	5	[2, 1, 4, 2, 3, 4, 1, 3]	177306	B	145.0	141.0	126	148.0	0	175.0
