	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	1	1	4016	339.0	379.0	290.0	3000	9646	7423	2223	276	276	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	7147	A	347.0	277.0	131	321.0	0	270.0
1	0	1	11170		471.0	314.0	3000	18104	15030	2226	429	429	[1, 2, 4, 3, 4, 3]	[1, 2, 4, 3, 4, 3, 2, 1]	14601	random		578.0	131	478.0	1	385.0
2	1	1	19294	300.0	320.0	494.0	3000	24779	22701	2078	276	276	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	22425	A	268.0	213.0	131	258.0	0	225.0
3	1	1	26908	457.0	286.0	258.0	3000	32578	30433	2145	394	394	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	30039	A	421.0	265.0	131	274.0	0	184.0
4	1	1	34503	247.0	374.0	295.0	3000	39782	37816	1966	282	282	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	37534	A	313.0	263.0	131	276.0	0	198.0
5	0	1	41912			362.0	3000	47398	45505	1388	462	462	[3, 2, 1, 4, 2]	[3, 2, 1, 4, 1, 3, 4, 2]	45043	random			131	342.0	0	285.0
6	1	1	48787	191.0	254.0	320.0	3000	54800	52597	2203	278	278	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	52319	A	255.0	272.0	131	712.0	0	199.0
7	1	1	56930	197.0	302.0	276.0	3000	62429	60649	1780	288	288	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	60361	A	292.0	234.0	131	248.0	0	231.0
8	1	1	64155	200.0	280.0	295.0	3000	69466	67696	1770	310	310	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	67386	A	251.0	257.0	131	265.0	0	222.0
9	1	1	71698	164.0	238.0	257.0	3000	76850	75220	1630	291	291	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	74929	A	298.0	238.0	131	225.0	0	210.0
10	0	1	78682		435.0	337.0	3000	85415	82258	2259	346	346	[3, 2, 1, 4, 3, 1]	[3, 2, 1, 4, 3, 1, 4, 2]	81912	random		819.0	131	405.0	1	263.0
11	1	1	86402	240.0	312.0	226.0	3000	91606	89721	1885	288	288	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	89433	A	261.0	375.0	131	264.0	0	207.0
12	1	1	93332	193.0	266.0	262.0	3000	98365	96715	1650	352	352	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	96363	A	271.0	199.0	131	260.0	0	199.0
13	1	1	99893	185.0	280.0	267.0	3000	104945	103230	1715	306	306	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	102924	A	306.0	201.0	131	274.0	0	202.0
14	0	1	106776		414.0	385.0	3000	113410	110341	2403	434	434	[3, 4, 2, 1, 2, 3, 1]	[3, 4, 2, 1, 2, 3, 1, 4]	109907	random	307.0	377.0	131	480.0	1	440.0
15	0	1	114399		397.0	475.0	3000	121633	118436	2439	306	306	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	118130	B	479.0	424.0	131	446.0	1	218.0
16	1	1	124035	257.0	240.0	281.0	3000	130018	128153	1865	287	287	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	127866	A	361.0	265.0	131	257.0	0	204.0
17	1	1	131844	203.0	286.0	269.0	3000	137241	135191	2050	316	316	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	134875	A	469.0	198.0	131	377.0	0	248.0
18	1	1	139870	277.0	417.0	275.0	3000	146657	144082	2575	281	281	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	143801	B	627.0	475.0	131	307.0	0	197.0
19	1	1	148287	204.0	341.0	291.0	3000	153777	152011	1766	293	293	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	151718	A	289.0	230.0	131	249.0	0	162.0
20	1	1	155509	208.0	280.0	260.0	3000	160767	159033	1734	293	293	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	158740	A	291.0	200.0	131	295.0	0	200.0
21	1	1	162497	209.0	525.0	291.0	3000	168392	165893	2499	265	265	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	165628	B	552.0	446.0	131	267.0	0	209.0
22	1	1	170025	99.0	339.0	229.0	3000	175714	173770	1944	313	313	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	173457	A	220.0	542.0	131	338.0	0	177.0
23	0	1	177246				3000	181564	180867	192	290	290	[4, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	180577	A			131		0	
24	1	1	182754	238.0	385.0	257.0	3000	188481	186508	1973	323	323	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	186185	A	349.0	260.0	131	273.0	0	211.0
25	1	1	190214	234.0	393.0	275.0	3000	196056	193644	2412	298	298	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	193346	B	639.0	350.0	131	262.0	0	259.0
26	1	1	197988	249.0	323.0	229.0	3000	203208	201321	1887	302	302	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	201019	A	422.0	199.0	131	262.0	0	203.0
27	0	1	204736		371.0	710.0	3000	211139	208540	2094	373	373	[4, 2, 1, 3, 4, 1]	[4, 2, 1, 3, 4, 3, 2, 1]	208167	random			131	464.0	0	341.0
28	1	1	212231	195.0	271.0	280.0	3000	217513	215770	1743	308	308	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	215462	A	285.0	230.0	131	279.0	0	203.0
29	1	1	219240	226.0	256.0	248.0	3000	224465	222765	1700	295	295	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	222470	A	332.0	237.0	131	226.0	0	175.0
30	1	1	225998	124.0	290.0	306.0	3000	231162	229330	1832	302	302	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	229028	A	335.0	240.0	131	286.0	0	251.0
31	0	1	233787				3000	238201	237255	438	237	237	[4, 3, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	237018	A			131		0	188.0
32	0	1	239190		298.0	270.0	3000	244734	242613	1617	292	292	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	242321	A		192.0	131	230.0	0	200.0
33	1	1	245723	251.0	304.0	312.0	3000	252045	250055	1990	301	301	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	249754	A	337.0	272.0	131	352.0	0	162.0
34	1	1	254672	222.0	544.0	326.0	3000	261119	258786	2333	283	283	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	258503	B	403.0	368.0	131	254.0	0	216.0
35	1	2	1523	338.0	439.0	550.0	3000	7899	5242	2657	288	288	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	4954	B	432.0	390.0	131	295.0	0	213.0
36	1	2	9426	236.0	487.0	299.0	3000	14822	12743	2079	285	285	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	12458	A	256.0	286.0	131	257.0	0	258.0
37	1	2	16453	185.0	275.0	291.0	3000	21622	19849	1773	265	265	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	19584	A	329.0	238.0	131	244.0	0	211.0
38	0	2	23260		269.0	203.0	3000	28617	26566	1547	275	275	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	26291	A		203.0	131	219.0	0	203.0
39	1	2	29808	248.0	254.0	442.0	3000	35334	33323	2011	284	284	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	33039	A	272.0	214.0	131	322.0	0	259.0
40	1	2	37262	164.0	332.0	271.0	3000	42342	40686	1656	295	295	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	40391	A	268.0	190.0	131	265.0	0	166.0
41	1	2	43868	155.0	335.0	213.0	3000	48984	47278	1706	378	378	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	46900	A	324.0	235.0	131	246.0	0	198.0
42	1	2	50916	200.0	422.0	457.0	3000	56555	54323	2232	176	176	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	54147	A	270.0	236.0	131	369.0	0	278.0
43	1	2	58090	277.0	379.0	222.0	3000	63573	61409	2164	288	288	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	61121	B	347.0	247.0	131	332.0	0	360.0
44	0	2	65306			325.0	3000	71351	69452	1394	415	415	[2, 1, 4, 3, 1]	[2, 1, 4, 3, 4, 1, 2, 3]	69037	random			131	290.0	0	478.0
