	Unnamed: 0	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
81	81	0	4	81728		360.0	304.0	3000	89109	86824.0	1781.0	460.0	460.0	[3, 2, 4, 1, 2, 4, 3, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	86364	B	236.0	365.0	111	269.0	0	213.0
82	82	1	4	90601	144.0	329.0	224.0	3000	96041	94310.0	1731.0	278.0	278.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	94032	A	270.0	305.0	111	240.0	0	219.0
83	83	1	4	97976	148.0	208.0	212.0	3000	104247	102758.0	1489.0	444.0	444.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	102314	A	225.0	257.0	111	254.0	0	185.0
84	84	1	4	105875	121.0	205.0	224.0	3000	110746	109342.0	1404.0	336.0	336.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	109006	A	267.0	192.0	111	232.0	0	163.0
85	85	0	4	112278		503.0	370.0	3000	119080	116373.0	2202.0	465.0	465.0	[3, 4, 1, 2, 1, 4]	[3, 4, 1, 2, 1, 3, 4, 2]	115908	random			111	430.0	0	464.0
86	86	1	4	120373	300.0	234.0	204.0	3000	125433	123794.0	1639.0	289.0	289.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	123505	A	245.0	183.0	111	259.0	0	214.0
87	87	0	4	128159		202.0	212.0	3000	134561	132701.0	1356.0	505.0	505.0	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	132196	A		216.0	111	255.0	0	219.0
88	88	1	4	135555	485.0	363.0	350.0	3000	142059	139530.0	2529.0	344.0	344.0	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	139186	B	352.0	407.0	111	287.0	0	285.0
89	89	1	4	143694	134.0	220.0	194.0	3000	149468	148046.0	1422.0	414.0	414.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	147632	A	258.0	193.0	111	263.0	0	160.0
90	90	1	4	151000	102.0	259.0	212.0	3000	156786	155224.0	1562.0	393.0	393.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	154831	A	277.0	322.0	111	209.0	0	181.0
91	91	1	4	159113	147.0	334.0	215.0	3000	164611	162952.0	1659.0	502.0	502.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	162450	A	255.0	295.0	111	198.0	0	215.0
92	92	1	4	166244	109.0	265.0	219.0	3000	171293	169760.0	1533.0	386.0	386.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	169374	A	357.0	162.0	111	230.0	0	191.0
