	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1		402.0	229.0	1945	10411	8258	1461	297.0	297	[3, 2, 4, 1, 2, 4, 3]	4330	5	[3, 2, 4, 1, 2, 4, 3, 1]	7961	B	177.0	210.0	131	234.0	1	209.0
1	1	1	160.0	228.0	204.0	1737	18449	17100	1349	310.0	310	[4, 3, 1, 4, 2, 3, 1, 2]	13159	5	[4, 3, 1, 4, 2, 3, 1, 2]	16790	A	239.0	145.0	131	255.0	0	118.0
2	1	1	159.0	241.0	160.0	1737	29399	28062	1337	288.0	288	[4, 3, 1, 4, 2, 3, 1, 2]	22243	30	[4, 3, 1, 4, 2, 3, 1, 2]	27774	A	225.0	147.0	131	240.0	0	165.0
3	1	1	129.0	230.0	161.0	1737	38802	37411	1391	280.0	280	[4, 3, 1, 4, 2, 3, 1, 2]	33600	30	[4, 3, 1, 4, 2, 3, 1, 2]	37131	A	220.0	159.0	131	267.0	0	225.0
4	1	1	114.0	237.0	186.0	1737	47212	45933	1279	301.0	301	[4, 3, 1, 4, 2, 3, 1, 2]	42099	5	[4, 3, 1, 4, 2, 3, 1, 2]	45632	A	288.0	110.0	131	214.0	0	130.0
5	1	1	222.0	384.0	229.0	1945	56539	54974	1565	332.0	332	[3, 2, 4, 1, 2, 4, 3, 1]	50710	30	[3, 2, 4, 1, 2, 4, 3, 1]	54642	B	149.0	201.0	131	221.0	0	159.0
6	1	1	239.0	285.0	253.0	1945	66857	65305	1552	338.0	338	[3, 2, 4, 1, 2, 4, 3, 1]	59736	30	[3, 2, 4, 1, 2, 4, 3, 1]	64967	B	158.0	211.0	131	206.0	0	200.0
7	1	1	105.0	260.0	169.0	1737	77499	76211	1288	330.0	330	[4, 3, 1, 4, 2, 3, 1, 2]	71949	10	[4, 3, 1, 4, 2, 3, 1, 2]	75881	A	239.0	144.0	131	217.0	0	154.0
8	0	1		85.0	198.0	1945	86884	85122	1258	287.0	287	[3, 2, 4, 1, 2, 3]	80903	5	[3, 2, 4, 1, 2, 4, 3, 1]	84835	B			131	223.0	0	185.0
9	0	1		156.0	550.0	1945	95716	93599	1553	331.0	331	[3, 2, 4, 1, 2, 4, 3]	89637	5	[3, 2, 4, 1, 2, 4, 3, 1]	93268	B	189.0	265.0	131	221.0	1	172.0
10	0	1		158.0	274.0	1945	104347	102188	1506	292.0	292	[3, 2, 4, 1, 2, 4, 3]	98264	10	[3, 2, 4, 1, 2, 4, 3, 1]	101896	B	389.0	292.0	131	221.0	1	172.0
11	0	1				1945	112190	110995	689	265.0	265	[3, 2, 4, 2]	107199	30	[3, 2, 4, 1, 2, 4, 3, 1]	110730	B			131	227.0	0	157.0
12	0	1		270.0	229.0	1737	121179	119280	1395	314.0	314	[4, 3, 1, 4, 2, 3, 2]	115334	5	[4, 3, 1, 4, 2, 3, 1, 2]	118966	A		117.0	131	244.0	0	144.0
13	0	1		268.0	286.0	1737	129812	127848	1411	279.0	279	[4, 3, 1, 4, 2, 3, 1]	123939	10	[4, 3, 1, 4, 2, 3, 1, 2]	127569	A	276.0	141.0	131	265.0	1	175.0
14	1	1	212.0	323.0	251.0	1945	139092	137497	1595	293.0	293	[3, 2, 4, 1, 2, 4, 3, 1]	133073	30	[3, 2, 4, 1, 2, 4, 3, 1]	137204	B	189.0	223.0	131	214.0	0	183.0
15	1	1	94.0	237.0	270.0	1737	150899	149511	1388	295.0	295	[4, 3, 1, 4, 2, 3, 1, 2]	144885	30	[4, 3, 1, 4, 2, 3, 1, 2]	149216	A	236.0	127.0	131	286.0	0	138.0
16	1	1	177.0	301.0	282.0	1945	161245	159720	1525	287.0	287	[3, 2, 4, 1, 2, 4, 3, 1]	155002	10	[3, 2, 4, 1, 2, 4, 3, 1]	159433	B	219.0	160.0	131	211.0	0	175.0
17	0	1				1945	169041	168342	194	277.0	277	[3, 2, 3]	164534	10	[3, 2, 4, 1, 2, 4, 3, 1]	168065	B			131		0	72.0
18	1	1	217.0	247.0	243.0	1945	177548	176010	1538	287.0	287	[3, 2, 4, 1, 2, 4, 3, 1]	171691	5	[3, 2, 4, 1, 2, 4, 3, 1]	175723	B	179.0	225.0	131	221.0	0	206.0
19	0	1		246.0	179.0	1737	187310	185380	1373	313.0	313	[4, 3, 1, 4, 2, 3, 1]	181036	5	[4, 3, 1, 4, 2, 3, 1, 2]	185067	A	368.0	168.0	131	237.0	1	175.0
20	1	1	135.0	253.0	189.0	1737	196234	194770	1464	273.0	273	[4, 3, 1, 4, 2, 3, 1, 2]	190366	10	[4, 3, 1, 4, 2, 3, 1, 2]	194497	A	348.0	174.0	131	240.0	0	125.0
21	0	1		235.0	175.0	1737	206712	204826	1283	354.0	354	[4, 3, 1, 4, 2, 3, 1]	199540	30	[4, 3, 1, 4, 2, 3, 1, 2]	204472	A	251.0	173.0	131	234.0	1	215.0
22	1	1	177.0	249.0	215.0	1945	215541	213921	1620	317.0	317	[3, 2, 4, 1, 2, 4, 3, 1]	209972	10	[3, 2, 4, 1, 2, 4, 3, 1]	213604	B	329.0	243.0	131	216.0	0	191.0
