	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1		285.0	502.0	2432.0	16434	13907.0	1972.0	409.0	409.0	[2, 1, 4, 2, 3, 4, 1]	9867	5	[2, 1, 4, 2, 3, 4, 1, 3]	13498	B	219.0	343.0	116	369.0	1	254.0
1	1	1	261.0	273.0	192.0	2282.0	24227	22670.0	1557.0	340.0	340.0	[3, 2, 4, 1, 2, 4, 3, 1]	18699	5	[3, 2, 4, 1, 2, 4, 3, 1]	22330	A	247.0	205.0	116	213.0	0	166.0
2	0	1				2282.0	35801					[]	27482	30	[3, 2, 4, 1, 2, 4, 3, 1]	33014	A			116		1	
3	1	1	192.0	255.0	175.0	2282.0	44349	42815.0	1534.0	375.0	375.0	[3, 2, 4, 1, 2, 4, 3, 1]	38910	30	[3, 2, 4, 1, 2, 4, 3, 1]	42440	A	268.0	211.0	116	234.0	0	199.0
4	0	1		294.0	191.0	2282.0	53414	51268.0	1597.0	639.0	639.0	[3, 2, 4, 1, 2, 4, 3]	47099	5	[3, 2, 4, 1, 2, 4, 3, 1]	50629	A	354.0	319.0	116	248.0	1	191.0
5	1	1	459.0	316.0	289.0	2432.0	61917	60113.0	1804.0	356.0	356.0	[2, 1, 4, 2, 3, 4, 1, 3]	55826	30	[2, 1, 4, 2, 3, 4, 1, 3]	59757	B	167.0	159.0	116	285.0	0	129.0
6	1	1	396.0	331.0	292.0	2432.0	72052	70251.0	1801.0	397.0	397.0	[2, 1, 4, 2, 3, 4, 1, 3]	64623	30	[2, 1, 4, 2, 3, 4, 1, 3]	69854	B	222.0	158.0	116	249.0	0	153.0
7	0	1		197.0	194.0	2282.0	83373	80998.0	1724.0	410.0	410.0	[3, 2, 4, 1, 2, 4, 3]	76659	10	[3, 2, 4, 1, 2, 4, 3, 1]	80588	A	446.0	489.0	116	240.0	1	158.0
8	1	1	327.0	263.0	279.0	2432.0	91735	89996.0	1739.0	381.0	381.0	[2, 1, 4, 2, 3, 4, 1, 3]	85684	5	[2, 1, 4, 2, 3, 4, 1, 3]	89615	B	188.0	170.0	116	335.0	0	177.0
9	1	1	348.0	330.0	211.0	2432.0	100478	98673.0	1805.0	469.0	469.0	[2, 1, 4, 2, 3, 4, 1, 3]	94573	5	[2, 1, 4, 2, 3, 4, 1, 3]	98204	B	209.0	168.0	116	356.0	0	183.0
10	0	1				2432.0	107898	107393.0	0.0		683.0	[1]	103078	10	[2, 1, 4, 2, 3, 4, 1, 3]	106710	B			116		0	
11	1	1	369.0	265.0	231.0	2432.0	115965	114163.0	1802.0	375.0	375.0	[2, 1, 4, 2, 3, 4, 1, 3]	110257	30	[2, 1, 4, 2, 3, 4, 1, 3]	113788	B	203.0	179.0	116	339.0	0	216.0
12	0	1		290.0	198.0	2282.0	125583	123229.0	1664.0	434.0	434.0	[3, 2, 4, 1, 2, 4, 3]	119163	5	[3, 2, 4, 1, 2, 4, 3, 1]	122795	A	393.0	346.0	116	252.0	1	185.0
13	1	1	258.0	226.0	195.0	2282.0	133282	131820.0	1462.0	397.0	397.0	[3, 2, 4, 1, 2, 4, 3, 1]	127792	10	[3, 2, 4, 1, 2, 4, 3, 1]	131423	A	214.0	221.0	116	197.0	0	151.0
14	1	1	503.0	225.0	258.0	2432.0	142948	141065.0	1883.0	400.0	400.0	[2, 1, 4, 2, 3, 4, 1, 3]	136534	30	[2, 1, 4, 2, 3, 4, 1, 3]	140665	B	198.0	192.0	116	265.0	0	242.0
15	0	1		262.0	174.0	2282.0	155367	153092.0	1544.0	512.0	512.0	[3, 2, 4, 1, 2, 4, 3]	148249	30	[3, 2, 4, 1, 2, 4, 3, 1]	152580	A	343.0	353.0	116	207.0	1	205.0
16	1	1	372.0	317.0	211.0	2432.0	164951	163206.0	1745.0	394.0	394.0	[2, 1, 4, 2, 3, 4, 1, 3]	158381	10	[2, 1, 4, 2, 3, 4, 1, 3]	162812	B	220.0	212.0	116	252.0	0	161.0
17	1	1	407.0	213.0	311.0	2432.0	173354	171668.0	1686.0	385.0	385.0	[2, 1, 4, 2, 3, 4, 1, 3]	167751	10	[2, 1, 4, 2, 3, 4, 1, 3]	171283	B	199.0	149.0	116	242.0	0	165.0
18	1	1	414.0	193.0	335.0	2432.0	182201	180465.0	1736.0	376.0	376.0	[2, 1, 4, 2, 3, 4, 1, 3]	176059	5	[2, 1, 4, 2, 3, 4, 1, 3]	180089	B	189.0	173.0	116	295.0	0	137.0
19	0	1		358.0	214.0	2282.0	192024	189670.0	1658.0	431.0	431.0	[3, 2, 4, 1, 2, 4, 3]	185209	5	[3, 2, 4, 1, 2, 4, 3, 1]	189239	A	259.0	353.0	116	275.0	1	199.0
20	0	1		254.0	181.0	2282.0	201473	199270.0	1492.0	582.0	582.0	[3, 2, 4, 1, 2, 4, 3]	194557	10	[3, 2, 4, 1, 2, 4, 3, 1]	198688	A	203.0	332.0	116	295.0	1	227.0
21	1	1	376.0	195.0	178.0	2282.0	210538	209007.0	1531.0	391.0	391.0	[3, 2, 4, 1, 2, 4, 3, 1]	203685	30	[3, 2, 4, 1, 2, 4, 3, 1]	208616	A	214.0	199.0	116	201.0	0	168.0
22	1	1	334.0	222.0	331.0	2432.0	219799	217843.0	1956.0	416.0	416.0	[2, 1, 4, 2, 3, 4, 1, 3]	213796	10	[2, 1, 4, 2, 3, 4, 1, 3]	217427	B	212.0	396.0	116	295.0	0	166.0
23	1	1	303.0	207.0	168.0	2282.0	229274	227824.0	1450.0	486.0	486.0	[3, 2, 4, 1, 2, 4, 3, 1]	223807	10	[3, 2, 4, 1, 2, 4, 3, 1]	227338	A	173.0	209.0	116	225.0	0	165.0
24	0	1				2432.0	238481	237185.0	789.0	1026.0	1026.0	[2, 1, 4, 3]	232028	5	[2, 1, 4, 2, 3, 4, 1, 3]	236159	B			116	239.0	0	134.0
25	1	1	210.0	235.0	156.0	2282.0	247114	245615.0	1499.0	439.0	439.0	[3, 2, 4, 1, 2, 4, 3, 1]	240845	5	[3, 2, 4, 1, 2, 4, 3, 1]	245176	A	309.0	206.0	116	230.0	0	153.0
26	0	1				2432.0	256329	255573.0	252.0	574.0	574.0	[2, 3]	251468	10	[2, 1, 4, 2, 3, 4, 1, 3]	254999	B			116		0	
27	1	1	229.0	220.0	166.0	2282.0	264095	262645.0	1450.0	420.0	420.0	[3, 2, 4, 1, 2, 4, 3, 1]	258394	30	[3, 2, 4, 1, 2, 4, 3, 1]	262225	A	239.0	252.0	116	202.0	0	142.0
28	0	1		234.0	187.0	2282.0	273859	271945.0	1287.0	871.0	871.0	[3, 2, 4, 1, 2, 4, 3]	266844	10	[3, 2, 4, 1, 2, 4, 3, 1]	271074	A	183.0	245.0	116	265.0	1	173.0
29	1	1	402.0	234.0	198.0	2432.0	281846	280241.0	1605.0	434.0	434.0	[2, 1, 4, 2, 3, 4, 1, 3]	276276	30	[2, 1, 4, 2, 3, 4, 1, 3]	279807	B	198.0	192.0	116	208.0	0	173.0
30	0	2		503.0	194.0	2282.0	12348	10185.0	1501.0	625.0	625.0	[3, 2, 4, 1, 2, 4]	4728	5	[3, 2, 4, 1, 2, 4, 3, 1]	9560	A		272.0	116	265.0	1	267.0
31	1	2	261.0	213.0	133.0	2282.0	20576	19235.0	1341.0	438.0	438.0	[3, 2, 4, 1, 2, 4, 3, 1]	15066	5	[3, 2, 4, 1, 2, 4, 3, 1]	18797	A	204.0	189.0	116	180.0	0	161.0
32	0	2				2117.0	31485	30274.0	507.0	1409.0	1409.0	[2, 1, 4]	25033	5	[2, 1, 4, 2, 3, 4, 1, 3]	28865	B			116	214.0	1	293.0
