	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1		179.0	270.0	1949	10415	8494	1326	531	531	[2, 1, 4, 2, 3, 4, 1]	4332	5	[2, 1, 4, 2, 3, 4, 1, 3]	7963	B	283.0	200.0	132	218.0	1	176.0
1	0	1		407.0	213.0	1698	18994	17167	1177	374	374	[3, 2, 4, 1, 2, 4]	13162	5	[3, 2, 4, 1, 2, 4, 3, 1]	16793	A		252.0	132	124.0	1	181.0
2	1	1	110.0	162.0	196.0	1698	29405	28287	1118	462	462	[3, 2, 4, 1, 2, 4, 3, 1]	22293	30	[3, 2, 4, 1, 2, 4, 3, 1]	27825	A	174.0	185.0	132	126.0	0	165.0
3	1	1	118.0	161.0	169.0	1698	38667	37542	1125	365	365	[3, 2, 4, 1, 2, 4, 3, 1]	33645	30	[3, 2, 4, 1, 2, 4, 3, 1]	37177	A	177.0	204.0	132	143.0	0	153.0
4	1	1	93.0	158.0	173.0	1698	46906	45873	1033	337	337	[3, 2, 4, 1, 2, 4, 3, 1]	42005	5	[3, 2, 4, 1, 2, 4, 3, 1]	45536	A	168.0	153.0	132	124.0	0	164.0
5	0	1		145.0	149.0	1949	56412	54716	1190	340	340	[2, 1, 4, 2, 3, 4, 1, 2]	50445	30	[2, 1, 4, 2, 3, 4, 1, 3]	54376	B	175.0	129.0	132	196.0	0	145.0
6	1	1	260.0	156.0	170.0	1949	65868	64602	1266	314	314	[2, 1, 4, 2, 3, 4, 1, 3]	59057	30	[2, 1, 4, 2, 3, 4, 1, 3]	64288	B	238.0	131.0	132	144.0	0	167.0
7	1	1	122.0	131.0	193.0	1698	76322	75201	1121	317	317	[3, 2, 4, 1, 2, 4, 3, 1]	70952	10	[3, 2, 4, 1, 2, 4, 3, 1]	74884	A	181.0	183.0	132	139.0	0	172.0
8	1	1	209.0	156.0	157.0	1949	85236	84076	1160	387	387	[2, 1, 4, 2, 3, 4, 1, 3]	79757	5	[2, 1, 4, 2, 3, 4, 1, 3]	83689	B	212.0	110.0	132	145.0	0	171.0
9	1	1	270.0	140.0	196.0	1949	93902	92455	1447	306	306	[2, 1, 4, 2, 3, 4, 1, 3]	88517	5	[2, 1, 4, 2, 3, 4, 1, 3]	92149	B	363.0	157.0	132	95.0	0	226.0
10	1	1	185.0	130.0	200.0	1949	102082	100973	1109	356	356	[2, 1, 4, 2, 3, 4, 1, 3]	96988	10	[2, 1, 4, 2, 3, 4, 1, 3]	100617	B	165.0	131.0	132	128.0	0	170.0
11	1	1	163.0	133.0	191.0	1949	110520	109322	1198	326	326	[2, 1, 4, 2, 3, 4, 1, 3]	105465	30	[2, 1, 4, 2, 3, 4, 1, 3]	108996	B	204.0	141.0	132	145.0	0	221.0
12	0	1			223.0	1698	119390	118178	708	341	341	[3, 2, 4, 1, 3]	114206	5	[3, 2, 4, 1, 2, 4, 3, 1]	117837	A			132	114.0	0	180.0
