	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	1	1	2016	60.0	316.0	294	3000	6634	4830	1804	283	283	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	4547	A	263.0	253.0	107	354	0	264
1	0	1	8663		468.0	262	3000	13523	11473	1545	279	279	[3, 2, 4, 1, 2, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	11194	B			107	311	0	249
2	1	1	15560	316.0	437.0	242	3000	20770	18345	2425	254	254	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	18091	B	477.0	382.0	107	330	0	241
3	0	1	22799		461.0	274	3000	28050	25620	1923	290	290	[3, 2, 4, 1, 2, 4, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	25330	B		347.0	107	323	0	245
4	1	1	30085	228.0	372.0	220	3000	34658	32943	1715	327	327	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	32616	A	212.0	254.0	107	253	0	176
5	1	1	36688	165.0	315.0	207	3000	41124	39495	1629	276	276	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	39219	A	376.0	201.0	107	195	0	170
6	0	1	43153		470.0	293	3000	48597	45952	2140	268	268	[3, 2, 4, 1, 2, 4, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	45684	B		466.0	107	427	0	215
7	1	1	50635	224.0	542.0	274	3000	55766	53492	2274	327	327	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	53165	B	318.0	321.0	107	367	0	228
8	1	1	57795	209.0	311.0	253	3000	62200	60584	1616	258	258	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	60326	A	182.0	224.0	107	247	0	190
9	1	1	64230	170.0	526.0	263	3000	69202	67009	2193	248	248	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	66761	B	285.0	440.0	107	281	0	228
10	1	1	71230	140.0	401.0	233	3000	76196	74057	2139	296	296	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	73761	B	228.0	342.0	107	346	0	449
11	1	1	78228	255.0	253.0	532	3000	82799	81036	1763	277	277	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	80759	A	165.0	186.0	107	233	0	139
12	1	1	84829	135.0	358.0	225	3000	89424	87606	1818	246	246	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	87360	B	208.0	306.0	107	305	0	281
13	0	1	91453		374.0	192	3000	96162	94274	1382	289	289	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	93985	A		165.0	107	151	0	158
14	1	1	98200	282.0	285.0	296	3000	102822	100986	1836	255	255	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	100731	A	234.0	256.0	107	281	0	202
15	1	1	104851	173.0	555.0	200	3000	110103	107697	2406	316	316	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	107381	B	446.0	401.0	107	309	0	322
16	1	1	112132	316.0	229.0	222	3000	116696	114938	1758	275	275	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	114663	A	359.0	166.0	107	244	0	222
17	1	1	118726	139.0	388.0	206	3000	123352	121559	1793	302	302	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	121257	B	261.0	291.0	107	301	0	207
18	1	1	125387	290.0	354.0	225	3000	129988	128196	1792	277	277	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	127919	A	264.0	311.0	107	149	0	199
19	1	1	132019	214.0	219.0	209	3000	136361	134830	1531	280	280	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	134550	A	240.0	257.0	107	190	0	202
20	1	1	138388	179.0	258.0	285	3000	142764	141182	1582	263	263	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	140919	A	234.0	269.0	107	178	0	179
21	1	1	144790	206.0	308.0	208	3000	149097	147569	1528	248	248	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	147321	A	265.0	245.0	107	140	0	156
22	1	1	151122	265.0	320.0	234	3000	155634	153913	1721	260	260	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	153653	A	193.0	309.0	107	180	0	220
23	1	1	157659	200.0	254.0	177	3000	161838	160422	1416	234	234	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	160188	A	203.0	227.0	107	174	0	181
24	1	1	163870	220.0	362.0	193	3000	168488	166734	1754	336	336	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	166398	A	349.0	293.0	107	164	0	173
25	1	1	170513	209.0	248.0	219	3000	174875	173354	1521	311	311	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	173043	A	274.0	251.0	107	207	0	113
26	1	1	176905	237.0	293.0	240	3000	181212	179721	1491	285	285	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	179436	A	218.0	209.0	107	174	0	120
27	1	1	183237	149.0	525.0	219	3000	188105	186021	2084	253	253	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	185768	B	342.0	321.0	107	265	0	263
28	1	1	190142	386.0	243.0	151	3000	194575	193026	1549	353	353	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	192673	A	265.0	157.0	107	180	0	167
29	1	1	196606	225.0	305.0	236	3000	201167	199443	1724	305	305	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	199138	A	192.0	194.0	107	361	0	211
30	1	1	203194	223.0	250.0	219	3000	207600	206028	1572	303	303	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	205725	A	203.0	228.0	107	231	0	218
31	1	1	209625	179.0	229.0	169	3000	213665	212434	1231	278	278	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	212156	A	174.0	162.0	107	151	0	167
32	1	1	215692	155.0	537.0	173	3000	220595	218534	2061	311	311	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	218223	B	362.0	273.0	107	278	0	283
33	1	1	222620	190.0	241.0	160	3000	226803	225526	1277	376	376	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	225150	A	189.0	150.0	107	163	0	184
