	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	1	1	2022	187.0	199.0	232.0	3000	6640	4960	1680	409	409	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	4551	A	245.0	195.0	110	311.0	0	311
1	1	1	8667	176.0	137.0	246.0	3000	12899	11563	1336	366	366	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	11197	A	208.0	196.0	110	190.0	0	183
2	1	1	14924	175.0	125.0	221.0	3000	19060	17846	1214	392	392	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	17454	A	200.0	179.0	110	171.0	0	143
3	1	1	21085	176.0	148.0	205.0	3000	25155	23928	1227	312	312	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	23616	A	213.0	151.0	110	163.0	0	171
4	0	1	27180			329.0	3000	32076	30180	1391	469	469	[2, 1, 4, 2, 4]	[2, 1, 4, 2, 3, 4, 1, 3]	29711	B			110	340.0	0	309
5	1	1	34114	213.0	118.0	221.0	3000	38233	36992	1241	348	348	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	36644	A	133.0	201.0	110	199.0	0	156
6	0	1	40259		330.0	521.0	3000	46292	43202	2097	413	413	[2, 1, 4, 2, 3, 4, 1]	[2, 1, 4, 2, 3, 4, 1, 3]	42789	B	212.0	330.0	110	311.0	1	393
7	1	1	48332	447.0	467.0	396.0	3000	53821	51286	2535	424	424	[2, 1, 4, 2, 3, 4, 1, 3]	[2, 1, 4, 2, 3, 4, 1, 3]	50862	B	266.0	340.0	110	327.0	0	292
8	1	1	55846	410.0	108.0	210.0	3000	60088	58759	1329	383	383	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	58376	A	88.0	173.0	110	150.0	0	190
9	1	1	62119	197.0	105.0	201.0	3000	66347	65088	1259	439	439	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	64649	A	219.0	191.0	110	167.0	0	179
10	1	1	68373	227.0	104.0	212.0	3000	72572	71439	1133	536	536	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	70903	A	93.0	164.0	110	153.0	0	180
11	1	1	74597	221.0	106.0	206.0	3000	78756	77570	1186	443	443	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	77127	A	129.0	177.0	110	170.0	0	177
12	1	1	80781	362.0	408.0	314.0	3000	85762	83743	2019	431	431	[2, 1, 4, 2, 3, 4, 1, 3]	[2, 1, 4, 2, 3, 4, 1, 3]	83312	B	220.0	214.0	110	289.0	0	212
13	1	1	87789	220.0	98.0	212.0	3000	92006	90853	1153	534	534	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	90319	A	140.0	175.0	110	163.0	0	145
14	1	1	94036	189.0	98.0	209.0	3000	98028	96927	1101	361	361	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	96566	A	124.0	177.0	110	156.0	0	148
15	0	1	100054		367.0	378.0	3000	105434	102932	1997	347	347	[2, 1, 4, 2, 3, 4, 1, 2]	[2, 1, 4, 2, 3, 4, 1, 3]	102585	B	254.0	277.0	110	288.0	0	178
16	1	1	107474	182.0	102.0	191.0	3000	111659	110538	1121	541	541	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	109997	A	146.0	181.0	110	168.0	0	151
17	1	1	113682	312.0	94.0	209.0	3000	117817	116683	1134	471	471	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	116212	A	36.0	181.0	110	161.0	0	141
18	1	1	119843	157.0	124.0	168.0	3000	123791	122693	1098	320	320	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	122373	A	172.0	176.0	110	149.0	0	152
19	1	1	125817	312.0	338.0	433.0	3000	130645	128713	1932	366	366	[2, 1, 4, 2, 3, 4, 1, 3]	[2, 1, 4, 2, 3, 4, 1, 3]	128347	B	232.0	167.0	110	242.0	0	208
20	1	1	132673	158.0	123.0	200.0	3000	136815	135662	1153	458	458	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	135204	A	184.0	169.0	110	178.0	0	141
21	0	1	138839		299.0	370.0	3000	143586	141720	1362	351	351	[2, 1, 4, 2, 3, 1]	[2, 1, 4, 2, 3, 4, 1, 3]	141369	B			110	209.0	0	212
22	1	1	145624	180.0	113.0	182.0	3000	149598	148527	1071	373	373	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	148154	A	144.0	153.0	110	156.0	0	143
23	1	1	151634	177.0	135.0	200.0	3000	155931	154808	1123	642	642	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	154166	A	142.0	150.0	110	178.0	0	141
24	1	1	157957	272.0	371.0	418.0	3000	162982	160922	2060	435	435	[2, 1, 4, 2, 3, 4, 1, 3]	[2, 1, 4, 2, 3, 4, 1, 3]	160487	B	312.0	233.0	110	260.0	0	194
25	1	1	165006	180.0	119.0	226.0	3000	169124	167940	1184	404	404	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	167536	A	134.0	185.0	110	184.0	0	156
26	1	1	171157	280.0	371.0	404.0	3000	175956	174061	1895	374	374	[2, 1, 4, 2, 3, 4, 1, 3]	[2, 1, 4, 2, 3, 4, 1, 3]	173687	B	216.0	207.0	110	221.0	0	196
27	1	1	177983	177.0	113.0	208.0	3000	182005	180839	1166	326	326	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	180513	A	156.0	172.0	110	147.0	0	193
28	1	1	184031	232.0	129.0	224.0	3000	188075	186902	1173	340	340	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	186562	A	122.0	166.0	110	164.0	0	136
29	1	1	190100	298.0	375.0	325.0	3000	195027	192983	2044	353	353	[2, 1, 4, 2, 3, 4, 1, 3]	[2, 1, 4, 2, 3, 4, 1, 3]	192630	B	330.0	221.0	110	230.0	0	265
30	1	1	197054	228.0	349.0	339.0	3000	202206	199979	2227	395	395	[2, 1, 4, 2, 3, 4, 1, 3]	[2, 1, 4, 2, 3, 4, 1, 3]	199584	B	335.0	152.0	110	583.0	0	241
31	1	1	204237	175.0	92.0	205.0	3000	208291	207169	1122	401	401	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	206768	A	141.0	183.0	110	154.0	0	172
32	1	1	210317	182.0	112.0	218.0	3000	214408	213299	1109	452	452	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	212847	A	142.0	149.0	110	163.0	0	143
33	1	1	216434	179.0	136.0	201.0	3000	220521	219401	1120	437	437	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	218964	A	153.0	153.0	110	167.0	0	131
