	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
0	0	1	4017		435.0	568.0	3000	10658	7976	1927	825.0	825	[3, 2, 4, 1, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	7151	A			118	439.0	1	485.0
1	0	1	11648			331.0	3000	17869	15460	1904	381.0	381	[1, 3, 2, 4, 1]	[1, 3, 2, 4, 3, 1, 4, 2]	15079	random			118	531.0	0	720.0
2	0	1	19058		356.0	283.0	3000	25692	22671	2380	482.0	482	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	22189	A	562.0	317.0	118	360.0	1	502.0
3	0	1	27280		391.0	244.0	3000	33727	30896	2324	485.0	485	[3, 2, 4, 1, 2, 4, 3, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	30411	A	291.0	325.0	118	363.0	0	371.0
4	0	1	35116		471.0	316.0	3000	41651	38617	2516	471.0	471	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	38146	A	428.0	349.0	118	449.0	1	503.0
5	0	1	43235		498.0	312.0	3000	49860	46880	2211	525.0	525	[2, 3, 1, 4, 3, 1]	[2, 3, 1, 4, 3, 1, 2, 4]	46355	random		340.0	118	428.0	1	633.0
6	0	1	51236		319.0	324.0	3000	58252	55408	2172	659.0	659	[3, 2, 4, 1, 2, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	54749	A		431.0	118	425.0	1	673.0
7	0	1	59816		296.0	282.0	3000	66733	63966	1899	738.0	738	[3, 2, 4, 1, 2, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	63228	A		378.0	118	439.0	1	504.0
8	0	1	67912		263.0	362.0	3000	74632	71756	2276	627.0	627	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	71129	A	393.0	437.0	118	401.0	1	420.0
9	0	1	76302		336.0	183.0	3000	83029	80113	2241	587.0	587	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	79526	A	501.0	383.0	118	359.0	1	479.0
10	0	1	84315		253.0	410.0	3000	91038	88049	2214	515.0	515	[2, 1, 4, 3, 1, 2, 4]	[2, 1, 4, 3, 1, 2, 4, 3]	87534	random	465.0	373.0	118	301.0	1	412.0
11	1	1	92011	293.0	303.0	211.0	3000	97835	95531	2304	498.0	498	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	95033	A	386.0	282.0	118	365.0	0	464.0
12	1	1	99557	339.0	291.0	204.0	3000	105193	102961	2232	392.0	392	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	102569	A	401.0	242.0	118	381.0	0	374.0
13	1	1	106707	234.0	336.0	154.0	3000	112473	110325	2148	607.0	607	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	109718	A	342.0	231.0	118	393.0	0	458.0
14	0	1	114287			247.0	3000	119848	117804	1539	404.0	404	[2, 3, 4, 1, 4]	[2, 3, 4, 1, 3, 4, 2, 1]	117400	random			118	370.0	0	461.0
15	0	1	120813			481.0	3000	127147	125103	1540	571.0	571	[2, 1, 4, 2, 4]	[2, 1, 4, 2, 3, 4, 1, 3]	124532	B			118	332.0	0	386.0
16	1	1	129512	256.0	284.0	191.0	3000	136197	133805	2392	476.0	476	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	133329	A	541.0	279.0	118	362.0	0	479.0
17	0	1	138012		202.0	226.0	3000	144525	141734	2035	712.0	712	[3, 2, 4, 1, 2, 4, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	141022	A	382.0	399.0	118	313.0	1	513.0
18	0	1	146590		547.0	427.0	3000	154013	151058	2378	548.0	548	[2, 1, 4, 2, 3, 4, 1]	[2, 1, 4, 2, 3, 4, 1, 3]	150510	B	197.0	373.0	118	354.0	1	480.0
19	1	1	155079	309.0	283.0	193.0	3000	161115	158951	2164	462.0	462	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	158489	A	304.0	367.0	118	311.0	0	397.0
20	0	1	162829		306.0	202.0	3000	169051	166491	2055	447.0	447	[3, 2, 4, 1, 2, 4, 3, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	166044	A	266.0	261.0	118	343.0	0	463.0
21	0	1	170216		370.0	566.0	3000	176736	173838	2394	512.0	512	[2, 1, 4, 2, 3, 4, 1, 2]	[2, 1, 4, 2, 3, 4, 1, 3]	173326	B	214.0	255.0	118	298.0	0	467.0
22	1	1	177807	291.0	299.0	316.0	3000	184087	181783	2304	565.0	565	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	181218	A	286.0	306.0	118	354.0	0	452.0
