	Unnamed: 0	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
76	76	0	5		343.0	193.0	1431	159826	158314	876	422.0	422	[4, 3, 1, 4, 2, 3]	152679	30	[4, 3, 1, 4, 2, 3, 1, 2]	157892	A		78.0	115	159.0	1	103.0
77	77	0	5		283.0	186.0	1431	169309	167872	771	497.0	497	[4, 3, 1, 4, 2, 3]	163763	10	[4, 3, 1, 4, 2, 3, 1, 2]	167375	A		112.0	115	75.0	1	115.0
78	78	0	5		294.0	184.0	1431	178096	176544	1019	382.0	382	[4, 3, 1, 4, 2, 3, 1]	172345	10	[4, 3, 1, 4, 2, 3, 1, 2]	176162	A	253.0	81.0	115	91.0	1	116.0
79	79	1	5	140.0	106.0	364.0	1880	187111	185736	1375	477.0	477	[3, 2, 4, 1, 2, 4, 3, 1]	181648	5	[3, 2, 4, 1, 2, 4, 3, 1]	185259	B	322.0	209.0	115	171.0	0	63.0
80	80	0	5				1880	195498	194994	0		533	[2]	190849	5	[3, 2, 4, 1, 2, 4, 3, 1]	194461	B			115		0	
81	81	1	5	149.0	125.0	241.0	1880	203822	202482	1340	485.0	485	[3, 2, 4, 1, 2, 4, 3, 1]	198486	30	[3, 2, 4, 1, 2, 4, 3, 1]	201997	B	332.0	231.0	115	197.0	0	65.0
82	82	0	5			174.0	1880	212817	211676	637	395.0	395	[3, 2, 4, 1, 4]	207462	30	[3, 2, 4, 1, 2, 4, 3, 1]	211281	B			115	195.0	0	47.0
83	83	0	5		314.0	141.0	1431	221264	219788	782	458.0	458	[4, 3, 1, 4, 2, 3]	215819	30	[4, 3, 1, 4, 2, 3, 1, 2]	219330	A		108.0	115	119.0	1	100.0
84	84	0	5		133.0	202.0	1880	229759	228568	687	450.0	450	[3, 2, 4, 1, 2, 3]	224305	10	[3, 2, 4, 1, 2, 4, 3, 1]	228118	B			115	156.0	0	74.0
85	85	0	5				1431	238157	237485	168	521.0	521	[4, 3, 2]	232451	30	[4, 3, 1, 4, 2, 3, 1, 2]	236964	A			115		0	115.0
86	86	0	5		376.0	181.0	1431	247939	246603	740	598.0	598	[4, 3, 1, 4, 2]	241894	10	[4, 3, 1, 4, 2, 3, 1, 2]	246005	A			115	113.0	1	70.0
87	87	0	5		113.0	274.0	1880	257062	255323	1235	530.0	530	[3, 2, 4, 1, 2, 4, 3, 2]	251077	10	[3, 2, 4, 1, 2, 4, 3, 1]	254793	B	20.0	203.0	115	177.0	0	67.0
88	88	0	5				1880	264692	264188	0		523	[2]	259753	10	[3, 2, 4, 1, 2, 4, 3, 1]	263665	B			115		0	
89	89	0	5			309.0	1880	273941	272563	874	571.0	571	[3, 2, 4, 1, 4]	267480	30	[3, 2, 4, 1, 2, 4, 3, 1]	271992	B			115	227.0	0	46.0
90	90	0	6		115.0	317.0	1880	10805	8968	1234	546.0	546	[3, 2, 4, 1, 2, 4, 3]	4611	10	[3, 2, 4, 1, 2, 4, 3, 1]	8422	B	312.0	208.0	115	218.0	1	64.0
91	91	0	6		283.0	155.0	1431	18841	17347	924	440.0	440	[4, 3, 1, 4, 2, 3, 1]	13397	30	[4, 3, 1, 4, 2, 3, 1, 2]	16907	A	203.0	100.0	115	79.0	1	104.0
92	92	1	6	160.0	142.0	258.0	1880	28630	27318	1312	416.0	416	[3, 2, 4, 1, 2, 4, 3, 1]	22088	5	[3, 2, 4, 1, 2, 4, 3, 1]	26902	B	287.0	207.0	115	177.0	0	81.0
93	93	1	6	161.0	116.0	214.0	1880	37156	35945	1211	462.0	462	[3, 2, 4, 1, 2, 4, 3, 1]	31970	30	[3, 2, 4, 1, 2, 4, 3, 1]	35483	B	267.0	229.0	115	170.0	0	54.0
94	94	0	6				1431	46361	45685	172	375.0	375	[4, 1]	40498	10	[4, 3, 1, 4, 2, 3, 1, 2]	45310	A			115		0	
95	95	0	6			160.0	1431	55942	54478	417	470.0	470	[4, 3, 1, 4]	49498	30	[4, 3, 1, 4, 2, 3, 1, 2]	54008	A			115	185.0	1	72.0
96	96	0	6				1431	64592	63889	199	487.0	487	[4, 1]	58991	5	[4, 3, 1, 4, 2, 3, 1, 2]	63402	A			115		0	
97	97	0	6		123.0	349.0	1880	74244	72317	1316	456.0	456	[3, 2, 4, 1, 2, 4, 3]	67941	30	[3, 2, 4, 1, 2, 4, 3, 1]	71861	B	314.0	237.0	115	165.0	1	128.0
98	98	0	6		151.0	199.0	1880	83536	81757	1275	512.0	512	[3, 2, 4, 1, 2, 4, 1]	76934	10	[3, 2, 4, 1, 2, 4, 3, 1]	81245	B		252.0	115	196.0	0	70.0
99	99	0	6		373.0	183.0	1431	92576	91102	868	460.0	460	[4, 3, 1, 4, 2, 3]	86625	30	[4, 3, 1, 4, 2, 3, 1, 2]	90642	A		91.0	115	149.0	1	72.0
100	100	1	6	140.0	154.0	343.0	1880	103205	101829	1376	497.0	497	[3, 2, 4, 1, 2, 4, 3, 1]	97621	30	[3, 2, 4, 1, 2, 4, 3, 1]	101332	B	230.0	225.0	115	171.0	0	113.0
101	101	0	6		382.0	187.0	1431	112893	111390	924	431.0	431	[4, 3, 1, 4, 2, 3]	106343	30	[4, 3, 1, 4, 2, 3, 1, 2]	110959	A		79.0	115	158.0	1	118.0
102	102	0	6		127.0	221.0	1880	121832	120043	1221	594.0	594	[3, 2, 4, 1, 2, 4, 3]	115933	10	[3, 2, 4, 1, 2, 4, 3, 1]	119449	B	313.0	220.0	115	230.0	1	110.0
103	103	0	6		304.0	203.0	1431	130072	128558	820	420.0	420	[4, 3, 1, 4, 2, 3]	124620	10	[4, 3, 1, 4, 2, 3, 1, 2]	128138	A		100.0	115	33.0	1	180.0
104	104	1	6	90.0	141.0	215.0	1880	138747	137481	1266	461.0	461	[3, 2, 4, 1, 2, 4, 3, 1]	133309	30	[3, 2, 4, 1, 2, 4, 3, 1]	137020	B	340.0	198.0	115	194.0	0	88.0
105	105	1	6	147.0	133.0	215.0	1880	147886	146652	1234	447.0	447	[3, 2, 4, 1, 2, 4, 3, 1]	142394	5	[3, 2, 4, 1, 2, 4, 3, 1]	146205	B	269.0	216.0	115	203.0	0	51.0
106	106	0	6		254.0	170.0	1431	156970	155461	944	425.0	425	[4, 3, 1, 4, 2, 3, 1]	151525	10	[4, 3, 1, 4, 2, 3, 1, 2]	155036	A	207.0	112.0	115	111.0	1	90.0
107	107	0	6				1431	165816	164922	389	404.0	404	[4, 3, 1, 3]	161007	5	[4, 3, 1, 4, 2, 3, 1, 2]	164518	A			115	11.0	0	172.0
108	108	0	6				1431	174684	173973	206	306.0	306	[4, 1]	169454	5	[4, 3, 1, 4, 2, 3, 1, 2]	173667	A			115		0	
109	109	1	6	116.0	134.0	283.0	1880	184725	183414	1311	482.0	482	[3, 2, 4, 1, 2, 4, 3, 1]	178021	5	[3, 2, 4, 1, 2, 4, 3, 1]	182932	B	275.0	236.0	115	196.0	0	71.0
110	110	0	6		317.0	231.0	1431	193914	192447	808	467.0	467	[4, 3, 1, 4, 2, 3]	188469	5	[4, 3, 1, 4, 2, 3, 1, 2]	191980	A		82.0	115	97.0	1	81.0
111	111	0	6				1431	202656	201871	281	405.0	405	[4, 3, 1, 2]	197251	10	[4, 3, 1, 4, 2, 3, 1, 2]	201466	A			115	112.0	0	133.0
112	112	0	6		90.0	219.0	1880	212962	211603	855	389.0	389	[3, 2, 4, 1, 2, 4, 4]	206096	10	[3, 2, 4, 1, 2, 4, 3, 1]	211214	B		226.0	115	203.0	0	103.0
113	113	1	6	159.0	119.0	302.0	1880	222927	221614	1313	449.0	449	[3, 2, 4, 1, 2, 4, 3, 1]	216151	5	[3, 2, 4, 1, 2, 4, 3, 1]	221165	B	296.0	169.0	115	198.0	0	70.0
114	114	1	6	112.0	118.0	227.0	1880	232188	230974	1214	492.0	492	[3, 2, 4, 1, 2, 4, 3, 1]	226071	10	[3, 2, 4, 1, 2, 4, 3, 1]	230482	B	325.0	172.0	115	185.0	0	75.0
115	115	0	6		265.0	160.0	1431	241277	239761	955	418.0	418	[4, 3, 1, 4, 2, 3, 1]	235332	30	[4, 3, 1, 4, 2, 3, 1, 2]	239343	A	231.0	94.0	115	103.0	1	102.0
116	116	0	6		272.0	183.0	1431	250968	249527	773	493.0	493	[4, 3, 1, 4, 2, 3]	245220	5	[4, 3, 1, 4, 2, 3, 1, 2]	249034	A		115.0	115	101.0	1	102.0
117	117	0	6				1431	259764	258889	371	372.0	372	[4, 3, 1, 2]	254305	10	[4, 3, 1, 4, 2, 3, 1, 2]	258517	A			115	3.0	0	204.0
118	118	1	6	67.0	119.0	225.0	1880	268364	267149	1215	428.0	428	[3, 2, 4, 1, 2, 4, 3, 1]	263002	5	[3, 2, 4, 1, 2, 4, 3, 1]	266721	B	366.0	186.0	115	183.0	0	69.0
119	119	1	6	53.0	143.0	184.0	1880	277083	275894	1189	378.0	378	[3, 2, 4, 1, 2, 4, 3, 1]	271704	30	[3, 2, 4, 1, 2, 4, 3, 1]	275516	B	340.0	224.0	115	164.0	0	81.0
120	120	1	7	139.0	116.0	328.0	1880	10179	8855	1324	533.0	533	[3, 2, 4, 1, 2, 4, 3, 1]	4011	30	[3, 2, 4, 1, 2, 4, 3, 1]	8322	B	278.0	185.0	115	216.0	0	62.0
121	121	1	7	97.0	117.0	259.0	1880	19933	18770	1163	440.0	440	[3, 2, 4, 1, 2, 4, 3, 1]	13518	5	[3, 2, 4, 1, 2, 4, 3, 1]	18330	B	258.0	188.0	115	178.0	0	66.0
122	122	0	7				1431	28917	28229	184	435.0	435	[4, 1]	23872	30	[4, 3, 1, 4, 2, 3, 1, 2]	27794	A			115		0	
123	123	0	7		271.0	167.0	1431	37704	36168	1015	398.0	398	[4, 3, 1, 4, 2, 3, 1]	32157	5	[4, 3, 1, 4, 2, 3, 1, 2]	35770	A	245.0	85.0	115	138.0	1	109.0
124	124	0	7				1431	45977	45273	200	312.0	312	[4, 3, 2]	41249	10	[4, 3, 1, 4, 2, 3, 1, 2]	44961	A			115		0	107.0
125	125	0	7		116.0	251.0	1880	55289	53632	1152	499.0	499	[3, 2, 4, 1, 2, 4, 1]	49115	5	[3, 2, 4, 1, 2, 4, 3, 1]	53133	B		143.0	115	187.0	0	46.0
126	126	0	7		248.0	162.0	1431	64132	62623	941	425.0	425	[4, 3, 1, 4, 2, 3, 1]	58581	10	[4, 3, 1, 4, 2, 3, 1, 2]	62198	A	240.0	97.0	115	122.0	1	72.0
127	127	1	7	142.0	125.0	258.0	1880	72691	71380	1311	483.0	483	[3, 2, 4, 1, 2, 4, 3, 1]	67378	5	[3, 2, 4, 1, 2, 4, 3, 1]	70897	B	290.0	250.0	115	195.0	0	51.0
